"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2769",0,13,10,102.99823303,131.08866022,161.93305086,2186403.91979633,1500,17,1
"result.3985",0,9,15,102.99823303,128.88548946,164.68701431,2186216.43875365,1500,17,0.999135934041555
"result.3009",0,12,11,102.99823303,130.53786753,162.48384355,2184622.84989082,1500,17,0.991791373394778
"result.3249",0,11,12,102.99823303,129.98707484,163.03463624,2182779.28630442,1499,17,0.983294724803406
"result.2033",0,15,7,102.99823303,132.1902456,160.28067279,2182279.33685726,1499,17,0.980990548914223
"result.3489",0,10,13,102.99823303,129.43628215,163.58542893,2180873.22903712,1498,17,0.974510054225888
"result.2273",0,14,8,102.99823303,131.63945291,160.83146548,2180654.50115398,1498,17,0.973501977274371
"result.2513",0,13,9,102.99823303,131.08866022,161.38225817,2178967.17176982,1498,17,0.96572538364837
"result.3729",0,9,14,102.99823303,128.88548946,164.13622162,2178904.67808892,1498,17,0.965437361662221
"result.4084",3,15,15,103.10079573,130.23258408,162.248094333,2178518.63708987,1498,16.5,0.963658169051239
"result.2753",0,12,10,102.99823303,130.53786753,161.93305086,2177217.34870475,1497,17,0.957660768036222
"result.3969",0,8,15,102.99823303,128.33469677,164.68701431,2176873.63345983,1497,17,0.956076647112407
"result.2002",1,13,7,103.54902572,131.08866022,160.28067279,2175666.36916981,1500,17,0.950512586016364
"result.2993",0,11,11,102.99823303,129.98707484,162.48384355,2175405.0319588,1496,17,0.949308130437925
"result.1777",0,15,6,102.99823303,132.1902456,159.7298801,2174780.09514984,1496,17,0.946427910576443
"result.2242",1,12,8,103.54902572,130.53786753,160.83146548,2173970.01663386,1500,17,0.942694406328192
"result.3458",1,8,13,103.54902572,128.33469677,163.58542893,2173875.7748263,1500,17,0.942260063012183
"result.3813",4,14,14,103.643431497,129.689948313,161.705458566,2173565.7443544,1500,16.5,0.94083118906836
"result.3233",0,10,12,102.99823303,129.43628215,163.03463624,2173530.22153194,1496,17,0.940667470853482
"result.2017",0,14,7,102.99823303,131.63945291,160.28067279,2173186.50628702,1496,17,0.939083349929666
"result.2482",1,11,9,103.54902572,129.98707484,161.38225817,2172210.8362262,1499,17,0.934586664429349
"result.3698",1,7,14,103.54902572,127.78390408,164.13622162,2171833.86899599,1499,17,0.93284929116531
"result.4053",4,13,15,103.643431497,129.147312546,162.248094333,2171734.65361472,1500,16.5,0.932392025554461
"result.3473",0,9,13,102.99823303,128.88548946,163.58542893,2171592.91742419,1495,17,0.931738789282889
"result.2257",0,13,8,102.99823303,131.08866022,160.83146548,2171530.4237433,1495,17,0.93145076729674
"result.1266",1,15,4,103.54902572,132.1902456,158.62829472,2171331.24602237,1499,17,0.930532793479926
"result.3828",3,15,14,103.10079573,130.23258408,161.705458566,2171232.62158121,1496,16.5,0.930078251404316
"result.2722",1,10,10,103.54902572,129.43628215,161.93305086,2170388.82794684,1499,17,0.92618936031983
"result.2497",0,12,9,102.99823303,130.53786753,161.38225817,2169811.84751868,1494,17,0.923530162677667
"result.1506",1,14,5,103.54902572,131.63945291,159.17908741,2169791.96316567,1498,17,0.923438519318437
"result.3938",1,6,15,103.54902572,127.23311139,164.68701431,2169729.13529397,1498,17,0.923148957107763
"result.3713",0,8,14,102.99823303,128.33469677,164.13622162,2169593.11963555,1494,17,0.922522085726147
"result.4068",3,14,15,103.10079573,129.689948313,162.248094333,2169441.47610199,1495,16.5,0.921823188316114
"result.2962",1,9,11,103.54902572,128.88548946,162.48384355,2168503.99179578,1498,17,0.917502493999639
"result.1746",1,13,6,103.54902572,131.08866022,159.7298801,2168189.85243727,1498,17,0.916054682946276
"result.2737",0,11,10,102.99823303,129.98707484,161.93305086,2168030.77761317,1494,17,0.915321536072444
"result.3317",4,15,12,103.643431497,130.23258408,160.620187032,2168011.43577738,1499,16.5,0.915232393076201
"result.3953",0,7,15,102.99823303,127.78390408,164.68701431,2167530.82816601,1494,17,0.913017360183258
"result.1521",0,15,5,102.99823303,132.1902456,159.17908741,2167280.85344243,1494,17,0.911865272238666
"result.4083",2,15,15,102.558159963,130.23258408,162.248094333,2167052.74952624,1490,16.5,0.910813982859502
"result.3202",1,8,12,103.54902572,128.33469677,163.03463624,2166556.32777302,1497,17,0.908526065468777
"result.1986",1,12,7,103.54902572,130.53786753,160.28067279,2166524.91383716,1497,17,0.90838128436344
"result.3557",4,14,13,103.643431497,129.689948313,161.162822799,2166271.89957468,1498,16.5,0.907215187737998
"result.2977",0,10,11,102.99823303,129.43628215,162.48384355,2166187.21402677,1493,17,0.906824887481073
"result.1761",0,14,6,102.99823303,131.63945291,159.7298801,2165718.51142005,1493,17,0.904664722584961
"result.2226",1,11,8,103.54902572,129.98707484,160.83146548,2164797.14736536,1497,17,0.900418323569932
"result.3442",1,7,13,103.54902572,127.78390408,163.58542893,2164545.83587855,1497,17,0.89926007472724
"result.3797",4,13,14,103.643431497,129.147312546,161.705458566,2164471.327014,1497,16.5,0.898916676949333
"result.3217",0,9,12,102.99823303,128.88548946,163.03463624,2164281.15675947,1493,17,0.898040216903555
"result.2001",0,13,7,102.99823303,131.08866022,160.28067279,2164093.67571678,1492,17,0.89717615094511
"result.3572",3,15,13,103.10079573,130.23258408,161.162822799,2163946.60607255,1493,16.5,0.89649833375739
"result.1010",1,15,3,103.54902572,132.1902456,158.07750203,2163791.90141813,1496,17,0.895785328199164
"result.2691",2,8,10,104.09981841,128.33469677,161.93305086,2163363.80299445,1500,17,0.893812300582823
"result.1475",2,12,5,104.09981841,130.53786753,159.17908741,2163079.57371316,1500,17,0.892502339624432
"result.2466",1,10,9,103.54902572,129.43628215,161.38225817,2163006.55302185,1496,17,0.892165800565753
"result.4037",4,12,15,103.643431497,128.604676779,162.248094333,2162609.71809533,1497,16.5,0.890336860710203
"result.3682",1,6,14,103.54902572,127.23311139,164.13622162,2162472.51611238,1496,17,0.889704521775031
"result.2241",0,12,8,102.99823303,130.53786753,160.83146548,2162406.34633261,1492,17,0.889399557319109
"result.3907",2,4,15,104.09981841,126.13152601,164.68701431,2162384.79102557,1500,17,0.889300212837257
"result.3457",0,8,13,102.99823303,128.33469677,163.58542893,2162312.60581127,1492,17,0.888967524339887
"result.1250",1,14,4,103.54902572,131.63945291,158.62829472,2162284.03249728,1496,17,0.888835835143013
"result.3812",3,14,14,103.10079573,129.689948313,161.705458566,2162185.81899129,1493,16.5,0.888383186992718
"result.1715",2,11,6,104.09981841,129.98707484,159.7298801,2161405.77905668,1500,17,0.88478812509169
"result.2931",2,7,11,104.09981841,127.78390408,162.48384355,2161405.77905668,1500,17,0.88478812509169
"result.3286",5,13,12,104.186067264,129.147312546,160.620187032,2161200.92864928,1500,16.5,0.883844006896761
"result.2706",1,9,10,103.54902572,128.88548946,161.93305086,2161153.13080664,1495,17,0.883623715350898
"result.1490",1,13,5,103.54902572,131.08866022,159.17908741,2160713.33570473,1495,17,0.881596779876188
"result.3061",4,15,11,103.643431497,130.23258408,160.077551265,2160687.07281867,1496,16.5,0.88147573902061
"result.2481",0,11,9,102.99823303,129.98707484,161.38225817,2160656.52326755,1491,17,0.881334941706961
"result.4052",3,13,15,103.10079573,129.147312546,162.248094333,2160364.31511412,1492,16.5,0.879988207580987
"result.3922",1,5,15,103.54902572,126.6823187,164.68701431,2160336.36847451,1495,17,0.879859406612149
"result.3697",0,7,14,102.99823303,127.78390408,164.13622162,2160281.56118218,1491,17,0.879606809790073
