"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,118.96630872,125.96432688,125.96432688,1887639.80598131,1498,14,1
"result.3825",0,15,14,118.96630872,126.46418532,125.46446844,1887610.08124261,1498,14,0.999851295852485
"result.3794",1,13,14,119.46616716,125.46446844,125.46446844,1880556.70049595,1498,14,0.964565301184863
"result.3554",1,14,13,119.46616716,125.96432688,124.96461,1880526.8508634,1498,14,0.964415972230005
"result.4034",1,12,15,119.46616716,124.96461,125.96432688,1880526.8508634,1498,14,0.964415972230005
"result.3314",1,15,12,119.46616716,126.46418532,124.46475156,1880437.30196574,1498,14,0.963967985365433
"result.3809",0,14,14,118.96630872,125.96432688,125.46446844,1880149.17183059,1495,14,0.962526554826288
"result.4049",0,13,15,118.96630872,125.46446844,125.96432688,1880149.17183059,1495,14,0.962526554826288
"result.3569",0,15,13,118.96630872,126.46418532,124.96461,1880089.7223532,1495,14,0.962229146531259
"result.3523",2,12,13,119.9660256,124.96461,124.96461,1873407.9008402,1499,14,0.92880195370757
"result.3283",2,13,12,119.9660256,125.46446844,124.46475156,1873377.92631379,1499,14,0.928651999945371
"result.3763",2,11,14,119.9660256,124.46475156,125.46446844,1873377.92631379,1499,14,0.928651999945371
"result.3043",2,14,11,119.9660256,125.96432688,123.96489312,1873288.00273455,1499,14,0.928202138658772
"result.4003",2,10,15,119.9660256,123.96489312,125.96432688,1873288.00273455,1499,14,0.928202138658772
"result.2803",2,15,10,119.9660256,126.46418532,123.46503468,1873138.13010248,1499,14,0.927452369847773
"result.3538",1,13,13,119.46616716,125.46446844,124.96461,1873064.44272505,1495,14,0.927083733515699
"result.3778",1,12,14,119.46616716,124.96461,125.46446844,1873064.44272505,1495,14,0.927083733515699
"result.3298",1,14,12,119.46616716,125.96432688,124.46475156,1873004.74345994,1495,14,0.926785075605984
"result.4018",1,11,15,119.46616716,124.46475156,125.96432688,1873004.74345994,1495,14,0.926785075605984
"result.3058",1,15,11,119.46616716,126.46418532,123.96489312,1872885.34492973,1495,14,0.926187759786555
"result.3793",0,13,14,118.96630872,125.46446844,125.46446844,1872688.26241856,1492,14,0.925201813800092
"result.3553",0,14,13,118.96630872,125.96432688,124.96461,1872658.53767987,1492,14,0.925053109652577
"result.4033",0,12,15,118.96630872,124.96461,125.96432688,1872658.53767987,1492,14,0.925053109652577
"result.3313",0,15,12,118.96630872,126.46418532,124.46475156,1872569.36346379,1492,14,0.924606997210033
"result.3252",3,11,12,120.46588404,124.46475156,124.46475156,1866194.15637723,1499,14,0.892713706412179
"result.3012",3,12,11,120.46588404,124.96461,123.96489312,1866164.05695696,1499,14,0.892563127842637
"result.3492",3,10,13,120.46588404,123.96489312,124.96461,1866164.05695696,1499,14,0.892563127842637
"result.2772",3,13,10,120.46588404,125.46446844,123.46503468,1866073.75869614,1499,14,0.89211139213401
"result.3732",3,9,14,120.46588404,123.46503468,125.46446844,1866073.75869614,1499,14,0.89211139213401
"result.2532",3,14,9,120.46588404,125.96432688,122.96517624,1865923.26159477,1499,14,0.891358499286299
"result.3972",3,8,15,120.46588404,122.96517624,125.96432688,1865923.26159477,1499,14,0.891358499286299
"result.3267",2,12,12,119.9660256,124.96461,124.46475156,1865914.26923684,1496,14,0.891313513157639
"result.3507",2,11,13,119.9660256,124.46475156,124.96461,1865914.26923684,1496,14,0.891313513157639
"result.3027",2,13,11,119.9660256,125.46446844,123.96489312,1865854.32018402,1496,14,0.89101360563324
"result.3747",2,10,14,119.9660256,123.96489312,125.46446844,1865854.32018402,1496,14,0.89101360563324
"result.2787",2,14,10,119.9660256,125.96432688,123.46503468,1865734.42207836,1496,14,0.89041379058444
"result.3987",2,9,15,119.9660256,123.46503468,125.96432688,1865734.42207836,1496,14,0.89041379058444
"result.2292",3,15,8,120.46588404,126.46418532,122.4653178,1865712.56565285,1499,14,0.890304449299503
"result.3522",1,12,13,119.46616716,124.96461,124.96461,1865602.0345867,1492,14,0.889751494801392
"result.3282",1,13,12,119.46616716,125.46446844,124.46475156,1865572.18495415,1492,14,0.889602165846534
"result.3762",1,11,14,119.46616716,124.46475156,125.46446844,1865572.18495415,1492,14,0.889602165846534
"result.2547",2,15,9,119.9660256,126.46418532,122.96517624,1865554.57491988,1496,14,0.889514068011242
"result.3042",1,14,11,119.46616716,125.96432688,123.96489312,1865482.63605649,1492,14,0.889154178981963
"result.4002",1,10,15,119.46616716,123.96489312,125.96432688,1865482.63605649,1492,14,0.889154178981963
"result.2802",1,15,10,119.46616716,126.46418532,123.46503468,1865333.38789372,1492,14,0.888407534207677
"result.3537",0,13,13,118.96630872,125.46446844,124.96461,1865227.35300654,1489,14,0.887877072773896
"result.3777",0,12,14,118.96630872,124.96461,125.46446844,1865227.35300654,1489,14,0.887877072773896
"result.3297",0,14,12,118.96630872,125.96432688,124.46475156,1865167.90352915,1489,14,0.887579664478865
"result.4017",0,11,15,118.96630872,124.46475156,125.96432688,1865167.90352915,1489,14,0.887579664478865
"result.3057",0,15,11,118.96630872,126.46418532,123.96489312,1865049.00457438,1489,14,0.886984847888807
"result.2981",4,10,11,120.96574248,123.96489312,123.96489312,1858916.21647019,1499,14,0.856304308142743
"result.2741",4,11,10,120.96574248,124.46475156,123.46503468,1858885.99215605,1499,14,0.856153104765859
"result.3221",4,9,12,120.96574248,123.46503468,124.46475156,1858885.99215605,1499,14,0.856153104765859
"result.2501",4,12,9,120.96574248,124.96461,122.96517624,1858795.31921365,1499,14,0.855699494635205
"result.3461",4,8,13,120.96574248,122.96517624,124.96461,1858795.31921365,1499,14,0.855699494635205
"result.2996",3,11,11,120.46588404,124.46475156,123.96489312,1858699.40072913,1496,14,0.855219642596166
"result.3236",3,10,12,120.46588404,123.96489312,124.46475156,1858699.40072913,1496,14,0.855219642596166
"result.2261",4,13,8,120.96574248,125.46446844,122.4653178,1858644.19764298,1499,14,0.854943477750781
"result.3701",4,7,14,120.96574248,122.4653178,125.46446844,1858644.19764298,1499,14,0.854943477750781
"result.2756",3,12,10,120.46588404,124.96461,123.46503468,1858639.20188858,1496,14,0.854918485457081
"result.3476",3,9,13,120.46588404,123.46503468,124.96461,1858639.20188858,1496,14,0.854918485457081
"result.2516",3,13,9,120.46588404,125.46446844,122.96517624,1858518.80420749,1496,14,0.854316171178912
"result.3716",3,8,14,120.46588404,122.96517624,125.46446844,1858518.80420749,1496,14,0.854316171178912
"result.3251",2,11,12,119.9660256,124.46475156,124.46475156,1858450.6121599,1493,14,0.853975026369907
"result.2021",4,14,7,120.96574248,125.96432688,121.96545936,1858432.62744405,1499,14,0.853885054112588
