"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,125.396422467,109.284032988,131.000731851,1795211.33595869,1500,27.5,1
"result.3313",0,15,12,125.396422467,110.685110334,128.899115832,1789057.45094581,1497,27.5,0.965948404821693
"result.4083",2,15,15,125.64000065,109.6746967,129.80486255,1788649.86326358,1499,27,0.963693079815514
"result.3553",0,14,13,125.396422467,109.984571661,129.599654505,1787395.90199233,1497,27.5,0.95675447412355
"result.3538",1,13,13,126.09696114,109.284032988,129.599654505,1785933.06508005,1500,27.5,0.948660086554629
"result.3793",0,13,14,125.396422467,109.284032988,130.300193178,1785611.27533859,1496,27.5,0.946879511521842
"result.3778",1,12,14,126.09696114,108.583494315,130.300193178,1784076.58580242,1499,27.5,0.938387538288548
"result.4033",0,12,15,125.396422467,108.583494315,131.000731851,1783703.5709846,1495,27.5,0.936323517016567
"result.4018",1,11,15,126.09696114,107.882955642,131.000731851,1782096.34123961,1499,27.5,0.927430153471394
"result.3233",0,10,12,126.53227359,108.15328413,130.06669464,1779947.23004279,1500,28,0.915538370587233
"result.2802",1,15,10,126.09696114,110.685110334,127.498038486,1779497.27025093,1497,27.5,0.91304858589888
"result.3057",0,15,11,125.396422467,110.685110334,128.198577159,1779334.31262545,1493,27.5,0.912146884439968
"result.3572",3,15,13,126.3341443,109.6746967,128.41657525,1779296.27134118,1499,27,0.911936388727207
"result.3827",2,15,14,125.64000065,109.6746967,129.1107189,1779084.89073276,1495,27,0.910766745990748
"result.4082",1,15,15,124.945857,109.6746967,129.80486255,1778767.81982014,1490,27,0.909012281886059
"result.1777",0,15,6,126.53227359,111.68770518,125.82538938,1778176.89321268,1499,28,0.905742478570748
"result.3042",1,14,11,126.09696114,109.984571661,128.198577159,1777950.20418624,1497,27.5,0.904488129010479
"result.3473",0,9,13,126.53227359,107.44639992,130.77357885,1777923.98795124,1499,28,0.904343065425536
"result.3297",0,14,12,125.396422467,109.984571661,128.899115832,1777734.3025221,1493,27.5,0.90329346969361
"result.3812",3,14,14,126.3341443,108.98055305,129.1107189,1777591.84795433,1498,27,0.902505218814241
"result.4067",2,14,15,125.64000065,108.98055305,129.80486255,1777329.29450875,1494,27,0.90105241889633
"result.2017",0,14,7,126.53227359,110.98082097,126.53227359,1776849.1405901,1499,28,0.898395559558385
"result.3027",2,13,11,126.797499813,109.284032988,128.198577159,1776440.2677071,1500,27.5,0.8961331230874
"result.3282",1,13,12,126.09696114,109.284032988,128.899115832,1776279.37283637,1496,27.5,0.895242835571006
"result.3537",0,13,13,125.396422467,109.284032988,129.599654505,1776011.21471849,1492,27.5,0.893759023043683
"result.3713",0,8,14,126.53227359,106.73951571,131.48046306,1775774.29322896,1498,28,0.892448053691232
"result.4052",3,13,15,126.3341443,108.2864094,129.80486255,1775765.68003985,1497,27,0.892400393907493
