"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,97.20690123,75.86880096,64.80460082,477932.054394216,681,40,1
"result.4095",14,15,15,96.41660122,75.86880096,64.80460082,474046.427935727,676,40,0.979400219814728
"result.4080",15,14,15,97.20690123,75.07850095,64.80460082,472953.595494277,678,40,0.97360653163762
"result.3840",15,15,14,97.20690123,75.86880096,64.01430081,472103.614706482,677,40,0.969100329722091
"result.4094",13,15,15,95.62630121,75.86880096,64.80460082,470160.801477237,670,40,0.958800439629455
"result.4079",14,14,15,96.41660122,75.07850095,64.80460082,469108.444311396,672,40,0.953221332495944
"result.3839",14,15,14,96.41660122,75.86880096,64.01430081,468265.373936511,671,40,0.948751766368347
"result.4064",15,13,15,97.20690123,74.28820094,64.80460082,467975.136594337,674,40,0.947213063275239
"result.3824",15,14,14,97.20690123,75.07850095,64.01430081,467185.868719956,673,40,0.943028732925106
"result.3584",15,15,13,97.20690123,75.86880096,63.2240008,466275.175018748,673,40,0.938200659444183
"result.4093",12,15,15,94.8360012,75.86880096,64.80460082,466275.175018748,664,40,0.938200659444183
"result.4078",13,14,15,95.62630121,75.07850095,64.80460082,465263.293128516,667,40,0.932836133354268
"result.3838",13,15,14,95.62630121,75.86880096,64.01430081,464427.133166539,666,40,0.928403203014602
"result.4063",14,13,15,96.41660122,74.28820094,64.80460082,464170.460687066,668,40,0.92704244517716
"result.3823",14,14,14,96.41660122,75.07850095,64.01430081,463387.609624672,668,40,0.922892133772963
"result.4048",15,12,15,97.20690123,73.49790093,64.80460082,462996.677694397,670,40,0.920819594912859
"result.3583",14,15,13,96.41660122,75.86880096,63.2240008,462484.319937294,667,40,0.918103312921966
"result.4092",11,15,15,94.04570119,75.86880096,64.80460082,462389.548560258,659,40,0.91760087925891
"result.3808",15,13,14,97.20690123,74.28820094,64.01430081,462268.12273343,670,40,0.91695713612812
"result.3568",15,14,13,97.20690123,75.07850095,63.2240008,461418.141945636,669,40,0.912450934212592
"result.4077",12,14,15,94.8360012,75.07850095,64.80460082,461418.141945636,661,40,0.912450934212592
"result.3837",12,15,14,94.8360012,75.86880096,64.01430081,460588.892396568,660,40,0.908054639660857
"result.3328",15,15,12,97.20690123,75.86880096,62.43370079,460446.735331013,669,40,0.907300989166274
"result.4062",13,13,15,95.62630121,74.28820094,64.80460082,460365.784779795,663,40,0.906871827079081
"result.3822",13,14,14,95.62630121,75.07850095,64.01430081,459589.350529388,662,40,0.902755534620819
"result.4047",14,12,15,96.41660122,73.49790093,64.80460082,459232.477062735,665,40,0.900863557858376
"result.3582",13,15,13,95.62630121,75.86880096,63.2240008,458693.464855841,662,40,0.898005966399749
"result.3807",14,13,14,96.41660122,74.28820094,64.01430081,458509.845312833,664,40,0.897032501177579
"result.4091",10,15,15,93.25540118,75.86880096,64.80460082,458503.922101768,653,40,0.897001099073638
"result.4032",15,11,15,97.20690123,72.70760092,64.80460082,458018.218794457,667,40,0.894426126550479
"result.3567",14,14,13,96.41660122,75.07850095,63.2240008,457666.774937948,664,40,0.892562935049982
"result.4076",11,14,15,94.04570119,75.07850095,64.80460082,457572.990762755,655,40,0.892065735070916
"result.3792",15,12,14,97.20690123,73.49790093,64.01430081,457350.376746904,666,40,0.890885539331135
"result.3836",11,15,14,94.04570119,75.86880096,64.01430081,456750.651626596,655,40,0.887706076307113
"result.3327",14,15,12,96.41660122,75.86880096,62.43370079,456703.265938078,663,40,0.887454859475585
"result.3552",15,13,13,97.20690123,74.28820094,63.2240008,456561.108872524,666,40,0.886701208981002
"result.4061",12,13,15,94.8360012,74.28820094,64.80460082,456561.108872524,658,40,0.886701208981002
"result.3821",12,14,14,94.8360012,75.07850095,64.01430081,455791.091434104,657,40,0.882618935468676
"result.3312",15,14,12,97.20690123,75.07850095,62.43370079,455650.415171315,665,40,0.881873135500079
"result.4046",13,12,15,95.62630121,73.49790093,64.80460082,455468.276431074,659,40,0.880907520803894
"result.3581",12,15,13,94.8360012,75.86880096,63.2240008,454902.609774388,656,40,0.877908619877532
"result.3806",13,13,14,95.62630121,74.28820094,64.01430081,454751.567892236,659,40,0.877107866227037
"result.3072",15,15,11,97.20690123,75.86880096,61.64340078,454618.295643279,664,40,0.876401318888365
"result.4090",9,15,15,92.46510117,75.86880096,64.80460082,454618.295643279,648,40,0.876401318888365
"result.4031",14,11,15,96.41660122,72.70760092,64.80460082,454294.493438405,661,40,0.874684670539593
"result.3566",13,14,13,95.62630121,75.07850095,63.2240008,453915.407930259,658,40,0.872674935887371
"result.4075",10,14,15,93.25540118,75.07850095,64.80460082,453727.839579875,650,40,0.87168053592924
"result.3791",14,12,14,96.41660122,73.49790093,64.01430081,453632.081000995,661,40,0.871172868582195
"result.4016",15,10,15,97.20690123,71.91730091,64.80460082,453039.759894518,663,40,0.868032658188098
"result.3326",13,15,12,95.62630121,75.86880096,62.43370079,452959.796545143,658,40,0.867608729784895
"result.3835",10,15,14,93.25540118,75.86880096,64.01430081,452912.410856625,649,40,0.867357512953368
"result.3551",14,13,13,96.41660122,74.28820094,63.2240008,452849.229938601,660,40,0.867022557177997
"result.4060",11,13,15,94.04570119,74.28820094,64.80460082,452756.432965253,652,40,0.866530590882922
"result.3776",15,11,14,97.20690123,72.70760092,64.01430081,452432.630760379,663,40,0.86481394253415
"result.3820",11,14,14,94.04570119,75.07850095,64.01430081,451992.832338819,651,40,0.862482336316533
"result.3311",14,14,12,96.41660122,75.07850095,62.43370079,451945.940251223,660,40,0.862233736327
"result.3536",15,12,13,97.20690123,73.49790093,63.2240008,451704.075799412,662,40,0.860951483749411
"result.4045",12,12,15,94.8360012,73.49790093,64.80460082,451704.075799412,654,40,0.860951483749411
"result.3580",11,15,13,94.04570119,75.86880096,63.2240008,451111.754692935,651,40,0.857811273355315
"result.3805",12,13,14,94.8360012,74.28820094,64.01430081,450993.290471639,653,40,0.857183231276496
"result.3071",14,15,11,96.41660122,75.86880096,61.64340078,450922.211938862,659,40,0.856806406029204
"result.3296",15,13,12,97.20690123,74.28820094,62.43370079,450854.095011617,662,40,0.856445281833883
"result.4089",8,15,15,91.67480116,75.86880096,64.80460082,450732.669184789,642,40,0.855801538703093
