"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,97.99720124,73.49790093,64.80460082,466760.878326059,676,40,1
"result.4095",14,15,15,97.20690123,73.49790093,64.80460082,462996.677694397,670,40,0.979717545679406
"result.4080",15,14,15,97.99720124,72.70760092,64.80460082,461741.94415051,672,40,0.972956727572542
"result.3840",15,15,14,97.99720124,73.49790093,64.01430081,461068.672492814,672,40,0.9693289715152
"result.4094",13,15,15,96.41660122,73.49790093,64.80460082,459232.477062735,665,40,0.959435091358813
"result.4079",14,14,15,97.20690123,72.70760092,64.80460082,458018.218794457,667,40,0.952892364158621
"result.3839",14,15,14,97.20690123,73.49790093,64.01430081,457350.376746904,666,40,0.949293864198516
"result.4064",15,13,15,97.99720124,71.91730091,64.80460082,456723.009974961,669,40,0.945913455145084
"result.3824",15,14,14,97.99720124,72.70760092,64.01430081,456110.944831601,668,40,0.942615495092955
"result.4093",12,15,15,95.62630121,73.49790093,64.80460082,455468.276431074,659,40,0.939152637038219
"result.3584",15,15,13,97.99720124,73.49790093,63.2240008,455376.46665957,668,40,0.9386579430304
"result.4078",13,14,15,96.41660122,72.70760092,64.80460082,454294.493438405,661,40,0.932828000744701
"result.3838",13,15,14,96.41660122,73.49790093,64.01430081,453632.081000995,661,40,0.929258756881832
"result.4063",14,13,15,97.20690123,71.91730091,64.80460082,453039.759894518,663,40,0.926067182637836
"result.3823",14,14,14,97.20690123,72.70760092,64.01430081,452432.630760379,663,40,0.92279581903774
"result.3583",14,15,13,97.20690123,73.49790093,63.2240008,451704.075799412,662,40,0.918870182717626
"result.4048",15,12,15,97.99720124,71.1270009,64.80460082,451704.075799412,665,40,0.918870182717626
"result.4092",11,15,15,94.8360012,73.49790093,64.80460082,451704.075799412,654,40,0.918870182717626
"result.3808",15,13,14,97.99720124,71.91730091,64.01430081,451153.217170388,664,40,0.915902018670709
"result.4077",12,14,15,95.62630121,72.70760092,64.80460082,450570.768082352,656,40,0.91276363733078
"result.3568",15,14,13,97.99720124,72.70760092,63.2240008,450479.945512693,664,40,0.912274262613368
"result.3837",12,15,14,95.62630121,73.49790093,64.01430081,449913.785255085,655,40,0.909223649565148
"result.3328",15,15,12,97.99720124,73.49790093,62.43370079,449684.260826325,663,40,0.9079869145456
"result.4062",13,13,15,96.41660122,71.91730091,64.80460082,449356.509814074,658,40,0.906220910130589
"result.3822",13,14,14,96.41660122,72.70760092,64.01430081,448754.316689156,657,40,0.902976142982526
"result.4047",14,12,15,97.20690123,71.1270009,64.80460082,448061.300994578,659,40,0.899242001117051
"result.3582",13,15,13,96.41660122,73.49790093,63.2240008,448031.684939254,657,40,0.899082422404851
"result.4091",10,15,15,94.04570119,73.49790093,64.80460082,447939.87516775,649,40,0.898587728397032
"result.3807",14,13,14,97.20690123,71.91730091,64.01430081,447514.884773853,659,40,0.896297773876965
"result.3567",14,14,13,97.20690123,72.70760092,63.2240008,446847.0427263,659,40,0.892699273916859
"result.4076",11,14,15,94.8360012,72.70760092,64.80460082,446847.0427263,650,40,0.892699273916859
"result.4032",15,11,15,97.99720124,70.33670089,64.80460082,446685.141623863,661,40,0.891826910290167
"result.3792",15,12,14,97.99720124,71.1270009,64.01430081,446195.489509175,661,40,0.889188542248464
"result.3836",11,15,14,94.8360012,73.49790093,64.01430081,446195.489509175,650,40,0.889188542248464
"result.3327",14,15,12,97.20690123,73.49790093,62.43370079,446057.774851919,658,40,0.888446501236735
"result.4061",12,13,15,95.62630121,71.91730091,64.80460082,445673.259733631,652,40,0.886374637623341
"result.3552",15,13,13,97.99720124,71.91730091,63.2240008,445583.424365815,660,40,0.885890582196335
"result.3821",12,14,14,95.62630121,72.70760092,64.01430081,445076.002617933,652,40,0.883156466927312
"result.3312",15,14,12,97.99720124,72.70760092,62.43370079,444848.946193784,660,40,0.88193303013378
"result.4046",13,12,15,96.41660122,71.1270009,64.80460082,444418.526189744,654,40,0.879613819516477
"result.3581",12,15,13,95.62630121,73.49790093,63.2240008,444359.294079096,651,40,0.879294662092077
"result.4090",9,15,15,93.25540118,73.49790093,64.80460082,444175.674536088,643,40,0.878305274076438
"result.3072",15,15,11,97.99720124,73.49790093,61.64340078,443992.05499308,659,40,0.877315886060799
"result.3806",13,13,14,96.41660122,71.91730091,64.01430081,443876.552377317,654,40,0.876693529083221
"result.3566",13,14,13,96.41660122,72.70760092,63.2240008,443214.139939907,653,40,0.873124285220352
"result.4075",10,14,15,94.04570119,72.70760092,64.80460082,443123.317370247,645,40,0.872634910502939
"result.4031",14,11,15,97.20690123,70.33670089,64.80460082,443082.842094638,656,40,0.872416819596266
"result.3791",14,12,14,97.20690123,71.1270009,64.01430081,442597.138787327,655,40,0.869799728716189
"result.3835",10,15,14,94.04570119,73.49790093,64.01430081,442477.193763265,645,40,0.86915343493178
"result.3326",13,15,12,96.41660122,73.49790093,62.43370079,442431.288877513,653,40,0.86890608792787
"result.3551",14,13,13,97.20690123,71.91730091,63.2240008,441990.009653188,655,40,0.866528365116094
"result.4060",11,13,15,94.8360012,71.91730091,64.80460082,441990.009653188,647,40,0.866528365116094
"result.4016",15,10,15,97.99720124,69.54640088,64.80460082,441666.207448314,657,40,0.864783637862709
"result.3820",11,14,14,94.8360012,72.70760092,64.01430081,441397.688546711,646,40,0.863336790872098
"result.3311",14,14,12,97.20690123,72.70760092,62.43370079,441261.454692221,654,40,0.862602728795979
"result.3776",15,11,14,97.99720124,70.33670089,64.01430081,441237.761847962,657,40,0.862475065826219
"result.4045",12,12,15,95.62630121,71.1270009,64.80460082,440775.75138491,649,40,0.859985637915902
"result.3536",15,12,13,97.99720124,71.1270009,63.2240008,440686.903218938,657,40,0.859506901779303
"result.3580",11,15,13,94.8360012,73.49790093,63.2240008,440686.903218938,646,40,0.859506901779303
"result.3071",14,15,11,97.20690123,73.49790093,61.64340078,440411.473904426,654,40,0.858022819755845
"result.4089",8,15,15,92.46510117,73.49790093,64.80460082,440411.473904426,638,40,0.858022819755845
"result.3805",12,13,14,95.62630121,71.91730091,64.01430081,440238.219980782,648,40,0.857089284289476
"result.3296",15,13,12,97.99720124,71.91730091,62.43370079,440013.631561243,656,40,0.855879145721961
"result.3565",12,14,13,95.62630121,72.70760092,63.2240008,439581.237153514,648,40,0.853549296523844
"result.4030",13,11,15,96.41660122,70.33670089,64.80460082,439480.542565413,650,40,0.853006728902365
"result.4074",9,14,15,93.25540118,72.70760092,64.80460082,439399.592014195,640,40,0.852570547089018
"result.3056",15,14,11,97.99720124,72.70760092,61.64340078,439217.946874875,656,40,0.851591797654193
"result.3790",13,12,14,96.41660122,71.1270009,64.01430081,438998.788065479,650,40,0.850410915183915
"result.3325",12,15,12,95.62630121,73.49790093,62.43370079,438804.802903107,647,40,0.849365674619006
"result.3834",9,15,14,93.25540118,73.49790093,64.01430081,438758.898017355,639,40,0.849118327615096
"result.3550",13,13,13,96.41660122,71.91730091,63.2240008,438396.59494056,650,40,0.847166148035852
"result.4059",10,13,15,94.04570119,71.91730091,64.80460082,438306.759572745,642,40,0.846682092608846
"result.2816",15,15,10,97.99720124,73.49790093,60.85310077,438299.849159836,655,40,0.846644857575999
"result.4015",14,10,15,97.20690123,69.54640088,64.80460082,438104.383194698,652,40,0.845591638075481
"result.3819",10,14,14,94.04570119,72.70760092,64.01430081,437719.374475488,641,40,0.843517114816884
"result.3775",14,11,14,97.20690123,70.33670089,64.01430081,437679.392800801,652,40,0.843301683555414
"result.3310",13,14,12,96.41660122,72.70760092,62.43370079,437673.963190658,649,40,0.843272427458177
