"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,84.56210107,73.49790093,106.69050135,663096.074687246,748,40,1
"result.3840",15,15,14,84.56210107,73.49790093,105.90020134,658184.251911785,746,40,0.979366116139467
"result.4095",14,15,15,83.77180106,73.49790093,106.69050135,656898.91511073,741,40,0.973966595129234
"result.4080",15,14,15,84.56210107,72.70760092,106.69050135,655966.009368028,744,40,0.970047587944387
"result.3584",15,15,13,84.56210107,73.49790093,105.10990133,653272.429136324,743,40,0.958732232278934
"result.3839",14,15,14,83.77180106,73.49790093,105.90020134,652032.997221021,739,40,0.95352555130478
"result.3824",15,14,14,84.56210107,72.70760092,105.90020134,651107.001891228,742,40,0.949635573802785
"result.4094",13,15,15,82.98150105,73.49790093,106.69050135,650701.755534214,734,40,0.947933190258468
"result.4079",14,14,15,83.77180106,72.70760092,106.69050135,649835.485915991,737,40,0.944294112158253
"result.4064",15,13,15,84.56210107,71.91730091,106.69050135,648835.944048811,740,40,0.940095175888775
"result.3328",15,15,12,84.56210107,73.49790093,104.31960132,648360.606360863,740,40,0.938098348418401
"result.3583",14,15,13,83.77180106,73.49790093,105.10990133,647167.079331312,736,40,0.933084507480327
"result.3568",15,14,13,84.56210107,72.70760092,105.10990133,646247.994414428,739,40,0.929223559661182
"result.3838",13,15,14,82.98150105,73.49790093,105.90020134,645881.742530257,732,40,0.927684986470094
"result.3823",14,14,14,83.77180106,72.70760092,105.90020134,645021.889724021,735,40,0.924072864503955
"result.4093",12,15,15,82.19120104,73.49790093,106.69050135,644504.595957697,727,40,0.921899785387702
"result.3808",15,13,14,84.56210107,71.91730091,105.90020134,644029.751870672,737,40,0.919905031466103
"result.4078",13,14,15,82.98150105,72.70760092,106.69050135,643704.962463953,730,40,0.918540636372119
"result.3072",15,15,11,84.56210107,73.49790093,103.52930131,643448.783585402,737,40,0.917464464557868
"result.4063",14,13,15,83.77180106,71.91730091,106.69050135,642772.056721252,733,40,0.914621629187272
"result.3327",14,15,12,83.77180106,73.49790093,104.31960132,642301.161441603,733,40,0.912643463655874
"result.4048",15,12,15,84.56210107,71.1270009,106.69050135,641705.878729593,736,40,0.910142763833162
"result.3312",15,14,12,84.56210107,72.70760092,104.31960132,641388.986937628,736,40,0.908811545519579
"result.3582",13,15,13,82.98150105,73.49790093,105.10990133,641061.729526299,729,40,0.90743678268172
"result.3567",14,14,13,83.77180106,72.70760092,105.10990133,640208.29353205,732,40,0.903851616849658
"result.3837",12,15,14,82.19120104,73.49790093,105.90020134,639730.487839492,725,40,0.901844421635408
"result.3552",15,13,13,84.56210107,71.91730091,105.10990133,639223.559692532,735,40,0.899714887043431
"result.3822",13,14,14,82.98150105,72.70760092,105.90020134,638936.777556813,728,40,0.898510155205126
"result.2816",15,15,10,84.56210107,73.49790093,102.7390013,638536.960809941,734,40,0.896830580697334
"result.4092",11,15,15,81.40090103,73.49790093,106.69050135,638307.436381181,720,40,0.895866380516936
"result.3807",14,13,14,83.77180106,71.91730091,105.90020134,638010.78222702,731,40,0.89462017770313
"result.4077",12,14,15,82.19120104,72.70760092,106.69050135,637574.439011916,723,40,0.892787160585985
"result.3071",14,15,11,83.77180106,73.49790093,103.52930131,637435.243551894,730,40,0.892202419831421
"result.3792",15,12,14,84.56210107,71.1270009,105.90020134,636952.501850115,733,40,0.890174489129421
"result.4062",13,13,15,82.98150105,71.91730091,106.69050135,636708.169393693,726,40,0.88914808248577
"result.3056",15,14,11,84.56210107,72.70760092,103.52930131,636529.979460828,733,40,0.888399531377977
"result.3326",13,15,12,82.98150105,73.49790093,104.31960132,636241.716522342,726,40,0.887188578893347
"result.4047",14,12,15,83.77180106,71.1270009,106.69050135,635708.627526513,729,40,0.884949146216292
"result.3311",14,14,12,83.77180106,72.70760092,104.31960132,635394.69734008,729,40,0.883630369195359
"result.3581",12,15,13,82.19120104,73.49790093,105.10990133,634956.379721287,722,40,0.881789057883114
"result.4032",15,11,15,84.56210107,70.33670089,106.69050135,634575.813410375,732,40,0.88019035177755
"result.3296",15,13,12,84.56210107,71.91730091,104.31960132,634417.367514393,732,40,0.879524742620758
"result.3566",13,14,13,82.98150105,72.70760092,105.10990133,634168.592649672,725,40,0.878479674038132
"result.2560",15,15,9,84.56210107,73.49790093,101.94870129,633625.13803448,731,40,0.876196696836801
"result.3836",11,15,14,81.40090103,73.49790093,105.90020134,633579.233148728,718,40,0.876003856800722
"result.3551",14,13,13,83.77180106,71.91730091,105.10990133,633249.507732789,728,40,0.874618726218988
"result.3821",12,14,14,82.19120104,72.70760092,105.90020134,632851.665389605,721,40,0.872947445906296
"result.2815",14,15,10,83.77180106,73.49790093,102.7390013,632569.325662184,727,40,0.871761376006967
"result.3536",15,12,13,84.56210107,71.1270009,105.10990133,632199.124970636,731,40,0.870206214425679
"result.4091",10,15,15,80.61060102,73.49790093,106.69050135,632110.276804665,713,40,0.86983297564617
"result.3806",13,13,14,82.98150105,71.91730091,105.90020134,631991.812583369,724,40,0.869335323940157
"result.2800",15,14,10,84.56210107,72.70760092,102.7390013,631670.971984027,730,40,0.867987517236374
"result.4076",11,14,15,81.40090103,72.70760092,106.69050135,631443.915559878,716,40,0.86703368479985
"result.3070",13,15,11,82.98150105,73.49790093,103.52930131,631421.703518385,723,40,0.866940375104974
"result.3791",14,12,14,83.77180106,71.1270009,105.90020134,630999.67473002,727,40,0.865167490902305
"result.4061",12,13,15,82.19120104,71.91730091,106.69050135,630644.282066134,719,40,0.863674535784268
"result.3055",14,14,11,83.77180106,72.70760092,103.52930131,630581.10114811,726,40,0.863409121541061
"result.3325",12,15,12,82.19120104,73.49790093,104.31960132,630182.271603082,719,40,0.86173369413082
"result.3776",15,11,14,84.56210107,70.33670089,105.90020134,629875.251829558,729,40,0.860443946792738
"result.4046",13,12,15,82.98150105,71.1270009,106.69050135,629711.376323433,722,40,0.859755528599422
"result.3040",15,13,11,84.56210107,71.91730091,103.52930131,629611.175336253,729,40,0.859334598198086
"result.3310",13,14,12,82.98150105,72.70760092,104.31960132,629400.407742532,722,40,0.85844919287114
"result.3580",11,15,13,81.40090103,73.49790093,105.10990133,628851.029916275,715,40,0.856141333084508
"result.2304",15,15,8,84.56210107,73.49790093,101.15840128,628713.315259019,729,40,0.855562812976268
"result.4031",14,11,15,83.77180106,70.33670089,106.69050135,628645.198331774,725,40,0.855276663245311
"result.3295",14,13,12,83.77180106,71.91730091,104.31960132,628488.233238557,725,40,0.854617274734845
"result.3565",12,14,13,82.19120104,72.70760092,105.10990133,628128.891767295,718,40,0.853107731226608
"result.2559",14,15,9,83.77180106,73.49790093,101.94870129,627703.407772475,725,40,0.851320332182514
"result.3280",15,12,12,84.56210107,71.1270009,104.31960132,627445.748091158,728,40,0.850237939721937
"result.4016",15,10,15,84.56210107,69.54640088,106.69050135,627445.748091158,728,40,0.850237939721937
"result.3835",10,15,14,80.61060102,73.49790093,105.90020134,627427.978457963,711,40,0.850163291966035
"result.3550",13,13,13,82.98150105,71.91730091,105.10990133,627275.455773046,721,40,0.849522565394544
"result.2544",15,14,9,84.56210107,72.70760092,101.94870129,626811.964507227,728,40,0.847575503094772
"result.3820",11,14,14,81.40090103,72.70760092,105.90020134,626766.553222397,714,40,0.847384736607467
"result.2814",13,15,10,82.98150105,73.49790093,102.7390013,626601.690514428,721,40,0.8466921713166
"result.3535",14,12,13,83.77180106,71.1270009,105.10990133,626290.721933528,724,40,0.845385835588318
"result.3805",12,13,14,82.19120104,71.91730091,105.90020134,625972.842939718,717,40,0.844050470177185
"result.4090",9,15,15,79.82030101,73.49790093,106.69050135,625913.117228148,706,40,0.843799570775403
"result.2799",14,14,10,83.77180106,72.70760092,102.7390013,625767.504956139,724,40,0.843187873886764
"result.3069",12,15,11,82.19120104,73.49790093,103.52930131,625408.163484877,716,40,0.841678330378526
"result.4075",10,14,15,80.61060102,72.70760092,106.69050135,625313.39210784,709,40,0.841280209013716
"result.3520",15,11,13,84.56210107,70.33670089,105.10990133,625174.69024874,727,40,0.840697541807927
"result.3790",13,12,14,82.98150105,71.1270009,105.90020134,625046.847609926,720,40,0.840160492675189
"result.2784",15,13,10,84.56210107,71.91730091,102.7390013,624804.983158114,726,40,0.839144453775414
"result.3054",13,14,11,82.98150105,72.70760092,103.52930131,624632.222835392,719,40,0.838418711704146
"result.4060",11,13,15,81.40090103,71.91730091,106.69050135,624580.394738575,713,40,0.838200989082766
"result.3324",11,15,12,81.40090103,73.49790093,104.31960132,624122.826683821,712,40,0.836278809368293
"result.3775",14,11,14,83.77180106,70.33670089,105.90020134,623988.56723302,722,40,0.835714804101479
"result.2048",15,15,7,84.56210107,73.49790093,100.36810127,623801.492483558,726,40,0.834928929115735
"result.3039",14,13,11,83.77180106,71.91730091,103.52930131,623726.958744326,722,40,0.834615823250703
"result.4045",12,12,15,82.19120104,71.1270009,106.69050135,623714.125120352,715,40,0.834561910982551
"result.3309",12,14,12,82.19120104,72.70760092,104.31960132,623406.118144984,715,40,0.833268016546919
"result.2303",14,15,8,83.77180106,73.49790093,101.15840128,622837.489882766,722,40,0.83087928835806
"result.3760",15,10,14,84.56210107,69.54640088,105.90020134,622798.001809001,725,40,0.830713404456056
"result.3579",10,15,13,80.61060102,73.49790093,105.10990133,622745.680111262,708,40,0.830493608285901
"result.4030",13,11,15,82.98150105,70.33670089,106.69050135,622714.583253172,718,40,0.830362974713073
"result.3024",15,12,11,84.56210107,71.1270009,103.52930131,622692.371211679,725,40,0.830269665018196
"result.3294",13,13,12,82.98150105,71.91730091,104.31960132,622559.098962722,718,40,0.829709806848931
"result.3564",11,14,13,81.40090103,72.70760092,105.10990133,622089.190884917,711,40,0.827735788415083
"result.2288",15,14,8,84.56210107,72.70760092,101.15840128,621952.957030427,725,40,0.827163488953169
"result.2558",13,15,9,82.98150105,73.49790093,101.94870129,621781.677510471,718,40,0.826443967528226
"result.3279",14,12,12,83.77180106,71.1270009,104.31960132,621581.769137035,721,40,0.825604180274331
"result.4015",14,10,15,83.77180106,69.54640088,106.69050135,621581.769137035,721,40,0.825604180274331
"result.3549",12,13,13,82.19120104,71.91730091,105.10990133,621301.403813302,714,40,0.824426404570102
"result.3834",9,15,14,79.82030101,73.49790093,105.90020134,621276.723767199,704,40,0.824322727131349
"result.2543",14,14,9,83.77180106,72.70760092,101.94870129,620953.908764169,721,40,0.822966626232466
"result.3819",10,14,14,80.61060102,72.70760092,105.90020134,620681.44105519,707,40,0.821822027308637
"result.2813",12,15,10,82.19120104,73.49790093,102.7390013,620634.055366671,714,40,0.821622966626232
"result.3264",15,11,12,84.56210107,70.33670089,104.31960132,620474.128667923,724,40,0.820951136823116
