"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,120.622230102,114.553187078,135.036207284,1865884.52020848,1500,34.5,1
"result.3825",0,15,14,120.32708672,114.99613984,134.79679968,1865203.60287639,1498,35,0.996040481387555
"result.3553",0,14,13,120.78879827,114.67290975,134.54954744,1863673.09014792,1500,35.5,0.987140585101535
"result.4065",0,14,15,120.32708672,114.234576,135.55836352,1863319.34735659,1497,35,0.985083578912581
"result.3793",0,13,14,120.78879827,113.908423685,135.314033505,1861767.06085117,1499,35.5,0.976057068614835
"result.4033",0,12,15,120.78879827,113.14393762,136.07851957,1859719.84419912,1498,35.5,0.964152550906898
"result.3761",0,11,14,121.24875286,112.80738399,135.82929909,1857839.82345662,1500,36,0.953220273564444
"result.4083",2,15,15,120.9096816,114.10851201,134.51202078,1855838.65707892,1497,34,0.941583537141886
"result.3314",1,15,12,121.08865056,114.99613984,133.273672,1855799.55124206,1499,35,0.941356137600719
"result.4001",0,10,15,121.24875286,112.03998682,136.59669626,1855626.32430111,1499,36,0.940348826926506
"result.3826",1,15,14,120.622230102,114.553187078,134.277576906,1855402.02290394,1496,34.5,0.939044519465017
"result.3057",0,15,11,120.78879827,115.437395815,133.02057531,1854778.28676312,1496,35.5,0.935417508163603
"result.3811",2,14,14,121.38086048,113.7945567,134.277576906,1854706.50796345,1500,34.5,0.935000116095771
"result.3569",0,15,13,120.32708672,114.99613984,134.03523584,1854665.72941381,1493,35,0.934762989768263
"result.2545",0,15,9,121.24875286,115.87697267,131.99231324,1854483.87312407,1499,36,0.933705499629504
"result.4081",0,15,15,119.863599724,114.553187078,135.036207284,1854149.39743987,1490,34.5,0.931760531224988
"result.3554",1,14,13,121.08865056,114.234576,134.03523584,1854043.82792017,1498,35,0.931146646897949
"result.4066",1,14,15,120.622230102,113.7945567,135.036207284,1853527.66908127,1495,34.5,0.928145195130948
"result.3297",0,14,12,120.78879827,114.67290975,133.785061375,1853084.03849935,1496,35.5,0.92556549350876
"result.2785",0,14,10,121.24875286,115.1095755,132.75971041,1852913.00275565,1498,36,0.924570924596128
"result.3809",0,14,14,120.32708672,114.234576,134.79679968,1852851.26113548,1493,35,0.924211898496068
"result.4051",2,13,15,121.38086048,113.035926322,135.036207284,1852750.50863302,1499,34.5,0.923626025013396
"result.3282",1,13,12,121.553284335,113.908423685,133.785061375,1852380.33569992,1500,35.5,0.921473477928227
"result.3794",1,13,14,121.08865056,113.47301216,134.79679968,1852147.64673252,1497,35,0.920120396938958
"result.3537",0,13,13,120.78879827,113.908423685,134.54954744,1851248.60288026,1495,35.5,0.914892477632679
"result.3025",0,13,11,121.24875286,114.34217833,133.52710758,1851199.32599009,1498,36,0.914605933650627
"result.3969",0,8,15,121.706968028,110.922806304,137.112913348,1851035.08539209,1500,36.5,0.913650878353823
"result.4049",0,13,15,120.32708672,113.47301216,135.55836352,1850897.21837421,1492,35,0.912849184818318
"result.2513",0,13,9,121.706968028,114.774292634,132.491129752,1850746.22223894,1500,36.5,0.911971145767435
"result.3522",1,12,13,121.553284335,113.14393762,134.54954744,1850462.24292661,1499,35.5,0.910319812603004
"result.4034",1,12,15,121.08865056,112.71144832,135.55836352,1850111.00767912,1496,35,0.908277387723744
"result.3265",0,12,12,121.24875286,113.57478116,134.29450475,1849342.84282741,1497,36,0.903810526793001
"result.3777",0,12,14,120.78879827,113.14393762,135.314033505,1849271.97990586,1494,35.5,0.903398460535359
"result.2753",0,12,10,121.706968028,114.003995368,133.261427018,1849013.04332004,1500,36.5,0.9018927502491
"result.3762",1,11,14,121.553284335,112.379451555,135.314033505,1848402.06920714,1498,35.5,0.898339949846283
"result.3505",0,11,13,121.24875286,112.80738399,135.06190192,1847343.5532676,1496,36,0.892184704023249
"result.4017",0,11,15,120.78879827,112.379451555,136.07851957,1847154.16957615,1493,35.5,0.891083442216805
"result.2993",0,11,11,121.706968028,113.233698102,134.031724284,1847135.43282455,1499,36.5,0.890974488437571
"result.3829",4,15,14,121.942112094,113.662092137,133.233048399,1846636.10855754,1500,33.5,0.888070929318552
"result.3572",3,15,13,121.66536711,114.10851201,133.00064976,1846455.20319481,1498,34,0.887018968798448
"result.3490",1,10,13,122.01615003,112.03998682,135.06190192,1846389.10038552,1500,36,0.886634582483984
"result.4002",1,10,15,121.553284335,111.61496549,136.07851957,1846199.81454149,1498,35.5,0.885533889658064
"result.2803",2,15,10,121.8502144,114.99613984,131.75054432,1846128.71800109,1499,35,0.885120464912129
"result.3315",2,15,12,121.38086048,114.553187078,132.76031615,1845974.36809545,1496,34.5,0.884222923763743
"result.4084",3,15,15,121.189383007,113.662092137,133.985777486,1845605.69153386,1495,33.5,0.882079078044479
"result.3827",2,15,14,120.9096816,114.10851201,133.75633527,1845412.59720769,1493,34,0.880956238982511
"result.3745",0,10,14,121.24875286,112.03998682,135.82929909,1845201.45731065,1495,36,0.879728465341373
"result.3058",1,15,11,121.08865056,114.99613984,132.51210816,1845194.98237782,1494,35,0.879690813755988
"result.3233",0,10,12,121.706968028,112.463400836,134.80202155,1845113.3907525,1498,36.5,0.879216360332848
"result.2546",1,15,9,121.553284335,115.437395815,131.49160318,1845063.16697213,1497,35.5,0.87892431020608
"result.3570",1,15,13,120.622230102,114.553187078,133.518946528,1844919.52559939,1491,34.5,0.878089038930035
"result.4069",4,14,15,121.942112094,112.90936305,133.985777486,1844770.61018769,1499,33.5,0.877223099238755
"result.3812",3,14,14,121.66536711,113.3528265,133.75633527,1844648.7674903,1498,34,0.876514586758087
"result.2034",1,15,7,122.01615003,115.87697267,130.4575189,1844520.8673294,1500,36,0.875770850266498
"result.3043",2,14,11,121.8502144,114.234576,132.51210816,1844503.2936427,1499,35,0.875668659682898
"result.3555",2,14,13,121.38086048,113.7945567,133.518946528,1844227.94012185,1496,34.5,0.874067485297337
"result.3730",1,9,14,122.01615003,111.27258965,135.82929909,1844161.59174168,1500,36,0.873681670993906
"result.3313",0,15,12,120.32708672,114.99613984,133.273672,1844127.85595123,1489,35,0.873485498148972
"result.2801",0,15,10,120.78879827,115.437395815,132.256089245,1844118.64143689,1492,35.5,0.873431915960209
"result.2289",0,15,8,121.24875286,115.87697267,131.22491607,1843701.99014079,1495,36,0.87100909826406
"result.4067",2,14,15,120.9096816,113.3528265,134.51202078,1843548.33484661,1492,34,0.870115596265271
"result.3298",1,14,12,121.08865056,114.234576,133.273672,1843509.4879888,1494,35,0.86988970268133
"result.2786",1,14,10,121.553284335,114.67290975,132.256089245,1843500.27656425,1496,35.5,0.869836138459601
"result.3540",3,13,13,122.139490858,113.035926322,133.518946528,1843382.66898263,1500,34.5,0.869152253079597
"result.3810",1,14,14,120.622230102,113.7945567,134.277576906,1843114.59228868,1491,34.5,0.867593393275004
"result.2274",1,14,8,122.01615003,115.1095755,131.22491607,1843083.76497854,1499,36,0.867414133176126
"result.3473",0,9,13,121.706968028,111.69310357,135.572318816,1842946.91710386,1497,36.5,0.86661836593493
"result.3985",0,9,15,121.24875286,111.27258965,136.59669626,1842916.55495658,1494,36,0.866441810747372
"result.1777",0,15,6,121.706968028,116.314887166,130.180237954,1842874.70131558,1497,36.5,0.866198432788333
"result.3283",2,13,12,121.8502144,113.47301216,133.273672,1842736.52803577,1498,35,0.865394958346778
"result.4052",3,13,15,121.66536711,112.59714099,134.51202078,1842703.37519314,1497,34,0.865202175330004
"result.2961",0,9,11,122.163467,112.1120425,134.534451,1842583.27642326,1500,37,0.864503803747656
"result.3041",0,14,11,120.78879827,114.67290975,133.02057531,1842494.98685078,1491,35.5,0.863990401915983
"result.3795",2,13,14,121.38086048,113.035926322,134.277576906,1842341.79791036,1495,34.5,0.863099611753619
"result.2529",0,14,9,121.24875286,115.1095755,131.99231324,1842202.52297093,1494,36,0.862289731186746
"result.3026",1,13,11,121.553284335,113.908423685,133.02057531,1841795.3052102,1496,35.5,0.859921769281626
"result.3970",1,8,15,122.01615003,110.50519248,136.59669626,1841790.37286276,1499,36,0.859893087794791
"result.3538",1,13,13,121.08865056,113.47301216,134.03523584,1841683.53573403,1493,35,0.859271832350449
"result.1265",0,15,4,122.163467,116.7511615,129.1221455,1841633.86767996,1499,37,0.858983013759281
"result.2514",1,13,9,122.01615003,114.34217833,131.99231324,1841502.95239259,1498,36,0.858221744376717
"result.2017",0,14,7,121.706968028,115.5445899,130.95053522,1841502.60133811,1497,36.5,0.858219703002986
"result.3780",3,12,14,122.139490858,112.277295944,134.277576906,1841414.44465638,1499,34.5,0.857707073927958
"result.4050",1,13,15,120.622230102,113.035926322,135.036207284,1841170.81795406,1490,34.5,0.856290390261895
"result.3011",2,12,11,122.3177704,113.14393762,133.02057531,1840940.13876061,1500,35.5,0.854948996061855
"result.3523",2,12,13,121.8502144,112.71144832,134.03523584,1840828.42118027,1497,35,0.854299360903767
"result.3281",0,13,12,120.78879827,113.908423685,133.785061375,1840730.14490935,1491,35.5,0.853727886650521
"result.3713",0,8,14,121.706968028,110.922806304,136.342616082,1840636.01187866,1496,36.5,0.853180505243819
"result.2769",0,13,10,121.24875286,114.34217833,132.75971041,1840560.24940394,1493,36,0.852739948197308
"result.1505",0,14,5,122.163467,115.977975,129.895332,1840392.33316949,1499,37,0.851763519159101
"result.3201",0,8,12,122.163467,111.338856,135.3076375,1840392.33316949,1499,37,0.851763519159101
"result.4035",2,12,15,121.38086048,112.277295944,135.036207284,1840315.94146098,1494,34.5,0.851319303132589
"result.2257",0,13,8,121.706968028,114.774292634,131.720832486,1839986.06978407,1496,36.5,0.849401106924443
"result.3266",1,12,12,121.553284335,113.14393762,133.785061375,1839948.25290999,1495,35.5,0.849181202672152
"result.2754",1,12,10,122.01615003,113.57478116,132.75971041,1839778.42957156,1498,36,0.848193683868269
"result.3778",1,12,14,121.08865056,112.71144832,134.79679968,1839717.12561351,1492,35,0.847837202763347
"result.3698",1,7,14,122.477265294,110.152509038,136.342616082,1839422.51239825,1500,36.5,0.846124033698149
"result.4020",3,11,15,122.139490858,111.518665566,135.036207284,1839305.63287826,1498,34.5,0.845444381979774
"result.2242",1,12,8,122.477265294,114.003995368,131.720832486,1839204.49384753,1500,36.5,0.844856260844182
"result.3251",2,11,12,122.3177704,112.379451555,133.785061375,1839009.98251075,1499,35.5,0.843725181898108
"result.1745",0,13,6,122.163467,115.2047885,130.6685185,1839004.73577543,1498,37,0.843694672253016
"result.3521",0,12,13,120.78879827,113.14393762,134.54954744,1838824.11561261,1490,35.5,0.842644370163822
"result.3763",2,11,14,121.8502144,111.94988448,134.79679968,1838778.97307623,1496,35,0.842381867353867
"result.3009",0,12,11,121.24875286,113.57478116,133.52710758,1838775.16943983,1493,36,0.842359749295744
"result.2497",0,12,9,121.706968028,114.003995368,132.491129752,1838325.10665345,1495,36.5,0.839742644552706
"result.3953",0,7,15,121.706968028,110.152509038,137.112913348,1838180.67507687,1495,36.5,0.838902778259513
"result.3441",0,7,13,122.163467,110.5656695,136.080824,1838055.32703213,1498,37,0.838173882264642
"result.3506",1,11,13,121.553284335,112.379451555,134.54954744,1837959.1196636,1494,35.5,0.83761443863118
"result.2994",1,11,11,122.01615003,112.80738399,133.52710758,1837910.19651544,1497,36,0.837329951650785
"result.4018",1,11,15,121.08865056,111.94988448,135.55836352,1837610.25762724,1491,35,0.835585813920024
"result.1985",0,12,7,122.163467,114.431602,131.441705,1837471.07549779,1498,37,0.834776473041028
"result.2482",1,11,9,122.477265294,113.233698102,132.491129752,1837460.3454418,1500,36.5,0.834714078012441
"result.3491",2,10,13,122.3177704,111.61496549,134.54954744,1836936.85172385,1498,35.5,0.831669974092603
"result.3938",1,6,15,122.477265294,109.382211772,137.112913348,1836878.96263989,1499,36.5,0.83133335040186
"result.3249",0,11,12,121.24875286,112.80738399,134.29450475,1836847.28307858,1492,36,0.831149134482056
"result.3061",4,15,11,122.42105262,114.10851201,131.48927874,1836811.09781392,1499,34,0.830938718001026
"result.4003",2,10,15,121.8502144,111.18832064,135.55836352,1836588.18372362,1495,35,0.829642477697078
"result.2737",0,11,10,121.706968028,113.233698102,133.261427018,1836519.71194625,1495,36.5,0.829244315887776
"result.2804",3,15,10,122.139490858,114.553187078,131.243055394,1836283.00266295,1497,34.5,0.827867856854042
"result.1473",0,12,5,122.618263996,114.857614376,130.378913616,1836209.85004035,1500,37.5,0.827442476037493
"result.3573",4,15,13,121.942112094,113.662092137,132.480319312,1836203.13619281,1496,33.5,0.827403435168576
"result.2292",3,15,8,122.61177824,114.99613984,130.22741664,1836191.10315347,1500,35,0.827333463321785
