"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3826",1,15,14,123.0053664,113.39557215,130.6932018,1822943.26870096,1497,23,1
"result.4081",0,15,15,122.36471345,113.39557215,131.33385475,1822338.22727701,1493,23,0.996440292219445
"result.3811",2,14,14,123.64601935,112.7549192,130.6932018,1822085.00915825,1500,23,0.994950505781949
"result.4066",1,14,15,123.0053664,112.7549192,131.33385475,1821529.66474827,1496,23,0.991683185993799
"result.4051",2,13,15,123.64601935,112.11426625,131.33385475,1820613.29388236,1500,23,0.986291798938068
"result.3745",0,10,14,123.687097366,111.383145272,132.105590904,1819973.53707834,1500,23.5,0.982527846284907
"result.3985",0,9,15,123.687097366,110.735568846,132.75316733,1818261.86566009,1499,23.5,0.972457378670366
"result.2289",0,15,8,123.687097366,114.621027402,128.220132348,1817795.04618239,1499,23.5,0.969710887502764
"result.2529",0,14,9,123.687097366,113.973450976,128.867708774,1816653.93190355,1498,23.5,0.962997242426403
"result.2769",0,13,10,123.687097366,113.32587455,129.5152852,1815409.07996301,1498,23.5,0.955673265979465
"result.3315",2,15,12,123.64601935,113.39557215,129.4118959,1814472.68876571,1497,23,0.950164091072216
"result.3009",0,12,11,123.687097366,112.678298124,130.162861626,1814060.49036075,1497,23.5,0.947738958161948
"result.3570",1,15,13,123.0053664,113.39557215,130.05254885,1814007.27228576,1493,23,0.947425854317943
"result.3825",0,15,14,122.36471345,113.39557215,130.6932018,1813448.77250981,1489,23,0.944139970212814
"result.3555",2,14,13,123.64601935,112.7549192,130.05254885,1813153.21989767,1497,23,0.94240111252253
"result.3810",1,14,14,123.0053664,112.7549192,130.6932018,1812644.15418852,1493,23,0.939406069383391
"result.3249",0,11,12,123.687097366,112.030721698,130.810438052,1812608.16309678,1497,23.5,0.939194318973852
"result.3540",3,13,13,124.2866723,112.11426625,130.05254885,1812192.41096108,1500,23,0.936748278002689
"result.4065",0,14,15,122.36471345,112.7549192,131.33385475,1812042.5310777,1489,23,0.935866472946228
"result.3795",2,13,14,123.64601935,112.11426625,130.6932018,1811732.2534244,1496,23,0.934040981776712
"result.3234",1,10,12,124.334673792,111.383145272,130.810438052,1811565.89831759,1500,23.5,0.933062246198252
"result.4050",1,13,15,123.0053664,112.11426625,131.33385475,1811180.06438038,1492,23,0.93079222630554
"result.3489",0,10,13,123.687097366,111.383145272,131.458014478,1811052.0981711,1496,23.5,0.930039348415179
"result.3780",3,12,14,124.2866723,111.4736133,130.6932018,1810713.07021744,1500,23,0.928044707392777
"result.4035",2,12,15,123.64601935,111.4736133,131.33385475,1810209.78934589,1496,23,0.925083698834766
"result.3474",1,9,13,124.334673792,110.735568846,131.458014478,1809949.5460597,1500,23.5,0.923552580445159
"result.3729",0,9,14,123.687097366,110.735568846,132.105590904,1809392.2955837,1495,23.5,0.920274046485927
"result.4086",5,15,15,124.194328468,112.155082341,129.897129265,1809340.37857625,1499,22.5,0.919968597357912
"result.4020",3,11,15,124.2866723,110.83296035,131.33385475,1809131.70597424,1499,23,0.918740890533906
"result.1778",1,15,6,124.334673792,114.621027402,126.924979496,1808854.59775598,1499,23.5,0.917110548805965
