"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,128.81890163,76.65910097,106.69050135,1053583.76413225,1164,40,1
"result.4095",14,15,15,128.02860162,76.65910097,106.69050135,1047120.06005782,1157,40,0.980690539912853
"result.3840",15,15,14,128.81890163,76.65910097,105.90020134,1045779.4399535,1160,40,0.976685614857741
"result.4080",15,14,15,128.81890163,75.86880096,106.69050135,1042722.07584223,1158,40,0.96755214438964
"result.4094",13,15,15,127.23830161,76.65910097,106.69050135,1040656.35598339,1150,40,0.961381079825706
"result.3839",14,15,14,128.02860162,76.65910097,105.90020134,1039363.6151685,1153,40,0.957519187808277
"result.3584",15,15,13,128.81890163,76.65910097,105.10990133,1037975.11577474,1156,40,0.953371229715482
"result.4079",14,14,15,128.02860162,75.86880096,106.69050135,1036325.00789228,1151,40,0.948441750901329
"result.3824",15,14,14,128.81890163,75.86880096,105.90020134,1034998.20861377,1154,40,0.944478113733383
"result.4093",12,15,15,126.4480016,76.65910097,106.69050135,1034192.65190896,1143,40,0.942071619738559
"result.3838",13,15,14,127.23830161,76.65910097,105.90020134,1032947.79038351,1146,40,0.938352760758812
"result.4064",15,13,15,128.81890163,75.07850095,106.69050135,1031860.38755221,1152,40,0.935104288779279
"result.3583",14,15,13,128.02860162,76.65910097,105.10990133,1031607.17027919,1149,40,0.9343478357037
"result.3328",15,15,12,128.81890163,76.65910097,104.31960132,1030170.79159598,1151,40,0.930056844573223
"result.4078",13,14,15,127.23830161,75.86880096,106.69050135,1029927.93994233,1144,40,0.929331357413019
"result.3823",14,14,14,128.02860162,75.86880096,105.90020134,1028648.52635233,1147,40,0.925509278715356
"result.4092",11,15,15,125.65770159,76.65910097,106.69050135,1027728.94783453,1136,40,0.922762159651412
"result.3568",15,14,13,128.81890163,75.86880096,105.10990133,1027274.34138531,1150,40,0.921404083077127
"result.3837",12,15,14,126.4480016,76.65910097,105.90020134,1026531.96559852,1139,40,0.919186333709348
"result.4063",14,13,15,128.02860162,75.07850095,106.69050135,1025529.95572673,1145,40,0.916192961889805
"result.3582",13,15,13,127.23830161,76.65910097,105.10990133,1025239.22478364,1142,40,0.915324441691918
"result.3808",15,13,14,128.81890163,75.07850095,105.90020134,1024216.97727404,1148,40,0.912270612609026
"result.3327",14,15,12,128.02860162,76.65910097,104.31960132,1023850.72538987,1144,40,0.911176483599124
"result.4077",12,14,15,126.4480016,75.86880096,106.69050135,1023530.87199237,1137,40,0.910220963924708
"result.3072",15,15,11,128.81890163,76.65910097,103.52930131,1022366.46741722,1147,40,0.906742459430964
"result.3822",13,14,14,127.23830161,75.86880096,105.90020134,1022298.8440909,1140,40,0.90654044369733
"result.4091",10,15,15,124.86740158,76.65910097,106.69050135,1021265.2437601,1129,40,0.903452699564265
"result.4048",15,12,15,128.81890163,74.28820094,106.69050135,1020998.69926218,1146,40,0.902656433168919
"result.3567",14,14,13,128.02860162,75.86880096,105.10990133,1020972.04481239,1143,40,0.902576806529384
"result.3836",11,15,14,125.65770159,76.65910097,105.90020134,1020116.14081353,1132,40,0.900019906659883
"result.3312",15,14,12,128.81890163,75.86880096,104.31960132,1019550.47415685,1146,40,0.898330052420871
"result.4062",13,13,15,127.23830161,75.07850095,106.69050135,1019199.52390126,1138,40,0.897281635000332
"result.3581",12,15,13,126.4480016,76.65910097,105.10990133,1018871.27928809,1135,40,0.896301047680137
"result.3807",14,13,14,128.02860162,75.07850095,105.90020134,1017933.43753616,1141,40,0.893499369622437
"result.3326",13,15,12,127.23830161,76.65910097,104.31960132,1017530.65918376,1137,40,0.892296122625025
"result.4076",11,14,15,125.65770159,75.86880096,106.69050135,1017133.80404242,1130,40,0.891110570436398
"result.3552",15,13,13,128.81890163,75.07850095,105.10990133,1016573.56699588,1144,40,0.889436936438772
"result.3071",14,15,11,128.02860162,76.65910097,103.52930131,1016094.28050055,1140,40,0.888005131494547
"result.3821",12,14,14,126.4480016,75.86880096,105.90020134,1015949.16182947,1133,40,0.887571608679303
"result.4090",9,15,15,124.07710157,76.65910097,106.69050135,1014801.53968567,1122,40,0.884143239477118
"result.4047",14,12,15,128.02860162,74.28820094,106.69050135,1014734.90356119,1139,40,0.883944172878282
"result.3566",13,14,13,127.23830161,75.86880096,105.10990133,1014669.74823948,1136,40,0.883749529981641
"result.2816",15,15,10,128.81890163,76.65910097,102.7390013,1014562.14323847,1143,40,0.883428074288705
"result.3835",10,15,14,124.86740158,76.65910097,105.90020134,1013700.31602854,1125,40,0.880853479610419
"result.3792",15,12,14,128.81890163,74.28820094,105.90020134,1013435.74593432,1142,40,0.880063111484668
"result.3311",14,14,12,128.02860162,75.86880096,104.31960132,1013295.56327245,1138,40,0.879644334343412
"result.4061",12,13,15,126.4480016,75.07850095,106.69050135,1012869.09207579,1131,40,0.878370308110858
"result.3580",11,15,13,125.65770159,76.65910097,105.10990133,1012503.33379254,1127,40,0.877277653668355
"result.3056",15,14,11,128.81890163,75.86880096,103.52930131,1011826.60692839,1141,40,0.875256021764615
"result.3806",13,13,14,127.23830161,75.07850095,105.90020134,1011649.89779829,1134,40,0.874728126635848
"result.3325",12,15,12,126.4480016,76.65910097,104.31960132,1011210.59297765,1130,40,0.873415761650926
"result.4075",10,14,15,124.86740158,75.86880096,106.69050135,1010736.73609247,1123,40,0.872000176948088
"result.3551",14,13,13,128.02860162,75.07850095,105.10990133,1010336.9193456,1137,40,0.870805777355068
"result.4032",15,11,15,128.81890163,73.49790093,106.69050135,1010137.01097216,1140,40,0.870208577558559
"result.3070",13,15,11,127.23830161,76.65910097,103.52930131,1009822.09358388,1133,40,0.869267803558131
"result.3820",11,14,14,125.65770159,75.86880096,105.90020134,1009599.47956803,1126,40,0.868602773661277
"result.3296",15,13,12,128.81890163,75.07850095,104.31960132,1008930.15671771,1140,40,0.866603260268519
"result.4046",13,12,15,127.23830161,74.28820094,106.69050135,1008471.10786019,1132,40,0.865231912587644
"result.3565",12,14,13,126.4480016,75.86880096,105.10990133,1008367.45166656,1129,40,0.864922253433899
"result.2815",14,15,10,128.02860162,76.65910097,102.7390013,1008337.83561124,1136,40,0.864833779389971
"result.4089",8,15,15,123.28680156,76.65910097,106.69050135,1008337.83561124,1114,40,0.864833779389971
"result.3834",9,15,14,124.07710157,76.65910097,105.90020134,1007284.49124355,1117,40,0.861687052560955
"result.3791",14,12,14,128.02860162,74.28820094,105.90020134,1007218.34871999,1135,40,0.861489460529517
"result.3310",13,14,12,127.23830161,75.86880096,104.31960132,1007040.65238805,1131,40,0.860958616265953
"result.2560",15,15,9,128.81890163,76.65910097,101.94870129,1006757.81905971,1138,40,0.860113689146447
"result.4060",11,13,15,125.65770159,75.07850095,106.69050135,1006538.66025031,1124,40,0.859458981221384
"result.3579",10,15,13,124.86740158,76.65910097,105.10990133,1006135.38829699,1120,40,0.858254259656573
"result.3536",15,12,13,128.81890163,74.28820094,105.10990133,1005872.79260645,1138,40,0.857469789800417
"result.3055",14,14,11,128.02860162,75.86880096,103.52930131,1005619.08173251,1134,40,0.856711862157439
"result.3805",12,13,14,126.4480016,75.07850095,105.90020134,1005366.35806041,1127,40,0.855956883649259
"result.3324",11,15,12,125.65770159,76.65910097,104.31960132,1004890.52677154,1123,40,0.854535400676826
"result.4074",9,14,15,124.07710157,75.86880096,106.69050135,1004339.66814252,1116,40,0.852889783459777
"result.2800",15,14,10,128.81890163,75.86880096,102.7390013,1004102.73969993,1137,40,0.852181991108358
"result.3550",13,13,13,127.23830161,75.07850095,105.10990133,1004100.27169531,1130,40,0.852174618271364
"result.4031",14,11,15,128.02860162,73.49790093,106.69050135,1003939.85139564,1133,40,0.851695383866758
"result.3069",12,15,11,126.4480016,76.65910097,103.52930131,1003549.90666721,1126,40,0.850530475621714
"result.3819",10,14,14,124.86740158,75.86880096,105.90020134,1003249.7973066,1119,40,0.84963393864325
"result.3295",14,13,12,128.02860162,75.07850095,104.31960132,1002740.40115503,1133,40,0.8481121850877
"result.3776",15,11,14,128.81890163,73.49790093,105.90020134,1002654.51459459,1136,40,0.84785561036031
"result.4045",12,12,15,126.4480016,74.28820094,106.69050135,1002207.3121592,1125,40,0.846519652297007
"result.2814",13,15,10,127.23830161,76.65910097,102.7390013,1002113.52798401,1129,40,0.846239484491237
"result.3564",11,14,13,125.65770159,75.86880096,105.10990133,1002065.15509364,1122,40,0.846094976886156
"result.4088",7,15,15,122.49650155,76.65910097,106.69050135,1001874.13153681,1107,40,0.845524319302824
"result.3040",15,13,11,128.81890163,75.07850095,103.52930131,1001286.74643955,1135,40,0.843769584098265
