"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,137.532679648,101.165865318,117.696235468,1637579.81843551,1500,24.5,1
"result.4081",0,15,15,136.871464842,101.165865318,117.696235468,1629706.83853918,1493,24.5,0.951677627461009
"result.3521",0,12,13,138.262338,100.1901,117.556384,1628451.86312338,1500,25,0.943974903667935
"result.3826",1,15,14,137.532679648,101.165865318,117.035020662,1628379.93181508,1496,24.5,0.943533407370169
"result.3571",2,15,13,138.193894454,101.165865318,116.373805856,1626964.56464271,1499,24.5,0.934846239273271
"result.4066",1,14,15,137.532679648,100.504650512,117.696235468,1626876.6823673,1495,24.5,0.934306839946993
"result.3761",0,11,14,138.262338,99.522166,118.224318,1626786.40099064,1499,25,0.93375271553998
"result.3811",2,14,14,138.193894454,100.504650512,117.035020662,1625514.50709846,1498,24.5,0.925946150389685
"result.4001",0,10,15,138.262338,98.854232,118.892252,1624997.57129251,1498,25,0.922773328291436
"result.4051",2,13,15,138.193894454,99.843435706,117.696235468,1623943.61142553,1498,24.5,0.916304387432467
"result.2545",0,15,9,138.262338,102.193902,114.884648,1623270.42537707,1498,25,0.912172540603186
"result.3796",3,13,14,138.85510926,99.843435706,117.035020662,1622546.74578482,1500,24.5,0.90773077708847
"result.2785",0,14,10,138.262338,101.525968,115.552582,1622036.74972319,1497,25,0.904600549397295
"result.2290",1,15,8,138.930272,102.193902,114.216714,1621629.10037669,1500,25,0.902098500129261
"result.4036",3,12,15,138.85510926,99.1822209,117.696235468,1620907.62571388,1500,24.5,0.897670269917431
"result.3025",0,13,11,138.262338,100.858034,116.220516,1620679.70650392,1496,25,0.896271359070813
"result.3825",0,15,14,136.871464842,101.165865318,117.035020662,1620551.18214289,1489,24.5,0.895482508834205
"result.2530",1,14,9,138.930272,101.525968,114.884648,1620451.44670903,1500,25,0.894870357799384
"result.3265",0,12,12,138.262338,100.1901,116.88845,1619199.29571927,1496,25,0.887184969623741
"result.3570",1,15,13,137.532679648,101.165865318,116.373805856,1619180.04519466,1492,24.5,0.887066814740336
"result.2770",1,13,10,138.930272,100.858034,115.552582,1619149.8294974,1499,25,0.886881358382152
"result.4065",0,14,15,136.871464842,100.504650512,117.696235468,1619055.15985592,1488,24.5,0.886300299908257
"result.4086",5,15,15,138.74035356,100.12865139,116.48954214,1618259.26432329,1498,24,0.881415293095564
"result.3810",1,14,14,137.532679648,100.504650512,117.035020662,1617736.92572479,1491,24.5,0.878209310014087
"result.3010",1,12,11,138.930272,100.1901,116.220516,1617724.2487418,1499,25,0.878131501877566
"result.3315",2,15,12,138.193894454,101.165865318,115.71259105,1617720.44779815,1495,24.5,0.87810817264041
"result.3505",0,11,13,138.262338,99.522166,117.556384,1617595.51736922,1495,25,0.877341381056081
"result.3555",2,14,13,138.193894454,100.504650512,116.373805856,1616330.80931825,1494,24.5,0.86957892079364
"result.3250",1,11,12,138.930272,99.522166,116.88845,1616174.70444224,1498,25,0.868620788285624
"result.4050",1,13,15,137.532679648,99.843435706,117.696235468,1616173.54629909,1490,24.5,0.868613679893984
"result.3060",3,15,11,138.85510926,101.165865318,115.051376244,1616172.38995336,1498,24.5,0.868606582534428
"result.3745",0,10,14,138.262338,98.854232,118.224318,1615868.37145379,1494,25,0.866740593367832
"result.4071",6,14,15,139.39478919,99.47421576,116.48954214,1615265.81396383,1500,24,0.863042246885416
"result.3300",3,14,12,138.85510926,100.504650512,115.71259105,1614836.8106363,1497,24.5,0.860409132246915
"result.3795",2,13,14,138.193894454,99.843435706,117.035020662,1614820.33270966,1493,24.5,0.860307994873238
"result.2805",4,15,10,139.516324066,101.165865318,114.390161438,1614535.87166031,1500,24.5,0.858562044422391
"result.3490",1,10,13,138.930272,98.854232,117.556384,1614501.19659871,1497,25,0.858349217606326
"result.3985",0,9,15,138.262338,98.186298,118.892252,1614017.85797296,1493,25,0.855382606558993
"result.2289",0,15,8,138.262338,102.193902,114.216714,1613832.80662488,1493,25,0.854246807878109
"result.3540",3,13,13,138.85510926,99.843435706,116.373805856,1613379.81501768,1496,24.5,0.851466459205991
"result.3045",4,14,11,139.516324066,100.504650512,115.051376244,1613254.92967894,1500,24.5,0.850699944373912
"result.4035",2,12,15,138.193894454,99.1822209,117.696235468,1613189.01797238,1493,24.5,0.850295394879204
"result.3235",2,10,12,139.598206,98.854232,116.88845,1613045.81691428,1500,25,0.849416462763431
"result.1249",0,14,4,139.637550159,102.535785624,112.654448679,1612969.03705507,1500,25.5,0.848945207278318
"result.3730",1,9,14,138.930272,98.186298,118.224318,1612703.72521122,1496,25,0.847316789839673
"result.2529",0,14,9,138.262338,101.525968,114.884648,1612660.81475369,1493,25,0.847053416232511
"result.3185",0,7,12,139.637550159,97.813742865,118.051068975,1612397.15235078,1500,25.5,0.845435122647901
"result.2034",1,15,7,138.930272,102.193902,113.54878,1612145.88926338,1496,25,0.843892932946573
"result.1489",0,13,5,139.637550159,101.861208087,113.329026216,1611952.35313634,1500,25.5,0.842705056824242
"result.3285",4,13,12,139.516324066,99.843435706,115.71259105,1611851.99322315,1499,24.5,0.842089072892245
"result.3780",3,12,14,138.85510926,99.1822209,117.035020662,1611801.40309751,1496,24.5,0.841778563411658
"result.3569",0,15,13,136.871464842,101.165865318,116.373805856,1611395.52574661,1485,24.5,0.839287390207401
"result.2769",0,13,10,138.262338,100.858034,115.552582,1611365.45531712,1492,25,0.839102825466324
"result.3475",2,9,13,139.598206,98.186298,117.556384,1611301.98359869,1499,25,0.838713252005731
"result.2274",1,14,8,138.930272,101.525968,114.216714,1611030.21736769,1496,25,0.837045219160375
"result.1729",0,12,6,139.637550159,101.18663055,114.003603753,1610808.58372778,1499,25.5,0.835684887563409
"result.3970",1,8,15,138.930272,97.518364,118.892252,1610782.29027977,1495,25,0.835523504985664
"result.4085",4,15,15,138.08591793,100.12865139,116.48954214,1610625.96590667,1491,24,0.834564025259687
"result.3425",0,6,13,139.637550159,97.139165328,118.725646512,1610427.32725826,1499,25.5,0.833344831143133
"result.1779",2,15,6,139.598206,102.193902,112.880846,1610367.78717963,1499,25,0.832979389099819
"result.3525",4,12,13,139.516324066,99.1822209,116.373805856,1610327.06229295,1498,24.5,0.832729429977389
"result.4020",3,11,15,138.85510926,98.521006094,117.696235468,1610101.57487578,1495,24.5,0.831345444863913
"result.3314",1,15,12,137.532679648,101.165865318,115.71259105,1609980.15857423,1488,24.5,0.830600222110503
"result.3809",0,14,14,136.871464842,100.504650512,117.035020662,1609959.34435111,1484,24.5,0.830472469638489
"result.3009",0,12,11,138.262338,100.1901,116.220516,1609946.72831516,1491,25,0.830395035579547
"result.2514",1,13,9,138.930272,100.858034,114.884648,1609790.58192805,1495,25,0.829436648286821
"result.1969",0,11,7,139.637550159,100.512053013,114.67818129,1609537.72882937,1499,25.5,0.827884699495817
"result.3715",2,8,14,139.598206,97.518364,118.224318,1609433.59076057,1498,25,0.827245526193908
"result.2019",2,14,7,139.598206,101.525968,113.54878,1609309.03123803,1498,25,0.826481011139786
"result.3830",5,15,14,138.74035356,100.12865139,115.83510651,1609167.9201417,1494,24,0.825614906684295
"result.3765",4,11,14,139.516324066,98.521006094,117.035020662,1608680.13688833,1498,24.5,0.822621015629345
"result.3554",1,14,13,137.532679648,100.504650512,116.373805856,1608597.16908227,1487,24.5,0.822111780081181
"result.3059",2,15,11,138.193894454,101.165865318,115.051376244,1608476.33095359,1490,24.5,0.82137010600755
"result.2754",1,12,10,138.930272,100.1901,115.552582,1608426.98294443,1494,25,0.821067220325912
"result.3249",0,11,12,138.262338,99.522166,116.88845,1608404.6337478,1491,25,0.820930046572181
"result.4049",0,13,15,136.871464842,99.843435706,117.696235468,1608403.48117266,1483,24.5,0.820922972355503
"result.3665",0,5,14,139.637550159,96.464587791,119.400224049,1608330.41667589,1498,25.5,0.820474520831604
"result.2209",0,10,8,139.637550159,99.837475476,115.352758827,1608139.78844113,1498,25.5,0.819304492621465
"result.2259",2,13,8,139.598206,100.858034,114.216714,1608125.71577388,1498,25,0.819218118125632
"result.4070",5,14,15,138.74035356,99.47421576,116.48954214,1607682.40638654,1493,24,0.816497196486375
"result.3575",6,15,13,139.39478919,100.12865139,115.18067088,1607624.10697879,1496,24,0.816139369369174
"result.3955",2,7,15,139.598206,96.85043,118.892252,1607440.6383999,1497,25,0.815013285327963
"result.3510",5,11,13,140.177538872,98.521006094,116.373805856,1607172.55114407,1500,24.5,0.813367833107834
"result.3299",2,14,12,138.193894454,100.504650512,115.71259105,1607147.11153803,1490,24.5,0.813211691197596
"result.3794",1,13,14,137.532679648,99.843435706,117.035020662,1607093.91963449,1486,24.5,0.812885212658007
"result.2994",1,11,11,138.930272,99.522166,116.220516,1606939.42041685,1494,25,0.811936935277647
"result.4005",4,10,15,139.516324066,97.859791288,117.696235468,1606911.2170093,1497,24.5,0.811763829848112
"result.2804",3,15,10,138.85510926,101.165865318,114.390161438,1606884.04288467,1493,24.5,0.81159704189854
"result.2499",2,12,9,139.598206,100.1901,114.884648,1606817.8407872,1497,25,0.811190710057357
"result.3489",0,10,13,138.262338,98.854232,117.556384,1606739.17161506,1490,25,0.810707858444226
"result.2449",0,9,9,139.637550159,99.162897939,116.027336364,1606614.76256304,1497,25.5,0.809944266940355
"result.3815",6,14,14,139.39478919,99.47421576,115.83510651,1606191.28691909,1496,24,0.807345079834878
"result.3905",0,4,15,139.637550159,95.790010254,120.074801586,1606106.42060368,1497,25.5,0.806824191713317
"result.3700",3,7,14,140.26614,96.85043,118.224318,1606057.96810183,1500,25,0.806526802430539
"result.3320",7,15,12,140.04922482,100.12865139,114.52623525,1605994.52641794,1499,24,0.806137413314324
