"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,119.33530151,85.35240108,127.23830161,1295992.65776076,1243,40,1
"result.3840",15,15,14,119.33530151,85.35240108,126.4480016,1287943.01392374,1239,40,0.979064931063699
"result.4095",14,15,15,118.5450015,85.35240108,127.23830161,1287409.92492791,1235,40,0.977678502657321
"result.4080",15,14,15,119.33530151,84.56210107,127.23830161,1283992.72574446,1237,40,0.96879123982644
"result.3584",15,15,13,119.33530151,85.35240108,125.65770159,1279893.37008671,1235,40,0.958129862127398
"result.3839",14,15,14,118.5450015,85.35240108,126.4480016,1279413.58999047,1231,40,0.956882076561658
"result.4094",13,15,15,117.75470149,85.35240108,127.23830161,1278827.19209505,1227,40,0.955357005314643
"result.3824",15,14,14,119.33530151,84.56210107,126.4480016,1276017.61564666,1233,40,0.94805001412103
"result.4079",14,14,15,118.5450015,84.56210107,127.23830161,1275489.46266006,1229,40,0.946676423014711
"result.4064",15,13,15,119.33530151,83.77180106,127.23830161,1271992.79372815,1232,40,0.93758247965288
"result.3328",15,15,12,119.33530151,85.35240108,124.86740158,1271843.72624969,1231,40,0.937194793191096
"result.3583",14,15,13,118.5450015,85.35240108,125.65770159,1271417.25505303,1227,40,0.936085650465994
"result.3838",13,15,14,117.75470149,85.35240108,126.4480016,1270884.1660572,1223,40,0.934699222059616
"result.4093",12,15,15,116.96440148,85.35240108,127.23830161,1270244.4592622,1218,40,0.933035507971964
"result.3568",15,14,13,119.33530151,84.56210107,125.65770159,1268042.50554887,1230,40,0.92730878841562
"result.3823",14,14,14,118.5450015,84.56210107,126.4480016,1267567.16786092,1225,40,0.926072556419934
"result.4078",13,14,15,117.75470149,84.56210107,127.23830161,1266986.19957566,1221,40,0.924561606202984
"result.3808",15,13,14,119.33530151,83.77180106,126.4480016,1264092.21736959,1228,40,0.917035097178361
"result.3072",15,15,11,119.33530151,85.35240108,124.07710157,1263794.08241267,1228,40,0.916259724254795
"result.4063",14,13,15,118.5450015,83.77180106,127.23830161,1263569.0003922,1223,40,0.915674343372102
"result.3327",14,15,12,118.5450015,85.35240108,124.86740158,1263420.92011559,1223,40,0.915289224370331
"result.3582",13,15,13,117.75470149,85.35240108,125.65770159,1262941.14001934,1219,40,0.914041438804591
"result.3837",12,15,14,116.96440148,85.35240108,126.4480016,1262354.74212393,1215,40,0.912516367557575
"result.4092",11,15,15,116.17410147,85.35240108,127.23830161,1261661.72642935,1210,40,0.910714010629285
"result.3312",15,14,12,119.33530151,84.56210107,124.86740158,1260067.39545108,1226,40,0.906567562710211
"result.4048",15,12,15,119.33530151,82.98150105,127.23830161,1259992.86171185,1226,40,0.906373719479319
"result.3567",14,14,13,118.5450015,84.56210107,125.65770159,1259644.87306179,1221,40,0.905468689825156
"result.3822",13,14,14,117.75470149,84.56210107,126.4480016,1259116.72007519,1217,40,0.904095098718838
"result.4077",12,14,15,116.96440148,84.56210107,127.23830161,1258482.93649125,1213,40,0.902446789391255
