"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,130.427197731,103.997016693,126.979782813,1722358.78465358,1498,18.5,1
"result.4065",0,14,15,130.427197731,103.42244754,127.554351966,1720593.41103365,1498,18.5,0.989382726242364
"result.4050",1,13,15,131.001766884,102.847878387,127.554351966,1718572.15592524,1500,18.5,0.977226535293468
"result.3569",0,15,13,130.427197731,103.997016693,126.40521366,1714565.30598998,1495,18.5,0.953128620728484
"result.3314",1,15,12,131.001766884,103.997016693,125.830644507,1714290.64594898,1498,18.5,0.951476765952395
"result.3809",0,14,14,130.427197731,103.42244754,126.979782813,1712842.99026322,1494,18.5,0.942770304867376
"result.3554",1,14,13,131.001766884,103.42244754,126.40521366,1712603.99050378,1497,18.5,0.941332917424095
"result.3299",2,14,12,131.576336037,103.42244754,125.830644507,1712296.70509879,1500,18.5,0.93948484785416
"result.4049",0,13,15,130.427197731,102.847878387,127.554351966,1711034.55875013,1493,18.5,0.931894073213212
"result.3794",1,13,14,131.001766884,102.847878387,126.979782813,1710830.83990756,1497,18.5,0.930668871535368
"result.3539",2,13,13,131.576336037,102.847878387,126.40521366,1710559.21478413,1500,18.5,0.929035269298241
"result.4034",1,12,15,131.001766884,102.273309234,127.554351966,1708971.19416029,1496,18.5,0.919484628286214
"result.3779",2,12,14,131.576336037,102.273309234,126.979782813,1708734.84995373,1499,18.5,0.918063211814525
"result.4019",2,11,15,131.576336037,101.698740081,127.554351966,1706823.61060761,1498,18.5,0.906568675403013
"result.3313",0,15,12,130.427197731,103.997016693,125.830644507,1706771.82732639,1492,18.5,0.906257241456969
"result.3058",1,15,11,131.001766884,103.997016693,125.256075354,1706462.83478026,1495,18.5,0.904398904833869
"result.2803",2,15,10,131.576336037,103.997016693,124.681506201,1706085.17722387,1498,18.5,0.902127604516746
"result.3553",0,14,13,130.427197731,103.42244754,126.40521366,1705092.5694928,1491,18.5,0.896157883492388
"result.3298",1,14,12,131.001766884,103.42244754,125.830644507,1704819.42691058,1494,18.5,0.894515154985781
"result.4004",3,10,15,132.15090519,101.124170928,127.554351966,1704591.80809207,1500,18.5,0.893146214563607
"result.3043",2,14,11,131.576336037,103.42244754,125.256075354,1704477.99868281,1497,18.5,0.892461744352521
"result.4087",6,15,15,132.05380316,102.58256812,125.81950344,1704403.61863297,1500,18,0.892014409384783
"result.2788",3,14,10,132.15090519,103.42244754,124.681506201,1704068.28480949,1500,18.5,0.889997651592609
"result.2465",0,10,9,132.17731257,102.48108816,125.77224456,1703669.92647276,1500,19,0.887601853067618
