"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,91.67480116,76.65910097,106.69050135,749789.672633996,829,40,1
"result.3840",15,15,14,91.67480116,76.65910097,105.90020134,744235.675058929,826,40,0.978574964773982
"result.4095",14,15,15,90.88450115,76.65910097,106.69050135,743325.968559565,821,40,0.975065691762824
"result.4080",15,14,15,91.67480116,75.86880096,106.69050135,742059.88219447,824,40,0.970181652005027
"result.3584",15,15,13,91.67480116,76.65910097,105.10990133,738681.677483863,822,40,0.957149929547965
"result.3839",14,15,14,90.88450115,76.65910097,105.90020134,737819.850273939,818,40,0.953825355116341
"result.4094",13,15,15,90.09420114,76.65910097,106.69050135,736862.264485134,814,40,0.950131383525649
"result.3824",15,14,14,91.67480116,75.86880096,105.90020134,736563.142326363,821,40,0.948977493430824
"result.4079",14,14,15,90.88450115,75.86880096,106.69050135,735662.814244518,817,40,0.945504398491946
"result.4064",15,13,15,91.67480116,75.07850095,106.69050135,734330.091754945,820,40,0.940363304010054
"result.3328",15,15,12,91.67480116,76.65910097,104.31960132,733127.679908796,819,40,0.935724894321947
"result.3583",14,15,13,90.88450115,76.65910097,105.10990133,732313.731988312,815,40,0.932585018469858
"result.3838",13,15,14,90.09420114,76.65910097,105.90020134,731404.025488948,811,40,0.9290757454587
"result.3568",15,14,13,91.67480116,75.86880096,105.10990133,731066.402458256,818,40,0.927773334856621
"result.4093",12,15,15,89.30390113,76.65910097,106.69050135,730398.560410703,807,40,0.925197075288473
"result.3823",14,14,14,90.88450115,75.86880096,105.90020134,730213.460064929,814,40,0.92448303438821
"result.4078",13,14,15,90.09420114,75.86880096,106.69050135,729265.746294566,810,40,0.920827144978864
"result.3808",15,13,14,91.67480116,75.07850095,105.90020134,728890.609593797,817,40,0.919380022087666
"result.4063",14,13,15,90.88450115,75.07850095,106.69050135,727999.659929471,813,40,0.915943105221067
"result.3072",15,15,11,91.67480116,76.65910097,103.52930131,727573.682333729,816,40,0.914299859095929
"result.3327",14,15,12,90.88450115,76.65910097,104.31960132,726807.613702686,812,40,0.911344681823375
"result.4048",15,12,15,91.67480116,74.28820094,106.69050135,726600.301315419,816,40,0.91054495601508
"result.3582",13,15,13,90.09420114,76.65910097,105.10990133,725945.786492762,808,40,0.908020107391752
"result.3312",15,14,12,91.67480116,75.86880096,104.31960132,725569.662590149,815,40,0.906569176282418
"result.3837",12,15,14,89.30390113,76.65910097,105.90020134,724988.200703957,804,40,0.904326135801059
"result.3567",14,14,13,90.88450115,75.86880096,105.10990133,724764.10588534,811,40,0.903461670284474
"result.4092",11,15,15,88.51360112,76.65910097,106.69050135,723934.856336272,800,40,0.900262767051297
"result.3822",13,14,14,90.09420114,75.86880096,105.90020134,723863.777803495,807,40,0.899988575345596
"result.3552",15,13,13,91.67480116,75.07850095,105.10990133,723451.127432649,814,40,0.898396740165277
"result.4077",12,14,15,89.30390113,75.86880096,106.69050135,722868.678344613,803,40,0.896149891465783
"result.3807",14,13,14,90.88450115,75.07850095,105.90020134,722607.069855919,810,40,0.895140713660078
"result.2816",15,15,10,91.67480116,76.65910097,102.7390013,722019.684758663,813,40,0.892874823869911
"result.4062",13,13,15,90.09420114,75.07850095,106.69050135,721669.228103997,806,40,0.891522906432081
"result.3071",14,15,11,90.88450115,76.65910097,103.52930131,721301.495417059,809,40,0.890104345176892
"result.3792",15,12,14,91.67480116,74.28820094,105.90020134,721218.076861231,813,40,0.889782550744507
"result.3326",13,15,12,90.09420114,76.65910097,104.31960132,720487.547496576,805,40,0.886964469324803
"result.4047",14,12,15,90.88450115,74.28820094,106.69050135,720336.505614424,809,40,0.886381811950189
"result.3056",15,14,11,91.67480116,75.86880096,103.52930131,720072.922722042,812,40,0.885365017708215
"result.3581",12,15,13,89.30390113,76.65910097,105.10990133,719577.840997211,801,40,0.883455196313645
"result.3311",14,14,12,90.88450115,75.86880096,104.31960132,719314.751705751,808,40,0.882440306180738
"result.4032",15,11,15,91.67480116,73.49790093,106.69050135,718870.510875893,811,40,0.880726608020107
"result.3836",11,15,14,88.51360112,76.65910097,105.90020134,718572.375918966,797,40,0.879576526143418
"result.3566",13,14,13,90.09420114,75.86880096,105.10990133,718461.809312424,804,40,0.879150005712327
