"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,114.03521766,124.68685887,138.47133573,1968881.42458783,1498,22,1
"result.4065",0,14,15,114.03521766,124.06029174,139.09790286,1967851.74513251,1498,22,0.994716059412551
"result.3314",1,15,12,114.66178479,124.68685887,137.21820147,1961783.6222268,1499,22,0.96357665894629
"result.3554",1,14,13,114.66178479,124.06029174,137.8447686,1960838.31449943,1499,22,0.958725683390254
"result.3569",0,15,13,114.03521766,124.68685887,137.8447686,1959972.45886572,1495,22,0.954282427091204
"result.3794",1,13,14,114.66178479,123.43372461,138.47133573,1959802.97746468,1499,22,0.953412710162215
"result.3809",0,14,14,114.03521766,124.06029174,138.47133573,1958987.54808237,1494,22,0.949228223051036
"result.4034",1,12,15,114.66178479,122.80715748,139.09790286,1958677.61112257,1498,22,0.947637739262172
"result.4049",0,13,15,114.03521766,123.43372461,139.09790286,1957913.09995508,1494,22,0.943714545916307
"result.3043",2,14,11,115.28835192,124.06029174,136.59163434,1953630.06634876,1500,22,0.92173557470067
"result.1521",0,15,5,115.323305006,126.095262067,134.332640996,1953427.97021176,1500,22.5,0.920698490804974
"result.3937",0,6,15,115.323305006,120.39246127,140.669086326,1953057.54677947,1500,22.5,0.918797612431286
"result.3058",1,15,11,114.66178479,124.68685887,136.59163434,1952825.70614358,1496,22,0.917607890581951
"result.1761",0,14,6,115.323305006,125.461617534,134.966285529,1952779.72920525,1500,22.5,0.917371953651019
"result.4085",4,15,15,115.20828189,123.260473635,137.50665903,1952680.82886377,1499,21.5,0.916864433057383
"result.3283",2,13,12,115.28835192,123.43372461,137.21820147,1952679.59300539,1500,22,0.916858091081487
"result.2001",0,13,7,115.323305006,124.827973001,135.599930062,1952038.88234066,1500,22.5,0.91357019690364
"result.3298",1,14,12,114.66178479,124.06029174,137.21820147,1951925.41306989,1496,22,0.912987913861916
"result.3523",2,12,13,115.28835192,122.80715748,137.8447686,1951638.59839122,1500,22,0.911516085212857
"result.2241",0,12,8,115.323305006,124.194328468,136.233574595,1951205.42961799,1500,22.5,0.90929322056284
"result.3313",0,15,12,114.03521766,124.68685887,137.21820147,1951063.4931436,1491,22,0.908564854182409
"result.3538",1,13,13,114.66178479,123.43372461,137.8447686,1950935.09068883,1495,22,0.90790593946988
"result.3763",2,11,14,115.28835192,122.18059035,138.47133573,1950507.08250625,1499,22,0.905709557094782
"result.2481",0,11,9,115.323305006,123.560683935,136.867219128,1950279.37103725,1499,22.5,0.904541024628617
"result.3553",0,14,13,114.03521766,124.06029174,137.8447686,1950123.35103222,1491,22,0.903740386689521
"result.3778",1,12,14,114.66178479,122.80715748,138.47133573,1949854.7390004,1495,22,0.902361967405839
"result.4003",2,10,15,115.28835192,121.55402322,139.09790286,1949285.04535049,1499,22,0.89943850672726
"result.2721",0,10,10,115.323305006,122.927039402,137.500863661,1949260.70659844,1499,22.5,0.899313609100973
"result.3793",0,13,14,114.03521766,123.43372461,138.47133573,1949093.6715769,1490,22,0.898456446102072
"result.4018",1,11,15,114.66178479,122.18059035,139.09790286,1948684.3580046,1494,22,0.896355997669794
"result.2961",0,9,11,115.323305006,122.293394869,138.134508194,1948149.43630155,1498,22.5,0.893610973979907
"result.4033",0,12,15,114.03521766,122.80715748,139.09790286,1947974.45477764,1490,22,0.892713032420063
"result.3201",0,8,12,115.323305006,121.659750336,138.768152727,1946945.56014659,1498,22.5,0.887433119265417
"result.3441",0,7,13,115.323305006,121.026105803,139.40179726,1945649.07813355,1497,22.5,0.880780044957505
"result.2547",2,15,9,115.28835192,124.68685887,135.33850008,1945483.151977,1497,22,0.879928572250526
"result.2787",2,14,10,115.28835192,124.06029174,135.96506721,1944668.46053982,1497,22,0.875747872005511
"result.3814",5,14,14,115.827681255,122.64107427,136.887259665,1944515.17999541,1500,21.5,0.874961291982292
"result.3681",0,6,14,115.323305006,120.39246127,140.035441793,1944259.99026244,1497,22.5,0.873651751056172
"result.1265",0,15,4,115.323305006,126.095262067,133.698996463,1944213.68733341,1497,22.5,0.87341414125946
"result.3829",4,15,14,115.20828189,123.260473635,136.887259665,1943884.9692743,1496,21.5,0.871727279697468
"result.2802",1,15,10,114.66178479,124.68685887,135.96506721,1943867.79006035,1492,22,0.871639122217612
"result.3027",2,13,11,115.28835192,123.43372461,136.59163434,1943763.24783185,1496,22,0.871102649511052
"result.1505",0,14,5,115.323305006,125.461617534,134.332640996,1943611.74925593,1497,22.5,0.870325213902216
"result.4054",5,13,15,115.827681255,122.021674905,137.50665903,1943448.6695443,1500,21.5,0.869488348115666
"result.3252",3,11,12,115.91491905,122.18059035,137.21820147,1943360.0838024,1500,22,0.869033758296807
"result.3042",1,14,11,114.66178479,124.06029174,136.59163434,1943012.51164034,1492,22,0.86725014433358
"result.1745",0,13,6,115.323305006,124.827973001,134.966285529,1942917.20532037,1496,22.5,0.86676106695155
"result.4069",4,14,15,115.20828189,122.64107427,137.50665903,1942868.36238707,1496,21.5,0.866510422776473
"result.1970",1,11,7,115.956949539,123.560683935,135.599930062,1942837.82887059,1500,22.5,0.866353735871473
"result.3921",0,5,15,115.323305006,119.758816737,140.669086326,1942778.29653326,1496,22.5,0.866048237561416
"result.3267",2,12,12,115.28835192,122.80715748,137.21820147,1942767.51385308,1496,22,0.865992904767145
"result.3492",3,10,13,115.91491905,121.55402322,137.8447686,1942222.41837458,1500,22,0.863195672960698
"result.4084",3,15,15,114.588882525,123.260473635,137.50665903,1942182.54483762,1491,21.5,0.862991056466516
"result.3057",0,15,11,114.03521766,124.68685887,136.59163434,1942154.52742148,1488,22,0.862847281273613
"result.1985",0,12,7,115.323305006,124.194328468,135.599930062,1942130.05552674,1496,22.5,0.86272170040746
"result.3282",1,13,12,114.66178479,123.43372461,137.21820147,1942067.20391297,1492,22,0.862399168777544
"result.2210",1,10,8,115.956949539,122.927039402,136.233574595,1941906.68205589,1500,22.5,0.861575428970579
"result.3507",2,11,13,115.28835192,122.18059035,137.8447686,1941681.25860351,1496,22,0.860418637773792
"result.3297",0,14,12,114.03521766,124.06029174,137.21820147,1941259.15398207,1487,22,0.858252550328005
"result.2225",0,11,8,115.323305006,123.560683935,136.233574595,1941250.29987504,1496,22.5,0.858207114269949
"result.3522",1,12,13,114.66178479,122.80715748,137.8447686,1941031.86687822,1491,22,0.857086195549505
"result.3732",3,9,14,115.91491905,120.92745609,138.47133573,1940993.73971253,1499,22,0.856890540797701
"result.2450",1,9,9,115.956949539,122.293394869,136.867219128,1940882.42055973,1500,22.5,0.856319291379596
"result.3747",2,10,14,115.28835192,121.55402322,138.47133573,1940504.48208314,1495,22,0.854379848530994
"result.2465",0,10,9,115.323305006,122.927039402,136.867219128,1940277.93836526,1495,22.5,0.853217308539015
"result.3537",0,13,13,114.03521766,123.43372461,137.8447686,1940274.24319872,1487,22,0.853198346287837
"result.3762",1,11,14,114.66178479,122.18059035,138.47133573,1939906.50053611,1491,22,0.851311224649463
"result.2690",1,8,10,115.956949539,121.659750336,137.500863661,1939765.04438209,1499,22.5,0.850585323098523
"result.3972",3,8,15,115.91491905,120.30088896,139.09790286,1939674.04781626,1499,22,0.850118361807815
"result.3987",2,9,15,115.28835192,120.92745609,139.09790286,1939237.18429198,1495,22,0.847876537038749
"result.2705",0,9,10,115.323305006,122.293394869,137.500863661,1939212.97099741,1495,22.5,0.84775228321466
"result.3777",0,12,14,114.03521766,122.80715748,138.47133573,1939199.79507143,1487,22,0.847684669153108
"result.4002",1,10,15,114.66178479,121.55402322,139.09790286,1938691.10488663,1490,22,0.845074256077417
"result.2930",1,7,11,115.956949539,121.026105803,138.134508194,1938554.55352298,1499,22.5,0.844373524127361
"result.2945",0,8,11,115.323305006,121.659750336,138.134508194,1938055.39777149,1495,22.5,0.841812038296882
"result.4017",0,11,15,114.03521766,122.18059035,139.09790286,1938035.8096002,1486,22,0.841711518923818
"result.2036",3,15,7,115.91491905,124.68685887,134.08536582,1937944.79636598,1498,22,0.84124447209693
"result.3170",1,6,12,115.956949539,120.39246127,138.768152727,1937250.9479824,1498,22.5,0.83768389446611
"result.2276",3,14,8,115.91491905,124.06029174,134.71193295,1937216.69049217,1498,22,0.83750809748182
"result.3185",0,7,12,115.323305006,121.026105803,138.768152727,1936805.21868749,1494,22.5,0.835396573785681
"result.3318",5,15,12,115.827681255,123.260473635,135.648460935,1936649.66541844,1497,21.5,0.834598330965925
"result.2291",2,15,8,115.28835192,124.68685887,134.71193295,1936476.28553266,1494,22,0.833708608430644
"result.2516",3,13,9,115.91491905,123.43372461,135.33850008,1936397.57138414,1498,22,0.833304676039822
"result.754",1,15,2,115.956949539,126.095262067,132.431707397,1936366.35850843,1498,22.5,0.83314450291026
"result.994",1,14,3,115.956949539,125.461617534,133.06535193,1935854.22776035,1498,22.5,0.830516434114768
"result.3410",1,5,13,115.956949539,119.758816737,139.40179726,1935854.22776035,1498,22.5,0.830516434114768
"result.3558",5,14,13,115.827681255,122.64107427,136.2678603,1935716.46877371,1497,21.5,0.829809505082626
"result.2531",2,14,9,115.28835192,124.06029174,135.33850008,1935706.85473088,1493,22,0.829760169310353
"result.2756",3,12,10,115.91491905,122.80715748,135.96506721,1935487.43904188,1497,22,0.828634207770935
"result.3425",0,6,13,115.323305006,120.39246127,139.40179726,1935462.43374542,1494,22.5,0.828505889681059
"result.1234",1,13,4,115.956949539,124.827973001,133.698996463,1935248.98233079,1498,22.5,0.827410534629187
"result.3573",4,15,13,115.20828189,123.260473635,136.2678603,1935089.10968482,1493,21.5,0.826590126337552
"result.1009",0,15,3,115.323305006,126.095262067,133.06535193,1934999.40445505,1493,22.5,0.826129791713948
"result.2546",1,15,9,114.66178479,124.68685887,135.33850008,1934909.87397712,1489,22,0.825670353853274
"result.2771",2,13,10,115.28835192,123.43372461,135.96506721,1934846.90265831,1493,22,0.825347207940615
"result.3798",5,13,14,115.827681255,122.021674905,136.887259665,1934694.39625806,1496,21.5,0.824564600543777
"result.1474",1,12,5,115.956949539,124.194328468,134.332640996,1934550.62221977,1497,22.5,0.823826804453517
"result.2996",3,11,11,115.91491905,122.18059035,136.59163434,1934486.2934654,1497,22,0.82349669267516
"result.1249",0,14,4,115.323305006,125.461617534,133.698996463,1934443.76930661,1493,22.5,0.823278474153414
"result.3650",1,4,14,115.956949539,119.125172204,140.035441793,1934364.39285683,1497,22.5,0.822871143073338
"result.3813",4,14,14,115.20828189,122.64107427,136.887259665,1934116.70309704,1492,21.5,0.821600089282687
"result.2786",1,14,10,114.66178479,124.06029174,135.96506721,1934099.6102108,1489,22,0.821512374805243
"result.3665",0,5,14,115.323305006,119.758816737,140.035441793,1934027.04294527,1493,22.5,0.821139985983014
"result.4023",6,11,15,116.44708062,120.782876175,137.50665903,1934005.48944037,1500,21.5,0.821029381232424
"result.3011",2,12,11,115.28835192,122.80715748,136.59163434,1933896.42931493,1493,22,0.820469724321432
"result.1489",0,13,5,115.323305006,124.827973001,134.332640996,1933795.52830009,1493,22.5,0.819951936999459
"result.1714",1,11,6,115.956949539,123.560683935,134.966285529,1933759.14742727,1497,22.5,0.819765243587756
"result.4038",5,12,15,115.827681255,121.40227554,137.50665903,1933583.44787148,1496,21.5,0.818863617349374
"result.3828",3,15,14,114.588882525,123.260473635,136.887259665,1933433.97481583,1488,21.5,0.818096575974128
"result.3236",3,10,12,115.91491905,121.55402322,137.21820147,1933394.13465469,1497,22,0.817892130752495
"result.2801",0,15,10,114.03521766,124.68685887,135.96506721,1933245.56169936,1484,22,0.817129708364818
"result.3026",1,13,11,114.66178479,123.43372461,136.59163434,1933199.31713711,1488,22,0.816892398085209
"result.4053",4,13,15,115.20828189,122.021674905,137.50665903,1933055.89591037,1492,21.5,0.816156412495562
"result.1729",0,12,6,115.323305006,124.194328468,134.966285529,1933054.6814355,1493,22.5,0.816150180252081
"result.1954",1,10,7,115.956949539,122.927039402,135.599930062,1932874.55795331,1497,22.5,0.815225852031908
"result.3251",2,11,12,115.28835192,122.18059035,137.21820147,1932855.43470076,1492,22,0.815127718452803
