"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,165.9630021,76.65910097,85.35240108,1085902.28450441,1342,40,1
"result.4095",14,15,15,165.17270209,76.65910097,85.35240108,1080731.32124486,1336,40,0.985304885746749
"result.3840",15,15,14,165.9630021,76.65910097,84.56210107,1075847.63372196,1336,40,0.97142616672979
"result.4094",13,15,15,164.38240208,76.65910097,85.35240108,1075560.35798532,1329,40,0.970609771493498
"result.4080",15,14,15,165.9630021,75.86880096,85.35240108,1074707.41559199,1335,40,0.968185835121828
"result.3839",14,15,14,165.17270209,76.65910097,84.56210107,1070724.54975186,1329,40,0.956867118349254
"result.4093",12,15,15,163.59210207,76.65910097,85.35240108,1070389.39472577,1323,40,0.955914657240248
"result.4079",14,14,15,165.17270209,75.86880096,85.35240108,1069589.76123203,1329,40,0.953642216891807
"result.3584",15,15,13,165.9630021,76.65910097,83.77180106,1065792.98293951,1329,40,0.94285233345958
"result.3838",13,15,14,164.38240208,76.65910097,84.56210107,1065601.46578175,1323,40,0.942308069968719
"result.4092",11,15,15,162.80180206,76.65910097,85.35240108,1065218.43146623,1316,40,0.941219542986997
"result.3824",15,14,14,165.9630021,75.86880096,84.56210107,1064756.42100318,1329,40,0.939906577452342
"result.4078",13,14,15,164.38240208,75.86880096,85.35240108,1064472.10687207,1322,40,0.939098598661785
"result.4064",15,13,15,165.9630021,75.07850095,85.35240108,1063512.54667957,1328,40,0.936371670243657
"result.3583",14,15,13,165.17270209,76.65910097,83.77180106,1060717.77825885,1323,40,0.92842935095176
"result.3837",12,15,14,163.59210207,76.65910097,84.56210107,1060478.38181165,1317,40,0.927749021588183
"result.4091",10,15,15,162.01150205,76.65910097,85.35240108,1060047.46820668,1310,40,0.926524428733746
"result.3823",14,14,14,165.17270209,75.86880096,84.56210107,1059686.15233173,1322,40,0.92549762235408
"result.4077",12,14,15,163.59210207,75.86880096,85.35240108,1059354.45251211,1316,40,0.924554980431764
"result.4063",14,13,15,165.17270209,75.07850095,85.35240108,1058448.2012192,1322,40,0.921979548036864
"result.3328",15,15,12,165.9630021,76.65910097,82.98150105,1055738.33215706,1323,40,0.91427850018937
"result.3582",13,15,13,164.38240208,76.65910097,83.77180106,1055642.57357818,1317,40,0.914006368443939
"result.3836",11,15,14,162.80180206,76.65910097,84.56210107,1055355.29784154,1310,40,0.913189973207648
