"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,161.73547045,91.6269618,93.70939275,1388710.39395489,1498,27,1
"result.3827",2,15,14,162.4296141,91.6269618,93.0152491,1384339.63162771,1499,27,0.969440080232959
"result.4067",2,14,15,162.4296141,90.93281815,93.70939275,1384104.83861013,1499,27,0.967798431650431
"result.4081",0,15,15,161.0413268,91.6269618,93.70939275,1382750.26350873,1492,27,0.958327382135853
"result.3572",3,15,13,163.12375775,91.6269618,92.32110545,1379880.57107169,1500,27,0.938262788349411
"result.3812",3,14,14,163.12375775,90.93281815,93.0152491,1379723.37346733,1500,27,0.937163678899572
"result.4052",3,13,15,163.12375775,90.2386745,93.70939275,1379408.97825861,1500,27,0.934965459999892
"result.3057",0,15,11,162.524972136,92.471104836,91.770566163,1379207.33391786,1497,27.5,0.933555583549605
"result.3297",0,14,12,162.524972136,91.770566163,92.471104836,1379207.33391786,1497,27.5,0.933555583549605
"result.3537",0,13,13,162.524972136,91.07002749,93.171643509,1379047.81421697,1497,27.5,0.932440238240109
"result.3777",0,12,14,162.524972136,90.369488817,93.872182182,1378728.77481518,1496,27.5,0.930209547621119
"result.3826",1,15,14,161.73547045,91.6269618,93.0152491,1378423.65029596,1493,27,0.928076148427064
"result.4017",0,11,15,162.524972136,89.668950144,94.572720855,1378250.2157125,1496,27.5,0.926863511692633
"result.4066",1,14,15,161.73547045,90.93281815,93.70939275,1378189.86066735,1492,27,0.926441515436771
"result.3557",4,14,13,163.8179014,90.93281815,92.32110545,1375254.27902168,1500,27,0.905916231093694
"result.3797",4,13,14,163.8179014,90.2386745,93.0152491,1375017.47922617,1500,27,0.904260551326702
"result.3042",1,14,11,163.225510809,91.770566163,91.770566163,1374658.61589521,1497,27.5,0.901751415898889
"result.4037",4,12,15,163.8179014,89.54453085,93.70939275,1374622.81290033,1500,27,0.90150108504838
"result.2802",1,15,10,163.225510809,92.471104836,91.07002749,1374578.5122523,1497,27.5,0.901191339482699
"result.3282",1,13,12,163.225510809,91.07002749,92.471104836,1374578.5122523,1497,27.5,0.901191339482699
"result.3522",1,12,13,163.225510809,90.369488817,93.171643509,1374338.20132358,1497,27.5,0.899511110234128
"result.3571",2,15,13,162.4296141,91.6269618,92.32110545,1374008.73885436,1493,27,0.897207542601771
"result.3762",1,11,14,163.225510809,89.668950144,93.872182182,1373937.68310906,1497,27.5,0.896710728153176
"result.3811",2,14,14,162.4296141,90.93281815,93.0152491,1373852.21017598,1493,27,0.896113110213419
"result.2033",0,15,7,163.99713672,93.30871572,89.77429467,1373758.77410686,1500,28,0.895459814847063
"result.3233",0,10,12,163.99713672,89.77429467,93.30871572,1373758.77410686,1500,28,0.895459814847063
"result.4051",2,13,15,162.4296141,90.2386745,93.70939275,1373539.15281921,1493,27,0.893924245436717
"result.4086",5,15,15,162.980313576,90.773845536,92.83688748,1373461.38864671,1496,26.5,0.893380526356462
"result.4002",1,10,15,163.225510809,88.968411471,94.572720855,1373376.95760872,1497,27.5,0.892790193239841
"result.3473",0,9,13,163.99713672,89.06741046,94.01559993,1373267.09236952,1500,28,0.892022026809414
"result.3713",0,8,14,163.99713672,88.36052625,94.72248414,1372611.51671975,1500,28,0.88743830942588
"result.3825",0,15,14,161.0413268,91.6269618,93.0152491,1372507.66896422,1486,27,0.886712216621171
"result.4065",0,14,15,161.0413268,90.93281815,93.70939275,1372274.88272457,1486,27,0.88508459922311
"result.3953",0,7,15,163.99713672,87.65364204,95.42936835,1371792.04715753,1499,28,0.881708662696465
"result.2787",2,14,10,163.926049482,91.770566163,91.07002749,1370019.82424834,1498,27.5,0.869317462750141
"result.3027",2,13,11,163.926049482,91.07002749,91.770566163,1370019.82424834,1498,27.5,0.869317462750141
"result.2547",2,15,9,163.926049482,92.471104836,90.369488817,1369858.92937761,1498,27.5,0.868192502394874
"result.3267",2,12,12,163.926049482,90.369488817,92.471104836,1369858.92937761,1498,27.5,0.868192502394874
"result.3507",2,11,13,163.926049482,89.668950144,93.171643509,1369537.13963616,1498,27.5,0.865942581684341
"result.3316",3,15,12,163.12375775,91.6269618,91.6269618,1369505.52918393,1494,27,0.865721564659971
"result.3556",3,14,13,163.12375775,90.93281815,92.32110545,1369426.93038175,1494,27,0.865172009935051
"result.3796",3,13,14,163.12375775,90.2386745,93.0152491,1369191.13397521,1494,27,0.863523345760292
"result.3747",2,10,14,163.926049482,88.968411471,93.872182182,1369054.45502397,1498,27.5,0.86256770061854
"result.3831",6,15,14,163.667994224,90.773845536,92.149206832,1369039.86893955,1496,26.5,0.862465716219366
"result.4071",6,14,15,163.667994224,90.086164888,92.83688748,1368807.67086137,1496,26.5,0.860842211185688
"result.4036",3,12,15,163.12375775,89.54453085,93.70939275,1368798.13996431,1494,27,0.860775572135691
"result.3041",0,14,11,162.524972136,91.770566163,91.770566163,1368758.79350939,1491,27.5,0.860500465777667
"result.2801",0,15,10,162.524972136,92.471104836,91.07002749,1368679.03365894,1491,27.5,0.859942793122919
"result.3281",0,13,12,162.524972136,91.07002749,92.471104836,1368679.03365894,1491,27.5,0.859942793122919
"result.3521",0,12,13,162.524972136,90.369488817,93.171643509,1368439.7541076,1491,27.5,0.858269775158675
"result.3987",2,9,15,163.926049482,88.267872798,94.572720855,1368410.87554106,1497,27.5,0.858067859197474
"result.3570",1,15,13,161.73547045,91.6269618,92.32110545,1368136.90663704,1487,27,0.85615229685413
"result.3761",0,11,14,162.524972136,89.668950144,93.872182182,1368040.95485537,1491,27.5,0.855481411884937
"result.3810",1,14,14,161.73547045,90.93281815,93.0152491,1367981.04688463,1487,27,0.855062541527267
"result.4050",1,13,15,161.73547045,90.2386745,93.70939275,1367669.32737981,1487,27,0.852883030873541
"result.4085",4,15,15,162.292632928,90.773845536,92.83688748,1367666.19291402,1489,26.5,0.852861115011725
"result.3698",1,7,14,164.70402093,87.65364204,94.72248414,1367499.72210576,1500,28,0.851697168275833
"result.4001",0,10,15,162.524972136,88.968411471,94.572720855,1367482.63590225,1490,27.5,0.851577703301705
"result.3938",1,6,15,164.70402093,86.94675783,95.42936835,1366594.42017129,1500,28,0.845367390445016
"result.2772",3,13,10,164.626588155,91.07002749,91.07002749,1365371.75020509,1499,27.5,0.836818608042435
"result.2532",3,14,9,164.626588155,91.770566163,90.369488817,1365290.95897727,1499,27.5,0.836253724103359
"result.3012",3,12,11,164.626588155,90.369488817,91.770566163,1365290.95897727,1499,27.5,0.836253724103359
"result.2292",3,15,8,164.626588155,92.471104836,89.668950144,1365048.5852938,1499,27.5,0.834559072286131
"result.3252",3,11,12,164.626588155,89.668950144,92.471104836,1365048.5852938,1499,27.5,0.834559072286131
"result.3061",4,15,11,163.8179014,91.6269618,90.93281815,1364914.02128467,1495,27,0.833618214601665
"result.3301",4,14,12,163.8179014,90.93281815,91.6269618,1364914.02128467,1495,27,0.833618214601665
"result.3541",4,13,13,163.8179014,90.2386745,92.32110545,1364756.15475434,1495,27,0.832514428090337
"result.3492",3,10,13,164.626588155,88.968411471,93.171643509,1364644.62915469,1498,27.5,0.831734652590749
"result.3576",7,15,13,164.355674872,90.773845536,91.461526184,1364532.49448079,1497,26.5,0.830950618506792
"result.3781",4,12,14,163.8179014,89.54453085,93.0152491,1364440.42169366,1495,27,0.830306855067679
"result.3816",7,14,14,164.355674872,90.086164888,92.149206832,1364377.04534722,1497,26.5,0.829863734184526
"result.2786",1,14,10,163.225510809,91.770566163,91.07002749,1364165.03867463,1492,27.5,0.828381405377934
"result.3026",1,13,11,163.225510809,91.07002749,91.770566163,1364165.03867463,1492,27.5,0.828381405377934
"result.3732",3,9,14,164.626588155,88.267872798,93.872182182,1364079.09055993,1498,27.5,0.827780465017215
"result.4056",7,13,15,164.355674872,89.39848424,92.83688748,1364066.14708008,1497,26.5,0.827689965539993
"result.2546",1,15,9,163.225510809,92.471104836,90.369488817,1364004.83138882,1492,27.5,0.827261252545553
"result.3266",1,12,12,163.225510809,90.369488817,92.471104836,1364004.83138882,1492,27.5,0.827261252545553
