"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,154.15722944,103.14932264,91.24747772,1450945.65164401,1495,18,1
"result.4067",2,14,15,154.72398396,102.58256812,91.24747772,1448278.47213732,1496,18,0.980601273288157
"result.3827",2,15,14,154.72398396,103.14932264,90.6807232,1447234.79319991,1496,18,0.973010467183523
"result.3489",0,10,13,155.708240463,101.698740081,91.356495327,1446660.42246884,1500,18.5,0.968832997757381
"result.3249",0,11,12,155.708240463,102.273309234,90.781926174,1445683.74805507,1500,18.5,0.961729523847315
"result.4081",0,15,15,153.59047492,103.14932264,91.24747772,1445611.29263062,1490,18,0.961202546576315
"result.4052",3,13,15,155.29073848,102.0158136,91.24747772,1445552.6733008,1498,18,0.960776200934296
"result.3009",0,12,11,155.708240463,102.847878387,90.207357021,1444604.26580826,1499,18.5,0.953878315841452
"result.3812",3,14,14,155.29073848,102.58256812,90.6807232,1444555.05240825,1497,18,0.953520380691247
"result.3572",3,15,13,155.29073848,103.14932264,90.11396868,1443457.66942645,1497,18,0.945538978423895
"result.2769",0,13,10,155.708240463,103.42244754,89.632787868,1443421.97572843,1499,18.5,0.945279373739792
"result.4066",1,14,15,154.15722944,102.58256812,91.24747772,1442973.42278883,1491,18,0.942016992685481
"result.4037",4,12,15,155.857493,101.44905908,91.24747772,1442768.25513447,1499,18,0.940524782938415
"result.2529",0,14,9,155.708240463,103.997016693,89.058218715,1442136.87781556,1498,18.5,0.935932697542337
"result.3826",1,15,14,154.15722944,103.14932264,90.6807232,1441933.56685119,1490,18,0.934453991731413
"result.3797",4,13,14,155.857493,102.0158136,90.6807232,1441817.05638199,1499,18,0.933606596666532
"result.3557",4,14,13,155.857493,102.58256812,90.11396868,1440765.73144505,1498,18,0.925960180260765
"result.2289",0,15,8,155.708240463,104.571585846,88.483649562,1440748.97206967,1497,18.5,0.925838287249084
"result.2754",1,12,10,156.282809616,102.847878387,89.632787868,1440699.65465899,1500,18.5,0.925479595616414
"result.4051",2,13,15,154.72398396,102.0158136,91.24747772,1440276.93361722,1492,18,0.922405093152629
"result.3953",0,7,15,155.708240463,99.975032622,92.505633633,1440029.31723847,1497,18.5,0.920604148578509
"result.4022",5,11,15,156.42424752,100.88230456,91.24747772,1439925.21763832,1500,18,0.919847019300517
