"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,120.12560152,76.65910097,147.78610187,1360920.92304909,1278,40,1
"result.3840",15,15,14,120.12560152,76.65910097,146.99580186,1353643.27105417,1275,40,0.982125884977209
"result.4095",14,15,15,119.33530151,76.65910097,147.78610187,1351967.49592376,1270,40,0.978010134807487
"result.4080",15,14,15,120.12560152,75.86880096,147.78610187,1346890.81044033,1271,40,0.965541654543691
"result.3584",15,15,13,120.12560152,76.65910097,146.20550185,1346365.61905926,1271,40,0.964251769954417
"result.3839",14,15,14,119.33530151,76.65910097,146.99580186,1344737.72321829,1266,40,0.960253612646688
"result.4094",13,15,15,118.5450015,76.65910097,147.78610187,1343014.06879844,1261,40,0.956020269614974
"result.3824",15,14,14,120.12560152,75.86880096,146.99580186,1339688.18578557,1268,40,0.947851808747939
"result.3328",15,15,12,120.12560152,76.65910097,145.41520184,1339087.96706434,1268,40,0.946377654931626
"result.4079",14,14,15,119.33530151,75.86880096,147.78610187,1338029.68668744,1263,40,0.943778488992338
"result.3583",14,15,13,119.33530151,76.65910097,146.20550185,1337507.95051281,1263,40,0.942497090485889
"result.3838",13,15,14,118.5450015,76.65910097,146.99580186,1335832.17538241,1258,40,0.938381340316167
"result.4093",12,15,15,117.75470149,76.65910097,147.78610187,1334060.64167312,1253,40,0.934030404422461
"result.4064",15,13,15,120.12560152,75.07850095,147.78610187,1332860.69783158,1265,40,0.931083309087382
"result.3568",15,14,13,120.12560152,75.86880096,146.20550185,1332485.56113081,1265,40,0.930161962952187
"result.3072",15,15,11,120.12560152,76.65910097,144.62490183,1331810.31506943,1264,40,0.928503539908835
"result.3823",14,14,14,119.33530151,75.86880096,146.99580186,1330874.44772119,1260,40,0.926205023761032
"result.3327",14,15,12,119.33530151,76.65910097,145.41520184,1330278.17780734,1259,40,0.92474056832509
"result.4078",13,14,15,118.5450015,75.86880096,147.78610187,1329168.56293454,1255,40,0.922015323440985
"result.3582",13,15,13,118.5450015,76.65910097,146.20550185,1328650.28196637,1255,40,0.92074241101736
"result.3837",12,15,14,117.75470149,76.65910097,146.99580186,1326926.62754652,1250,40,0.916509067985646
"result.3808",15,13,14,120.12560152,75.07850095,146.99580186,1325733.10051697,1261,40,0.913577732518669
"result.3312",15,14,12,120.12560152,75.86880096,145.41520184,1325282.93647605,1261,40,0.912472117156435
"result.4092",11,15,15,116.96440148,76.65910097,147.78610187,1325107.2145478,1244,40,0.912040539229948
"result.2816",15,15,10,120.12560152,76.65910097,143.83460182,1324532.66307451,1261,40,0.910629424886044
"result.4063",14,13,15,119.33530151,75.07850095,147.78610187,1324091.87745111,1257,40,0.909546843177189
"result.3567",14,14,13,119.33530151,75.86880096,146.20550185,1323719.20875495,1256,40,0.908631558529725
"result.3071",14,15,11,119.33530151,76.65910097,144.62490183,1323048.40510187,1256,40,0.906984046164291
"result.3822",13,14,14,118.5450015,75.86880096,146.99580186,1322060.70965681,1251,40,0.904558238774124
"result.3326",13,15,12,118.5450015,76.65910097,145.41520184,1321468.38855034,1251,40,0.903103481718553
"result.4077",12,14,15,117.75470149,75.86880096,147.78610187,1320307.43918164,1246,40,0.900252157889632
"result.3581",12,15,13,117.75470149,76.65910097,146.20550185,1319792.61341993,1246,40,0.898987731548831
"result.4048",15,12,15,120.12560152,74.28820094,147.78610187,1318830.58522283,1258,40,0.896624963631073
"result.3552",15,13,13,120.12560152,75.07850095,146.20550185,1318605.50320237,1258,40,0.896072155949956
"result.3056",15,14,11,120.12560152,75.86880096,144.62490183,1318080.31182129,1258,40,0.894782271360683
"result.3836",11,15,14,116.96440148,76.65910097,146.99580186,1318021.07971064,1241,40,0.894636795655126
"result.2560",15,15,9,120.12560152,76.65910097,143.04430181,1317255.0110796,1257,40,0.892755309863253
"result.3807",14,13,14,119.33530151,75.07850095,146.99580186,1317011.1722241,1253,40,0.892156434875376
"result.3311",14,14,12,119.33530151,75.86880096,145.41520184,1316563.96978871,1253,40,0.891058093298419
"result.4091",10,15,15,116.17410147,76.65910097,147.78610187,1316153.78742247,1236,40,0.890050674037436
"result.2815",14,15,10,119.33530151,76.65910097,143.83460182,1315818.63239639,1253,40,0.889227524003491
"result.4062",13,13,15,118.5450015,75.07850095,147.78610187,1315323.05707064,1248,40,0.888010377266996
"result.3566",13,14,13,118.5450015,75.86880096,146.20550185,1314952.85637909,1248,40,0.887101154107264
"result.3070",13,15,11,118.5450015,76.65910097,144.62490183,1314286.4951343,1248,40,0.885464552419746
"result.3821",12,14,14,117.75470149,75.86880096,146.99580186,1313246.97159244,1243,40,0.882911453787217
"result.3325",12,15,12,117.75470149,76.65910097,145.41520184,1312658.59929334,1243,40,0.881466395112016
"result.3792",15,12,14,120.12560152,74.28820094,146.99580186,1311778.01524837,1255,40,0.879303656289399
"result.3296",15,13,12,120.12560152,75.07850095,145.41520184,1311477.90588776,1255,40,0.878566579381243
"result.4076",11,14,15,116.96440148,75.86880096,147.78610187,1311446.31542875,1238,40,0.878488992338279
"result.3580",11,15,13,116.96440148,76.65910097,146.20550185,1310934.94487349,1238,40,0.877233052080302
"result.2800",15,14,10,120.12560152,75.86880096,143.83460182,1310877.68716653,1254,40,0.87709242556493
"result.4047",14,12,15,119.33530151,74.28820094,147.78610187,1310154.06821478,1250,40,0.875315197362041
"result.2304",15,15,8,120.12560152,76.65910097,142.2540018,1309977.35908468,1254,40,0.874881194840461
"result.3551",14,13,13,119.33530151,75.07850095,146.20550185,1309930.46699709,1250,40,0.874766026573562
"result.3055",14,14,11,119.33530151,75.86880096,144.62490183,1309408.73082246,1250,40,0.873484628067112
"result.3835",10,15,14,116.17410147,76.65910097,146.99580186,1309115.53187476,1233,40,0.872764523324605
"result.2559",14,15,9,119.33530151,76.65910097,143.04430181,1308588.85969092,1249,40,0.871471001842692
"result.3806",13,13,14,118.5450015,75.07850095,146.99580186,1308289.24393122,1245,40,0.870735137232082
"result.3310",13,14,12,118.5450015,75.86880096,145.41520184,1307845.00310137,1245,40,0.869644069440404
"result.4090",9,15,15,115.38380146,76.65910097,147.78610187,1307200.36029715,1228,40,0.868060808844923
"result.2814",13,15,10,118.5450015,76.65910097,143.83460182,1307104.60171827,1244,40,0.867825623120939
"result.4061",12,13,15,117.75470149,75.07850095,147.78610187,1306554.23669017,1240,40,0.866473911356803
"result.3565",12,14,13,117.75470149,75.86880096,146.20550185,1306186.50400323,1240,40,0.865570749684803
"result.3069",12,15,11,117.75470149,76.65910097,144.62490183,1305524.58516674,1239,40,0.863945058675201
"result.4032",15,11,15,120.12560152,73.49790093,147.78610187,1304800.47261407,1251,40,0.862166618174765
"result.3536",15,12,13,120.12560152,74.28820094,146.20550185,1304725.44527392,1251,40,0.861982348947726
"result.3820",11,14,14,116.96440148,75.86880096,146.99580186,1304433.23352806,1235,40,0.86126466880031
"result.3040",15,13,11,120.12560152,75.07850095,144.62490183,1304350.30857315,1251,40,0.86106100281253
"result.3324",11,15,12,116.96440148,76.65910097,145.41520184,1303848.81003633,1234,40,0.859829308505479
