"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4017",0,11,15,134.449181802,97.67675601,127.554351966,1675115.17109443,1500,18.5,1
"result.3041",0,14,11,134.449181802,99.400463469,125.256075354,1673961.14368456,1500,18.5,0.992856589936514
"result.3281",0,13,12,134.449181802,98.825894316,125.830644507,1671919.40288249,1499,18.5,0.980218249054962
"result.3521",0,12,13,134.449181802,98.251325163,126.40521366,1669788.89074119,1498,18.5,0.967030415091604
"result.2545",0,15,9,134.449181802,99.975032622,124.106937048,1668191.00663522,1497,18.5,0.957139539619086
"result.3761",0,11,14,134.449181802,97.67675601,126.979782813,1667569.60726067,1497,18.5,0.95329308804644
"result.2290",1,15,8,135.023750955,99.975032622,123.532367895,1667563.91679021,1500,18.5,0.953257864130939
"result.3506",1,11,13,135.023750955,97.67675601,126.40521366,1667118.16327062,1500,18.5,0.950498657416739
"result.4084",3,15,15,134.32082124,98.61528648,125.81950344,1666615.99661362,1496,18,0.947390254340304
"result.2785",0,14,10,134.449181802,99.400463469,124.681506201,1666282.42284197,1496,18.5,0.945325438360243
"result.3829",4,15,14,134.88757576,98.61528648,125.25274892,1666109.17607259,1499,18,0.944253043800743
"result.2530",1,14,9,135.023750955,99.400463469,124.106937048,1665691.75200793,1499,18.5,0.941669195931301
"result.4001",0,10,15,134.449181802,97.102186857,127.554351966,1665261.55244093,1496,18.5,0.939006267919468
"result.3746",1,10,14,135.023750955,97.102186857,126.979782813,1664844.8203207,1499,18.5,0.936426703174321
"result.3025",0,13,11,134.449181802,98.825894316,125.256075354,1664285.06770951,1495,18.5,0.932961844019595
"result.4069",4,14,15,134.88757576,98.04853196,125.81950344,1664029.46419733,1498,18,0.931379662621163
"result.2770",1,13,10,135.023750955,98.825894316,124.681506201,1663730.43652173,1498,18.5,0.929528686388821
"result.3986",1,9,15,135.023750955,96.527617704,127.554351966,1662482.32666687,1498,18.5,0.921802907589063
"result.3265",0,12,12,134.449181802,98.251325163,125.830644507,1662198.94123782,1494,18.5,0.920048756597141
"result.3010",1,12,11,135.023750955,98.251325163,125.256075354,1661679.97033161,1497,18.5,0.916836335503503
"result.4054",5,13,15,135.45433028,97.48177744,125.81950344,1661362.10264302,1500,18,0.914868739910798
"result.2755",2,12,10,135.598320108,98.251325163,124.681506201,1661096.12806212,1500,18.5,0.913222361773159
"result.2289",0,15,8,134.449181802,99.975032622,123.532367895,1660467.90012302,1494,18.5,0.909333641501913
"result.3505",0,11,13,134.449181802,97.67675601,126.40521366,1660024.04342691,1493,18.5,0.90658617609288
"result.2034",1,15,7,135.023750955,99.975032622,122.957798742,1659807.80554932,1497,18.5,0.905247667303863
"result.3971",2,8,15,135.598320108,95.953048551,127.554351966,1659618.88192996,1500,18.5,0.904078233309249
"result.4083",2,15,15,133.75406672,98.61528648,125.81950344,1659583.86160681,1489,18,0.903861458103889
"result.3250",1,11,12,135.023750955,97.67675601,125.830644507,1659540.35343757,1496,18.5,0.903592143275344
"result.3828",3,15,14,134.32082124,98.61528648,125.25274892,1659108.7173496,1492,18,0.90092032322305
"result.1779",2,15,6,135.598320108,99.975032622,122.383229589,1659081.70151826,1499,18.5,0.900753095686009
"result.2995",2,11,11,135.598320108,97.67675601,125.256075354,1658992.17144965,1499,18.5,0.900198906082136
"result.2529",0,14,9,134.449181802,99.400463469,124.106937048,1658603.70199938,1493,18.5,0.897794286783974
"result.3573",4,15,13,134.88757576,98.61528648,124.6859944,1658570.22052475,1495,18,0.897587037024765
"result.2274",1,14,8,135.023750955,99.400463469,123.532367895,1657980.216119,1496,18.5,0.893934919775645
"result.3318",5,15,12,135.45433028,98.61528648,124.11923988,1657968.37113228,1498,18,0.893861599509037
"result.3745",0,10,14,134.449181802,97.102186857,126.979782813,1657760.37427679,1492,18.5,0.892574102506812
"result.3490",1,10,13,135.023750955,97.102186857,126.40521366,1657311.58583961,1495,18.5,0.889796109704345
"result.2019",2,14,7,135.598320108,99.400463469,122.957798742,1657291.10014595,1499,18.5,0.889669303608543
"result.4068",3,14,15,134.32082124,98.04853196,125.81950344,1657037.74375952,1491,18,0.888101031880359
"result.3235",2,10,12,135.598320108,97.102186857,125.830644507,1656798.68476856,1498,18.5,0.886621260787241
"result.2769",0,13,10,134.449181802,98.825894316,124.681506201,1656650.73253653,1492,18.5,0.885705438984229
"result.3813",4,14,14,134.88757576,98.04853196,125.25274892,1656533.83598022,1494,18,0.884981851286427
