"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,121.70620154,60.06280076,120.12560152,878119.989159629,1033,40,1
"result.4095",14,15,15,120.91590153,60.06280076,120.12560152,872417.911307943,1027,40,0.981288823019672
"result.3840",15,15,14,121.70620154,60.06280076,119.33530151,872342.88396779,1030,40,0.981042623322562
"result.4094",13,15,15,120.12560152,60.06280076,120.12560152,866715.833456257,1020,40,0.962577646039344
"result.3839",14,15,14,120.91590153,60.06280076,119.33530151,866678.319786181,1023,40,0.962454546190789
"result.3584",15,15,13,121.70620154,60.06280076,118.5450015,866565.77877595,1026,40,0.962085246645124
"result.4080",15,14,15,121.70620154,59.27250075,120.12560152,866565.77877595,1026,40,0.962085246645124
"result.3838",13,15,14,120.12560152,60.06280076,119.33530151,861013.755604572,1017,40,0.943866469059015
"result.4093",12,15,15,119.33530151,60.06280076,120.12560152,861013.755604572,1013,40,0.943866469059015
"result.3583",14,15,13,120.91590153,60.06280076,118.5450015,860938.728264418,1020,40,0.943620269361905
"result.4079",14,14,15,120.91590153,59.27250075,120.12560152,860938.728264418,1020,40,0.943620269361905
"result.3824",15,14,14,121.70620154,59.27250075,119.33530151,860864.688126108,1023,40,0.943377309134495
"result.3328",15,15,12,121.70620154,60.06280076,117.75470149,860788.67358411,1023,40,0.943127869967686
"result.3837",12,15,14,119.33530151,60.06280076,119.33530151,855349.191422962,1010,40,0.925278391927241
"result.3582",13,15,13,120.12560152,60.06280076,118.5450015,855311.677752886,1013,40,0.925155292078687
"result.4078",13,14,15,120.12560152,59.27250075,120.12560152,855311.677752886,1013,40,0.925155292078687
"result.4092",11,15,15,118.5450015,60.06280076,120.12560152,855311.677752886,1006,40,0.925155292078687
"result.3823",14,14,14,120.91590153,59.27250075,119.33530151,855274.657683731,1016,40,0.925033811964981
"result.3327",14,15,12,120.91590153,60.06280076,117.75470149,855199.136742655,1016,40,0.924785992533022
"result.3568",15,14,13,121.70620154,59.27250075,118.5450015,855163.597476266,1020,40,0.924669371623865
"result.3072",15,15,11,121.70620154,60.06280076,116.96440148,855011.568392271,1020,40,0.924170493290248
"result.4064",15,13,15,121.70620154,58.48220074,120.12560152,855011.568392271,1020,40,0.924170493290248
"result.3581",12,15,13,119.33530151,60.06280076,118.5450015,849684.627241354,1006,40,0.906690314795468
"result.3822",13,14,14,120.12560152,59.27250075,119.33530151,849684.627241354,1010,40,0.906690314795468
"result.3836",11,15,14,118.5450015,60.06280076,119.33530151,849684.627241354,1003,40,0.906690314795468
"result.4077",12,14,15,119.33530151,59.27250075,120.12560152,849684.627241354,1006,40,0.906690314795468
"result.3567",14,14,13,120.91590153,59.27250075,118.5450015,849610.587103044,1013,40,0.906447354568057
