"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4083",2,15,15,137.51220174,84.56210107,140.67340178,1635795.43012452,1499,40,1
"result.4084",3,15,15,137.80787615,84.259672846,140.170296884,1627607.94562743,1497,39.5,0.977422844848387
"result.3572",3,15,13,138.30250175,84.56210107,139.09280176,1626711.19875485,1499,40,0.974950047094565
"result.3827",2,15,14,137.51220174,84.56210107,139.88310177,1626605.56815753,1495,40,0.974658768572408
"result.4082",1,15,15,136.72190173,84.56210107,140.67340178,1626394.30696289,1491,40,0.974076211528096
"result.4069",4,14,15,138.595349728,83.472199268,140.170296884,1621610.35159548,1499,39.5,0.960884357228188
"result.3812",3,14,14,138.30250175,83.77180106,139.88310177,1620664.58745957,1497,40,0.958276393373005
"result.4067",2,14,15,137.51220174,83.77180106,140.67340178,1620507.62236635,1492,40,0.957843558933539
"result.3830",5,15,14,138.88074369,83.95615579,138.88074369,1619334.66027582,1499,39,0.954609092094031
"result.4085",4,15,15,138.09610672,83.95615579,139.66538066,1619282.97223406,1495,39,0.954466561266804
"result.3573",4,15,13,138.595349728,84.259672846,138.595349728,1618516.33142071,1497,39.5,0.952352533619527
"result.3828",3,15,14,137.80787615,84.259672846,139.382823306,1618464.08076435,1493,39.5,0.952208451371085
"result.3316",3,15,12,138.30250175,84.56210107,138.30250175,1617468.5214892,1495,40,0.949463176405895
"result.3061",4,15,11,139.09280176,84.56210107,137.51220174,1617415.70619054,1499,40,0.949317537144817
"result.3571",2,15,13,137.51220174,84.56210107,139.09280176,1617415.70619054,1491,40,0.949317537144817
"result.3826",1,15,14,136.72190173,84.56210107,139.88310177,1617257.26029456,1486,40,0.948880619361583
"result.4081",0,15,15,135.93160172,84.56210107,140.67340178,1616993.18380125,1482,40,0.948152423056192
"result.4054",5,13,15,139.382823306,82.68472569,140.170296884,1615438.91425825,1500,39.5,0.943866493155231
"result.3797",4,13,14,139.09280176,82.98150105,139.88310177,1614548.87203519,1498,40,0.941412183608914
"result.4052",3,13,15,138.30250175,82.98150105,140.67340178,1614445.21584156,1494,40,0.941126349545115
"result.4070",5,14,15,138.88074369,83.17151882,139.66538066,1613263.97223107,1496,39,0.937869046245751
"result.3558",5,14,13,139.382823306,83.472199268,138.595349728,1612500.1810809,1499,39.5,0.935762876602686
"result.3813",4,14,14,138.595349728,83.472199268,139.382823306,1612500.1810809,1494,39.5,0.935762876602686
"result.4068",3,14,15,137.80787615,83.472199268,140.170296884,1612396.65641596,1490,39.5,0.935477405231942
"result.3301",4,14,12,139.09280176,83.77180106,138.30250175,1611508.29035528,1497,40,0.933027717737501
"result.3556",3,14,13,138.30250175,83.77180106,139.09280176,1611508.29035528,1492,40,0.933027717737501
"result.3811",2,14,14,137.51220174,83.77180106,139.88310177,1611403.6469598,1488,40,0.932739161444524
"result.4088",7,15,15,139.42896225,83.34580425,138.6500295,1611226.89639731,1498,38,0.932251768170812
"result.4066",1,14,15,136.72190173,83.77180106,140.67340178,1611194.36016884,1484,40,0.932162048858569
"result.3831",6,15,14,139.15862979,83.651535885,138.376839735,1610821.69814052,1497,38.5,0.931134425730172
"result.4086",5,15,15,138.376839735,83.651535885,139.15862979,1610821.69814052,1492,38.5,0.931134425730172
"result.3574",5,15,13,138.88074369,83.95615579,138.09610672,1610185.87688443,1495,39,0.929381135674792
"result.3829",4,15,14,138.09610672,83.95615579,138.88074369,1610185.87688443,1491,39,0.929381135674792
"result.3319",6,15,12,139.66538066,83.95615579,137.31146975,1610082.50080091,1499,39,0.929096074020338
"result.3317",4,15,12,138.595349728,84.259672846,137.80787615,1609320.21590128,1493,39.5,0.926994057893784
"result.3062",5,15,11,139.382823306,84.259672846,137.020402572,1609215.71458856,1497,39.5,0.926705893396901
"result.3782",5,12,14,139.88310177,82.19120104,139.88310177,1608258.4218844,1499,40,0.924066139280134
"result.3060",3,15,11,138.30250175,84.56210107,137.51220174,1608225.84422355,1491,40,0.923976305717226
"result.3315",2,15,12,137.51220174,84.56210107,138.30250175,1608225.84422355,1487,40,0.923976305717226
