"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,108.145263142,145.057119424,132.75316733,2082530.84322625,1500,23.5,1
"result.4066",1,14,15,108.145263142,144.409542998,132.75316733,2073233.83053328,1497,23.5,0.954210277665416
"result.3826",1,15,14,108.145263142,145.057119424,132.105590904,2072372.15618613,1497,23.5,0.949966352180746
"result.4081",0,15,15,107.497686716,145.057119424,132.75316733,2070060.59865604,1491,23.5,0.938581450281755
"result.3969",0,8,15,108.63631458,142.01253171,134.15930415,2069771.92077952,1499,24,0.937159651662506
"result.3729",0,9,14,108.63631458,142.66696734,133.50486852,2069167.06442411,1499,24,0.934180608234161
"result.3489",0,10,13,108.63631458,143.32140297,132.85043289,2068469.1532448,1499,24,0.930743250432224
"result.3249",0,11,12,108.63631458,143.9758386,132.19599726,2067678.18724158,1498,24,0.926847578256697
"result.4035",2,12,15,108.792839568,143.114390146,132.75316733,2066943.03751348,1499,23.5,0.923226812852194
"result.3009",0,12,11,108.63631458,144.63027423,131.54156163,2066794.16641445,1498,24,0.922493591707577
"result.3795",2,13,14,108.792839568,143.761966572,132.105590904,2066167.44913168,1499,23.5,0.919406878662399
"result.2769",0,13,10,108.63631458,145.28470986,130.887126,2065817.09076342,1498,24,0.917681290784866
"result.3555",2,14,13,108.792839568,144.409542998,131.458014478,2065300.61505789,1498,23.5,0.915137540450277
"result.2529",0,14,9,108.63631458,145.93914549,130.23269037,2064746.96028847,1497,24,0.912410675488563
"result.3315",2,15,12,108.792839568,145.057119424,130.810438052,2064342.53529213,1498,23.5,0.910418798215827
"result.4050",1,13,15,108.145263142,143.761966572,132.75316733,2063936.81784031,1494,23.5,0.90842055533083
"result.2289",0,15,8,108.63631458,146.59358112,129.57825474,2063583.77498962,1497,24,0.90668174581867
"result.3810",1,14,14,108.145263142,144.409542998,132.105590904,2063120.49477458,1493,23.5,0.904399994345355
"result.3570",1,15,13,108.145263142,145.057119424,131.458014478,2062213.469146,1493,23.5,0.899932704361492
"result.3218",1,9,12,109.29075021,142.66696734,132.19599726,2061223.77011821,1500,24,0.895058230681197
"result.4065",0,14,15,107.497686716,144.409542998,132.75316733,2060819.25669775,1488,23.5,0.893065917901269
"result.2978",1,10,11,109.29075021,143.32140297,131.54156163,2060428.03925955,1500,24,0.891139090600998
"result.3953",0,7,15,108.63631458,141.35809608,134.15930415,2060233.80132892,1496,24,0.890182428369375
"result.3825",0,15,14,107.497686716,145.057119424,132.105590904,2059962.74207723,1488,23.5,0.888847405144053
"result.3713",0,8,14,108.63631458,142.01253171,133.50486852,2059675.47238547,1495,24,0.887432542127826
"result.2738",1,11,10,109.29075021,143.9758386,130.887126,2059538.69300575,1500,24,0.886758875217246
"result.3473",0,9,13,108.63631458,142.66696734,132.85043289,2059024.08861811,1495,24,0.884224341512684
"result.2498",1,12,9,109.29075021,144.63027423,130.23269037,2058555.73135682,1499,24,0.881917584529939
"result.3233",0,10,12,108.63631458,143.32140297,132.19599726,2058279.65002685,1495,24,0.880557826523952
"result.3284",3,13,12,109.440415994,143.761966572,130.810438052,2058088.94661698,1500,23.5,0.879618572542661
"result.4019",2,11,15,108.792839568,142.46681372,132.75316733,2057590.35408582,1496,23.5,0.877162900563509
"result.2258",1,13,8,109.29075021,145.28470986,129.57825474,2057479.15431274,1499,24,0.87661521853908
"result.2993",0,11,11,108.63631458,143.9758386,131.54156163,2057442.15661167,1495,24,0.876432997161629
"result.3044",3,14,11,109.440415994,144.409542998,130.162861626,2057125.16399547,1500,23.5,0.874871742556815
"result.3779",2,12,14,108.792839568,143.114390146,132.105590904,2056860.38855,1495,23.5,0.87356766838488
"result.2753",0,12,10,108.63631458,144.63027423,130.887126,2056511.60837259,1494,24,0.871849853425714
"result.2018",1,14,7,109.29075021,145.93914549,128.92381911,2056308.96187354,1499,24,0.870851777244669
"result.2804",3,15,10,109.440415994,145.057119424,129.5152852,2056069.59255287,1500,23.5,0.869672833524698
"result.3539",2,13,13,108.792839568,143.761966572,131.458014478,2056039.17732221,1495,23.5,0.869523032183922
"result.4070",5,14,15,109.55165445,142.86560785,131.33385475,2055527.66056598,1500,23,0.867003705706647
"result.2513",0,13,9,108.63631458,145.28470986,130.23269037,2055488.0053096,1494,24,0.866808395316207
"result.3299",2,14,12,108.792839568,144.409542998,130.810438052,2055126.72040244,1495,23.5,0.865028991960636
"result.1778",1,15,6,109.29075021,146.59358112,128.26938348,2055045.15403919,1498,24,0.864627260646704
"result.3830",5,15,14,109.55165445,143.5062608,130.6932018,2054673.34523074,1500,23,0.862796024887125
"result.4034",1,12,15,108.145263142,143.114390146,132.75316733,2054639.80514733,1490,23.5,0.862630832996245
"result.2273",0,14,8,108.63631458,145.93914549,129.57825474,2054371.3474227,1493,24,0.861308622833108
"result.3059",2,15,11,108.792839568,145.057119424,130.162861626,2054123.01779069,1494,23.5,0.860085547715021
"result.3794",1,13,14,108.145263142,143.761966572,132.105590904,2053868.83336304,1490,23.5,0.858833636509963
"result.3922",1,5,15,109.29075021,140.04922482,134.15930415,2053453.69232187,1498,24,0.856788980486305
"result.2033",0,15,7,108.63631458,146.59358112,128.92381911,2053161.63471189,1493,24,0.855350535976418
