"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,116.17410147,116.17410147,106.69050135,1439940.01385958,1293,40,1
"result.4080",15,14,15,116.17410147,115.38380146,106.69050135,1430144.50356122,1288,40,0.975984316288188
"result.4095",14,15,15,115.38380146,116.17410147,106.69050135,1430144.50356122,1284,40,0.975984316288188
"result.3840",15,15,14,116.17410147,116.17410147,105.90020134,1429273.7915347,1288,40,0.973849588847138
"result.4079",14,14,15,115.38380146,115.38380146,106.69050135,1420415.62938733,1280,40,0.952132004574416
"result.4064",15,13,15,116.17410147,114.59350145,106.69050135,1420348.99326285,1284,40,0.951968632576376
"result.4094",13,15,15,114.59350145,116.17410147,106.69050135,1420348.99326285,1275,40,0.951968632576376
"result.3824",15,14,14,116.17410147,115.38380146,105.90020134,1419550.84057188,1284,40,0.950011799088747
"result.3839",14,15,14,115.38380146,116.17410147,105.90020134,1419550.84057188,1279,40,0.950011799088747
"result.3584",15,15,13,116.17410147,116.17410147,105.10990133,1418607.56920981,1283,40,0.947699177694277
"result.4063",14,13,15,115.38380146,114.59350145,106.69050135,1410686.75521345,1275,40,0.928279692860644
"result.4078",13,14,15,114.59350145,115.38380146,106.69050135,1410686.75521345,1271,40,0.928279692860644
"result.4048",15,12,15,116.17410147,113.80320144,106.69050135,1410553.48296449,1280,40,0.927952948864565
"result.4093",12,15,15,113.80320144,116.17410147,106.69050135,1410553.48296449,1266,40,0.927952948864565
"result.3823",14,14,14,115.38380146,115.38380146,105.90020134,1409894.03213261,1275,40,0.926336171165447
"result.3808",15,13,14,116.17410147,114.59350145,105.90020134,1409827.88960905,1279,40,0.926174009330356
"result.3838",13,15,14,114.59350145,116.17410147,105.90020134,1409827.88960905,1271,40,0.926174009330356
"result.3568",15,14,13,116.17410147,115.38380146,105.10990133,1408957.17758253,1279,40,0.924039281889306
"result.3583",14,15,13,115.38380146,116.17410147,105.10990133,1408957.17758253,1275,40,0.924039281889306
