"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,120.497525476,130.783899602,118.293302449,1864200.27361216,1498,30.5,1
"result.3825",0,15,14,120.497525476,131.518640611,117.55856144,1863029.37526179,1498,30.5,0.993693869143259
"result.4082",1,15,15,120.7305,130.9743,117.8037,1862781.92973356,1499,30,0.992361196772146
"result.4017",0,11,15,120.99419472,129.109659,118.78088628,1855537.89814355,1498,31,0.953346869762166
"result.3777",0,12,14,120.99419472,129.84742848,118.0431168,1854550.03413389,1497,31,0.948026510645094
"result.4034",1,12,15,121.232266485,129.314417584,118.293302449,1854493.55801922,1499,30.5,0.947722346095475
"result.3265",0,12,12,121.488834136,130.378261024,117.044120692,1853920.69246287,1500,31.5,0.944637052516806
"result.4049",0,13,15,120.497525476,130.049158593,118.293302449,1853727.23836715,1494,30.5,0.943595162892487
"result.3794",1,13,14,121.232266485,130.049158593,117.55856144,1853446.41315303,1498,30.5,0.942082716874
"result.3537",0,13,13,120.99419472,130.58519796,117.30534732,1853430.45492294,1497,31,0.941996770312413
"result.4051",2,13,15,121.4622,129.5109,117.8037,1853132.17062574,1500,30,0.940390294558089
"result.3025",0,13,11,121.488834136,131.119046598,116.303335118,1852653.98888272,1500,31.5,0.937814941502154
"result.3809",0,14,14,120.497525476,130.783899602,117.55856144,1852621.38992513,1494,30.5,0.937639372638898
"result.4066",1,14,15,120.7305,130.2426,117.8037,1852375.32677415,1495,30,0.93631414536483
"result.3554",1,14,13,121.232266485,130.783899602,116.823820431,1852268.37517857,1498,30.5,0.935738133999841
"result.3297",0,14,12,120.99419472,131.32296744,116.56757784,1852179.16051071,1497,31,0.935257648764122
"result.3811",2,14,14,121.4622,130.2426,117.072,1852026.67717378,1499,30,0.9344364161816
"result.4081",0,15,15,119.9988,130.9743,117.8037,1851492.34228063,1490,30,0.931558637972695
"result.3569",0,15,13,120.497525476,131.518640611,116.823820431,1851385.4416664,1493,30.5,0.930982901179005
"result.2785",0,14,10,121.488834136,131.859832172,115.562549544,1851253.94808361,1499,31.5,0.930274713538592
"result.3826",1,15,14,120.7305,130.9743,117.072,1851211.85563583,1494,30,0.930048015393826
"result.3314",1,15,12,121.232266485,131.518640611,116.089079422,1850959.44409584,1497,30.5,0.928688597472996
"result.3057",0,15,11,120.99419472,132.06073692,115.82980836,1850796.15089719,1496,31,0.927809146000223
"result.3571",2,15,13,121.4622,130.9743,116.3403,1850791.12566864,1499,30,0.927782081525524
"result.2802",1,15,10,121.7319642,132.06073692,115.09203888,1850221.10160376,1500,31,0.924712091424757
"result.2545",0,15,9,121.488834136,132.600617746,114.82176397,1849720.57006553,1499,31.5,0.922016368626119
"result.3697",0,7,14,121.98146652,127.18799253,119.0063088,1846332.64282152,1500,32,0.903769940550577
"result.3969",0,8,15,121.488834136,127.415118728,119.266477414,1846187.13376301,1497,31.5,0.902986269479987
"result.3457",0,8,13,121.98146652,127.93178196,118.26251937,1845522.84780273,1500,32,0.899408611188433
"result.3986",1,9,15,121.7319642,127.63412004,118.78088628,1845516.70043581,1498,31,0.899375503190409
"result.3729",0,9,14,121.488834136,128.155904302,118.52569184,1845387.11044923,1497,31.5,0.898677567786523
"result.4001",0,10,15,120.99419472,128.37188952,118.78088628,1844934.82443987,1494,31,0.896241681905597
"result.3746",1,10,14,121.7319642,128.37188952,118.0431168,1844655.33120787,1498,31,0.894736409570036
"result.3217",0,9,12,121.98146652,128.67557139,117.51872994,1844578.08694749,1500,32,0.894320393599265
"result.4003",2,10,15,121.967007494,127.844935566,118.293302449,1844531.40254226,1499,30.5,0.894068964456622
"result.3489",0,10,13,121.488834136,128.896689876,117.784906266,1844453.74991649,1496,31.5,0.893650749144148
"result.3761",0,11,14,120.99419472,129.109659,118.0431168,1844012.81803086,1493,31,0.891276013396331
"result.4018",1,11,15,121.232266485,128.579676575,118.293302449,1843956.6628032,1495,30.5,0.890973577054381
"result.3506",1,11,13,121.7319642,129.109659,117.30534732,1843661.44363718,1498,31,0.889383609238836
"result.3763",2,11,14,121.967007494,128.579676575,117.55856144,1843609.59774339,1499,30.5,0.889104381763172
"result.2977",0,10,11,121.98146652,129.41936082,116.77494051,1843498.36025578,1499,32,0.888505287783074
"result.3249",0,11,12,121.488834136,129.63747545,117.044120692,1843387.05216478,1496,31.5,0.887905813552862
"result.4033",0,12,15,120.497525476,129.314417584,118.293302449,1843254.20312214,1490,30.5,0.887190325784974
"result.4020",3,11,15,122.1939,128.0475,117.8037,1843230.13023407,1500,30,0.88706067594628
"result.3778",1,12,14,121.232266485,129.314417584,117.55856144,1842974.96449115,1494,30.5,0.885686424659248
"result.3521",0,12,13,120.99419472,129.84742848,117.30534732,1842959.09642055,1493,31,0.885600963671454
"result.2994",1,11,11,122.22961971,129.63747545,116.303335118,1842889.07017323,1500,31.5,0.885223821899156
"result.4035",2,12,15,121.4622,128.7792,117.8037,1842662.49734537,1496,30,0.884003564051336
"result.3523",2,12,13,121.967007494,129.314417584,116.823820431,1842556.10654468,1499,30.5,0.883430572970658
"result.3266",1,12,12,121.7319642,129.84742848,116.56757784,1842535.03772373,1497,31,0.883317102196809
"result.2737",0,11,10,121.98146652,130.16315025,116.03115108,1842283.66772761,1499,32,0.881963293739857
"result.3780",3,12,14,122.1939,128.7792,117.072,1842248.81871842,1500,30,0.881775606728312
"result.3793",0,13,14,120.497525476,130.049158593,117.55856144,1842213.40458847,1489,30.5,0.881584876134538
"result.3009",0,12,11,121.488834136,130.378261024,116.303335118,1842187.01719412,1496,31.5,0.881442761012667
"result.4050",1,13,15,120.7305,129.5109,117.8037,1841968.72381475,1491,30,0.880267093957516
"result.3538",1,13,13,121.232266485,130.049158593,116.823820431,1841862.37307083,1494,30.5,0.87969431861143
"result.3281",0,13,12,120.99419472,130.58519796,116.56757784,1841773.65960896,1492,31,0.879216532730968
"result.3795",2,13,14,121.4622,129.5109,117.072,1841622.03291999,1495,30,0.878399913814641
"result.2754",1,12,10,122.22961971,130.378261024,115.562549544,1841614.64279076,1500,31.5,0.878360112646611
"result.3283",2,13,12,121.967007494,130.049158593,116.089079422,1841370.92894613,1498,30.5,0.877047538079078
"result.3026",1,13,11,121.7319642,130.58519796,115.82980836,1841276.11346751,1497,31,0.876536888443956
"result.3540",3,13,13,122.1939,129.5109,116.3403,1841136.66566734,1499,30,0.875785861614616
"result.3553",0,14,13,120.497525476,130.783899602,116.823820431,1841042.5062381,1489,30.5,0.875278745277797
"result.2497",0,12,9,121.98146652,130.90693968,115.28736165,1840934.00936297,1498,32,0.874694411469617
"result.3810",1,14,14,120.7305,130.2426,117.072,1840869.88996189,1490,30,0.874349082318233
"result.2769",0,13,10,121.488834136,131.119046598,115.562549544,1840853.64500449,1495,31.5,0.87426159152356
"result.3298",1,14,12,121.232266485,130.783899602,116.089079422,1840618.88854223,1493,30.5,0.872997258910928
"result.3041",0,14,11,120.99419472,131.32296744,115.82980836,1840456.50759608,1492,31,0.872122720574874
"result.3555",2,14,13,121.4622,130.2426,116.3403,1840451.51044144,1495,30,0.872095807298357
"result.2514",1,13,9,122.22961971,131.119046598,114.82176397,1840206.06515751,1499,31.5,0.870773907683271
"result.3043",2,14,11,121.967007494,130.783899602,115.354338413,1840054.06494774,1498,30.5,0.869955277088436
"result.3300",3,14,12,122.1939,130.2426,115.6086,1839893.67108085,1499,30,0.869091440605189
"result.2786",1,14,10,121.7319642,131.32296744,115.09203888,1839884.67086854,1496,31,0.869042967980275
"result.3313",0,15,12,120.497525476,131.518640611,116.089079422,1839741.50807101,1488,30.5,0.868271933214752
"result.3570",1,15,13,120.7305,130.9743,116.3403,1839641.78153811,1490,30,0.867734834015507
"result.2257",0,13,8,121.98146652,131.65072911,114.54357222,1839449.38516187,1497,32,0.866698640972354
"result.2529",0,14,9,121.488834136,131.859832172,114.82176397,1839386.93559589,1494,31.5,0.866362305085542
"result.3058",1,15,11,121.232266485,131.518640611,115.354338413,1839244.51090536,1493,30.5,0.865595245557742
"result.1985",0,12,7,122.472118604,131.433493136,114.257525283,1839196.34163405,1500,32.5,0.865335819341924
"result.2531",2,14,9,122.46973368,131.32296744,114.3542694,1839169.87495911,1500,31,0.865193277237029
"result.3315",2,15,12,121.4622,130.9743,115.6086,1839150.92990972,1494,30,0.865091244502488
"result.4069",4,14,15,121.896020736,129.151736256,116.817019872,1839060.0070366,1497,29.5,0.864601559351267
"result.2801",0,15,10,120.99419472,132.06073692,115.09203888,1839007.64038192,1491,31,0.864319527203168
"result.2274",1,14,8,122.22961971,131.859832172,114.080978396,1838663.33727347,1499,31.5,0.862465207009136
"result.2803",2,15,10,121.967007494,131.518640611,114.619597404,1838605.51454951,1497,30.5,0.862153789998727
"result.3060",3,15,11,122.1939,130.9743,114.8769,1838519.83495894,1498,30,0.861692343700034
"result.4084",3,15,15,121.170449184,129.877307808,116.817019872,1838383.52027639,1492,29.5,0.860958190965453
"result.2546",1,15,9,121.7319642,132.06073692,114.3542694,1838360.70992681,1495,31,0.860835340805769
"result.3829",4,15,14,121.896020736,129.877307808,116.09144832,1837904.89920889,1496,29.5,0.858380471830826
"result.2017",0,14,7,121.98146652,132.39451854,113.79978279,1837829.79512431,1497,32,0.857975982248067
"result.2289",0,15,8,121.488834136,132.600617746,114.080978396,1837786.88896833,1494,31.5,0.857744901698614
"result.2291",2,15,8,122.46973368,132.06073692,113.61649992,1837570.01714835,1500,31,0.856576890764503
"result.1745",0,13,6,122.472118604,132.180274347,113.510744072,1837557.12920835,1500,32.5,0.856507479926166
"result.3574",5,15,13,122.621592288,129.877307808,115.365876768,1837289.52926495,1500,29.5,0.855066261514877
"result.2034",1,15,7,122.22961971,132.600617746,113.340192822,1836986.45913864,1498,31.5,0.853434010624208
"result.3889",0,3,15,122.472118604,124.712462237,120.231774971,1836396.02040681,1499,32.5,0.850254072840006
"result.3921",0,5,15,121.98146652,125.70041367,119.75009823,1836142.72216852,1496,32,0.848889879410268
"result.1777",0,15,6,121.98146652,133.13830797,113.05599336,1836075.23925029,1496,32,0.848526435296755
"result.3649",0,4,14,122.472118604,125.459243448,119.48499376,1835917.91678265,1499,32.5,0.847679140510409
"result.3938",1,6,15,122.22961971,125.93354758,119.266477414,1835846.18200696,1497,31.5,0.847292797082456
"result.1505",0,14,5,122.472118604,132.927055558,112.763962861,1835781.31574718,1499,32.5,0.846943445559097
"result.3681",0,6,14,121.98146652,126.4442031,119.0063088,1835535.37590443,1496,32,0.845618882388659
"result.3953",0,7,15,121.488834136,126.674333154,119.266477414,1835453.48763648,1493,31.5,0.845177855092677
"result.3409",0,5,13,122.472118604,126.206024659,118.738212549,1835303.21212301,1499,32.5,0.8443685132295
"result.3955",2,7,15,122.46973368,126.15858108,118.78088628,1835236.89117432,1499,31,0.844011327158737
"result.3426",1,6,13,122.72525595,126.4442031,118.26251937,1835185.61687701,1500,32,0.843735178141798
"result.3698",1,7,14,122.22961971,126.674333154,118.52569184,1835175.43075303,1497,31.5,0.843680318528485
"result.1522",1,15,5,122.72525595,133.13830797,112.31220393,1835117.72247757,1500,32,0.843369517905644
"result.3970",1,8,15,121.7319642,126.89635056,118.78088628,1834848.97384369,1494,31,0.841922112968862
"result.3441",0,7,13,121.98146652,127.18799253,118.26251937,1834793.06380388,1496,32,0.841620997140028
"result.3713",0,8,14,121.488834136,127.415118728,118.52569184,1834720.13293218,1492,31.5,0.841228211873668
"result.3169",0,6,12,122.472118604,126.95280587,117.991431338,1834551.9064279,1498,32.5,0.840322190997279
"result.3715",2,8,14,122.46973368,126.89635056,118.0431168,1834503.62301105,1498,31,0.840062150025496
"result.3186",1,7,12,122.72525595,127.18799253,117.51872994,1834370.88408372,1500,32,0.839347255307934
"result.3458",1,8,13,122.22961971,127.415118728,117.784906266,1834370.52924832,1497,31.5,0.83934534426372
"result.3985",0,9,15,120.99419472,127.63412004,118.78088628,1834331.7507362,1489,31,0.839136494049029
"result.3972",3,8,15,122.701748503,126.375453548,118.293302449,1834313.80718127,1500,30.5,0.839039855083438
"result.3730",1,9,14,121.7319642,127.63412004,118.0431168,1834053.86378714,1494,31,0.837639872703902
"result.3987",2,9,15,121.967007494,127.110194557,118.293302449,1833930.64735523,1495,30.5,0.836976263481944
"result.3201",0,8,12,121.98146652,127.93178196,117.51872994,1833915.78586687,1495,32,0.836896223664372
"result.1265",0,15,4,122.472118604,133.673836769,112.01718165,1833868.90125053,1498,32.5,0.836643716240714
"result.3473",0,9,13,121.488834136,128.155904302,117.784906266,1833853.44100892,1492,31.5,0.83656045170575
"result.2929",0,7,11,122.472118604,127.699587081,117.244650127,1833663.99969731,1498,32.5,0.835540173813744
"result.3475",2,9,13,122.46973368,127.63412004,117.30534732,1833637.03336355,1498,31,0.835394940686211
"result.3732",3,9,14,122.701748503,127.110194557,117.55856144,1833518.92903285,1499,30.5,0.834758863810774
"result.3745",0,10,14,120.99419472,128.37188952,118.0431168,1833475.60192782,1489,31,0.834525516147567
"result.3218",1,9,12,122.22961971,128.155904302,117.044120692,1833431.47749281,1496,31.5,0.83428787428816
