"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4066",1,14,15,123.44312892,123.44312892,119.36717655,1818941.63516536,1498,19,1
"result.4081",0,15,15,122.86085001,124.02540783,119.36717655,1818901.16387586,1494,19,0.999766950601711
"result.3826",1,15,14,123.44312892,124.02540783,118.78489764,1818606.80927761,1498,19,0.998071942539033
"result.4050",1,13,15,123.44312892,122.86085001,119.36717655,1810361.72179193,1494,19,0.950593527562727
"result.4065",0,14,15,122.86085001,123.44312892,119.36717655,1810361.72179193,1491,19,0.950593527562727
"result.4035",2,12,15,124.02540783,122.2785711,119.36717655,1810280.77921294,1498,19,0.950127428766149
"result.3810",1,14,14,123.44312892,123.44312892,118.78489764,1810068.74914016,1494,19,0.948906477284382
"result.3795",2,13,14,124.02540783,122.86085001,118.78489764,1810028.47527159,1498,19,0.948674564712426
"result.3825",0,15,14,122.86085001,124.02540783,118.78489764,1810028.47527159,1491,19,0.948674564712426
"result.2497",0,12,9,124.466350487,123.87646257,117.387695483,1809936.45514524,1500,19.5,0.948144677097216
"result.3555",2,14,13,124.02540783,123.44312892,118.20261873,1809692.07001645,1498,19,0.946737412640793
"result.3570",1,15,13,123.44312892,124.02540783,118.20261873,1809692.07001645,1494,19,0.946737412640793
"result.2257",0,13,8,124.466350487,124.466350487,116.797807566,1809416.73182718,1500,19.5,0.945151908444294
"result.3315",2,15,12,124.02540783,124.02540783,117.62033982,1809271.56344753,1497,19,0.944315972551254
"result.2017",0,14,7,124.466350487,125.056238404,116.207919649,1808810.38795611,1500,19.5,0.941660345015887
"result.1777",0,15,6,124.466350487,125.646126321,115.618031732,1808117.42353203,1500,19.5,0.93766998681199
"result.3681",0,6,14,124.466350487,120.337135068,120.337135068,1802400.46703336,1497,19.5,0.904749531629855
"result.3441",0,7,13,124.466350487,120.927022985,119.747247151,1802357.15675686,1497,19.5,0.904500134242112
"result.3921",0,5,15,124.466350487,119.747247151,120.927022985,1802357.15675686,1497,19.5,0.904500134242112
"result.3201",0,8,12,124.466350487,121.516910902,119.157359234,1802227.22592734,1497,19.5,0.903751942078881
"result.2961",0,9,11,124.466350487,122.106798819,118.567471317,1802010.67454482,1497,19.5,0.902504955140163
"result.4049",0,13,15,122.86085001,122.86085001,119.36717655,1801822.27970801,1487,19,0.901420104523744
