"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,97.99720124,89.30390113,175.44660222,1535426.61863198,1226,40,1
"result.3840",15,15,14,97.99720124,89.30390113,174.65630221,1528510.28251202,1223,40,0.984422283738563
"result.4095",14,15,15,97.20690123,89.30390113,175.44660222,1523044.14590108,1216,40,0.972110862822266
"result.4080",15,14,15,97.99720124,88.51360112,175.44660222,1521838.7724494,1221,40,0.969395991061602
"result.3584",15,15,13,97.99720124,89.30390113,173.8660022,1521593.94639206,1221,40,0.968844567477126
"result.3839",14,15,14,97.20690123,89.30390113,174.65630221,1516183.58668531,1214,40,0.956658773304873
"result.3824",15,14,14,97.99720124,88.51360112,174.65630221,1514983.64284377,1218,40,0.953956130696284
"result.3328",15,15,12,97.99720124,89.30390113,173.07570219,1514677.61027209,1218,40,0.953266851215689
"result.4094",13,15,15,96.41660122,89.30390113,175.44660222,1510661.67317018,1206,40,0.944221725644532
"result.4079",14,14,15,97.20690123,88.51360112,175.44660222,1509565.8791232,1211,40,0.941753660407565
"result.3583",14,15,13,97.20690123,89.30390113,173.8660022,1509323.02746954,1211,40,0.94120668378748
"result.4064",15,13,15,97.99720124,87.72330111,175.44660222,1508250.92626682,1215,40,0.938791982123204
"result.3568",15,14,13,97.99720124,88.51360112,173.8660022,1508128.51323814,1215,40,0.938516270330965
"result.3072",15,15,11,97.99720124,89.30390113,172.28540218,1507761.27415213,1215,40,0.937689134954252
"result.3838",13,15,14,96.41660122,89.30390113,174.65630221,1503856.8908586,1204,40,0.928895262871183
"result.3823",14,14,14,97.20690123,88.51360112,174.65630221,1502766.03282084,1208,40,0.926438315045193
"result.3327",14,15,12,97.20690123,89.30390113,173.07570219,1502462.46825377,1208,40,0.925754594270087
"result.3808",15,13,14,97.99720124,87.72330111,174.65630221,1501457.00317552,1213,40,0.923489977654004
"result.3312",15,14,12,97.99720124,88.51360112,173.07570219,1501273.38363252,1212,40,0.923076409965647
