"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,86.14270109,107.48080136,112.22260142,1039033.88975257,946,40,1
"result.3840",15,15,14,86.14270109,107.48080136,111.43230141,1031716.74968389,942,40,0.977556736461219
"result.4080",15,14,15,86.14270109,106.69050135,112.22260142,1031393.93468086,942,40,0.976566592481567
"result.4095",14,15,15,85.35240108,107.48080136,112.22260142,1029501.46874566,937,40,0.970761986949478
"result.3584",15,15,13,86.14270109,107.48080136,110.6420014,1024399.60961521,939,40,0.955113472922439
"result.3824",15,14,14,86.14270109,106.69050135,111.43230141,1024130.59711268,939,40,0.954288352939395
"result.4064",15,13,15,86.14270109,105.90020134,112.22260142,1023753.97960915,939,40,0.953133184963134
"result.3839",14,15,14,85.35240108,107.48080136,111.43230141,1022251.45840238,934,40,0.948524624911053
"result.4079",14,14,15,85.35240108,106.69050135,112.22260142,1021931.60500488,933,40,0.947543564821123
"result.4094",13,15,15,84.56210107,107.48080136,112.22260142,1019969.04773876,928,40,0.941523973898957
"result.3328",15,15,12,86.14270109,107.48080136,109.85170139,1017082.46954653,936,40,0.932670209383658
"result.3568",15,14,13,86.14270109,106.69050135,110.6420014,1016867.25954451,935,40,0.932010113397223
"result.3808",15,13,14,86.14270109,105.90020134,111.43230141,1016544.44454148,935,40,0.931019969417571
"result.4048",15,12,15,86.14270109,105.10990133,112.22260142,1016114.02453744,935,40,0.929699777444702
"result.3583",14,15,13,85.35240108,107.48080136,110.6420014,1015001.4480591,930,40,0.926287262872629
"result.3823",14,14,14,85.35240108,106.69050135,111.43230141,1014734.90356119,930,40,0.925469712797687
"result.4063",14,13,15,85.35240108,105.90020134,112.22260142,1014361.74126411,930,40,0.924325142692768
"result.3838",13,15,14,84.56210107,107.48080136,111.43230141,1012786.16712088,925,40,0.919492513360888
"result.4078",13,14,15,84.56210107,106.69050135,112.22260142,1012469.27532891,925,40,0.918520537160679
"result.4093",12,15,15,83.77180106,107.48080136,112.22260142,1010436.62673185,920,40,0.912285960848435
"result.3072",15,15,11,86.14270109,107.48080136,109.06140138,1009765.32947785,932,40,0.910226945844877
"result.3312",15,14,12,86.14270109,106.69050135,109.85170139,1009603.92197633,932,40,0.909731873855051
"result.3552",15,13,13,86.14270109,105.90020134,110.6420014,1009334.90947381,932,40,0.908906753872008
