"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,105.10990133,90.09420114,114.59350145,1085176.69114897,1068,40,1
"result.3840",15,15,14,105.10990133,90.09420114,113.80320144,1077692.71396864,1064,40,0.97769736551785
"result.4095",14,15,15,104.31960132,90.09420114,114.59350145,1077017.46790725,1059,40,0.975685097745024
"result.4080",15,14,15,105.10990133,89.30390113,114.59350145,1075657.59736697,1063,40,0.971632614035862
"result.3584",15,15,13,105.10990133,90.09420114,113.01290143,1070208.7367883,1060,40,0.9553947310357
"result.3839",14,15,14,104.31960132,90.09420114,113.80320144,1069589.76123203,1056,40,0.953550152243943
"result.4094",13,15,15,103.52930131,90.09420114,114.59350145,1068858.24466553,1051,40,0.951370195490049
"result.3824",15,14,14,105.10990133,89.30390113,113.80320144,1068239.26910926,1059,40,0.949525616698292
"result.4079",14,14,15,104.31960132,89.30390113,114.59350145,1067569.94625894,1055,40,0.947531000397158
"result.4064",15,13,15,105.10990133,88.51360112,114.59350145,1066138.50358496,1058,40,0.943265228071723
"result.3328",15,15,12,105.10990133,90.09420114,112.22260142,1062724.75960796,1056,40,0.93309209655355
"result.3583",14,15,13,104.31960132,90.09420114,113.01290143,1062162.05455681,1052,40,0.931415206742862
"result.3838",13,15,14,103.52930131,90.09420114,113.80320144,1061486.80849542,1048,40,0.929402938970036
"result.3568",15,14,13,105.10990133,89.30390113,113.01290143,1060820.94085156,1055,40,0.927418619360722
"result.4093",12,15,15,102.7390013,90.09420114,114.59350145,1060699.02142381,1043,40,0.927055293235073
"result.3823",14,14,14,104.31960132,89.30390113,113.80320144,1060207.39490543,1051,40,0.925590221084682
"result.4078",13,14,15,103.52930131,89.30390113,114.59350145,1059482.29515092,1047,40,0.923429386758454
"result.3808",15,13,14,105.10990133,88.51360112,113.80320144,1058785.82424989,1054,40,0.921353867878734
"result.4063",14,13,15,104.31960132,88.51360112,114.59350145,1058122.42461063,1050,40,0.919376903049292
"result.4048",15,12,15,105.10990133,87.72330111,114.59350145,1056619.40980295,1053,40,0.914897842107586
"result.3072",15,15,11,105.10990133,90.09420114,111.43230141,1055240.78242762,1053,40,0.9107894620714
"result.3327",14,15,12,104.31960132,90.09420114,112.22260142,1054734.34788158,1048,40,0.90928026124178
