"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,141.302730859,116.590594072,96.313969016,1586731.16046837,1497,22.5,1
"result.4066",1,14,15,141.936375392,115.956949539,96.313969016,1585184.3373445,1499,22.5,0.990080336224393
"result.3826",1,15,14,141.936375392,116.590594072,95.680324483,1583360.7142932,1499,22.5,0.97838557472052
"result.3571",2,15,13,142.570019925,116.590594072,95.04667995,1579896.64461316,1500,22.5,0.956170748738832
"result.4065",0,14,15,141.302730859,115.956949539,96.313969016,1578107.62155278,1493,22.5,0.944697874450992
"result.4050",1,13,15,141.936375392,115.323305006,96.313969016,1576522.12785081,1495,22.5,0.934530219080995
"result.3825",0,15,14,141.302730859,116.590594072,95.680324483,1576292.13967582,1492,22.5,0.933055321703833
"result.3729",0,9,14,142.86560785,114.0362251,96.73859545,1576051.13281108,1500,23,0.931509762273747
"result.2545",0,15,9,142.86560785,117.8801428,93.5353307,1575230.21176564,1500,23,0.926245255536412
"result.4035",2,12,15,142.570019925,114.689660473,96.313969016,1574859.29299265,1498,22.5,0.923866580522219
"result.3810",1,14,14,141.936375392,115.956949539,95.680324483,1574755.49301987,1495,22.5,0.923200918874118
"result.3489",0,10,13,142.86560785,114.67687805,96.0979425,1574409.2907202,1499,23,0.920980748799077
"result.3795",2,13,14,142.570019925,115.323305006,95.680324483,1573142.01403112,1497,22.5,0.912853795902917
"result.4020",3,11,15,143.203664458,114.05601594,96.313969016,1573119.11697829,1500,22.5,0.912706958774661
"result.3570",1,15,13,141.936375392,116.590594072,95.04667995,1572874.88174821,1494,22.5,0.911140696073249
"result.3249",0,11,12,142.86560785,115.317531,95.45728955,1572650.17419426,1498,23,0.909699662933361
"result.3780",3,12,14,143.203664458,114.689660473,95.680324483,1571451.70270957,1500,22.5,0.902013952790231
"result.3555",2,14,13,142.570019925,115.956949539,95.04667995,1571310.24980548,1496,22.5,0.901106825642332
"result.3009",0,12,11,142.86560785,115.95818395,94.8166366,1570773.78323325,1498,23,0.897666504676596
"result.3540",3,13,13,143.203664458,115.323305006,95.04667995,1569669.29435334,1499,22.5,0.890583498117221
"result.4049",0,13,15,141.302730859,115.323305006,96.313969016,1569484.08263719,1489,22.5,0.889395748901985
"result.3315",2,15,12,142.570019925,116.590594072,94.413035417,1569364.00031574,1495,22.5,0.888625669740457
"result.2994",1,11,11,143.5062608,115.317531,94.8166366,1569100.38748271,1500,23,0.886935139885951
"result.2769",0,13,10,142.86560785,116.5988369,94.17598365,1568780.11783718,1497,23,0.884881274028784
"result.3953",0,7,15,142.86560785,112.7549192,97.3792484,1568662.84340212,1497,23,0.884129201637735
"result.4086",5,15,15,142.85730564,115.28835192,95.23820376,1568552.58037676,1496,22,0.883422092905328
"result.4034",1,12,15,141.936375392,114.689660473,96.313969016,1567859.91835713,1491,22.5,0.878980101937598
"result.3300",3,14,12,143.203664458,115.956949539,94.413035417,1567771.89190962,1498,22.5,0.87841559475563
"result.3809",0,14,14,141.302730859,115.956949539,95.680324483,1567725.33456888,1488,22.5,0.878117025928173
"result.3713",0,8,14,142.86560785,113.39557215,96.73859545,1567196.91296383,1496,23,0.874728296749639
"result.2754",1,12,10,143.5062608,115.95818395,94.17598365,1567156.68204777,1499,23,0.874470298821768
"result.4071",6,14,15,143.48387277,114.66178479,95.23820376,1566870.06545216,1499,22,0.872632247517111
"result.3938",1,6,15,143.5062608,112.11426625,97.3792484,1566744.3808949,1499,23,0.871826241626336
"result.2529",0,14,9,142.86560785,117.23948985,93.5353307,1566669.17800605,1496,23,0.871343970989924
"result.4019",2,11,15,142.570019925,114.05601594,96.313969016,1566158.41292087,1494,22.5,0.86806847178443
"result.3794",1,13,14,141.936375392,115.323305006,95.680324483,1566150.27174653,1490,22.5,0.868016263027716
"result.3285",4,13,12,143.837308991,115.323305006,94.413035417,1566103.9688175,1500,22.5,0.867719325723906
"result.3569",0,15,13,141.302730859,116.590594072,95.04667995,1565853.11888326,1487,22.5,0.866110643407666
"result.3060",3,15,11,143.203664458,116.590594072,93.779390884,1565759.4953784,1497,22.5,0.865510242705458
"result.3473",0,9,13,142.86560785,114.0362251,96.0979425,1565613.70809048,1495,23,0.864575319470493
"result.3698",1,7,14,143.5062608,112.7549192,96.73859545,1565330.77694221,1498,23,0.862760902670566
"result.2514",1,13,9,143.5062608,116.5988369,93.5353307,1565095.17628343,1498,23,0.861250012844605
"result.3831",6,15,14,143.48387277,115.28835192,94.61163663,1565067.51145107,1498,22,0.861072600294177
"result.3779",2,12,14,142.570019925,114.689660473,95.680324483,1564498.37659138,1493,22.5,0.857422779985773
"result.2289",0,15,8,142.86560785,117.8801428,92.89467775,1564440.96373985,1495,23,0.857054595560015
"result.4004",3,10,15,143.203664458,113.422371407,96.313969016,1564379.56632842,1496,22.5,0.856660858442482
"result.3554",1,14,13,141.936375392,115.956949539,95.04667995,1564326.64869523,1490,22.5,0.856321501523843
"result.3045",4,14,11,143.837308991,115.956949539,93.779390884,1564140.41933229,1499,22.5,0.855127226214016
"result.3233",0,10,12,142.86560785,114.67687805,95.45728955,1563913.22878207,1494,23,0.853670269800301
"result.3458",1,8,13,143.5062608,113.39557215,96.0979425,1563799.37266013,1498,23,0.852940118801817
"result.3816",7,14,14,144.1104399,114.66178479,94.61163663,1563358.92246477,1500,22,0.850115543851697
"result.2274",1,14,8,143.5062608,117.23948985,92.89467775,1562915.8701897,1497,23,0.847274281954463
"result.3764",3,11,14,143.203664458,114.05601594,95.680324483,1562769.64910344,1495,22.5,0.846336576802344
"result.3539",2,13,13,142.570019925,115.323305006,95.04667995,1562723.8549978,1492,22.5,0.84604290254583
"result.3989",4,9,15,143.837308991,112.788726874,96.313969016,1562523.37857977,1499,22.5,0.844757261911753
"result.3314",1,15,12,141.936375392,116.590594072,94.413035417,1562389.04920322,1489,22.5,0.843895817425978
"result.3218",1,9,12,143.5062608,114.0362251,95.45728955,1562150.16804867,1497,23,0.842363890020086
"result.2993",0,11,11,142.86560785,115.317531,94.8166366,1562095.47503859,1493,23,0.84201314773906
"result.2805",4,15,10,143.837308991,116.590594072,93.145746351,1562061.36693619,1498,22.5,0.84179441496825
"result.3443",2,7,13,144.14691375,112.7549192,96.0979425,1561906.15308064,1500,23,0.840799039843199
"result.4085",4,15,15,142.23073851,115.28835192,95.23820376,1561672.96379616,1490,22,0.839303613984615
"result.3576",7,15,13,144.1104399,115.28835192,93.9850695,1561491.92125457,1500,22,0.838142601381438
"result.2259",2,13,8,144.14691375,116.5988369,92.89467775,1561314.52196205,1500,23,0.837004952668631
"result.3524",3,12,13,143.203664458,114.689660473,95.04667995,1561044.73779096,1495,22.5,0.835274846473625
"result.3749",4,10,14,143.837308991,113.422371407,95.680324483,1560964.08928269,1498,22.5,0.83475765347743
"result.4033",0,12,15,141.302730859,114.689660473,96.313969016,1560860.54372161,1485,22.5,0.834093623352977
"result.3299",2,14,12,142.570019925,115.956949539,94.413035417,1560834.84814011,1491,22.5,0.833928839464599
"result.2034",1,15,7,143.5062608,117.8801428,92.2540248,1560618.76376659,1496,23,0.832543106151337
"result.2978",1,10,11,143.5062608,114.67687805,94.8166366,1560383.16310781,1496,23,0.831032216325376
"result.3203",2,8,12,144.14691375,113.39557215,95.45728955,1560308.74906045,1499,23,0.830555004471863
"result.2753",0,12,10,142.86560785,115.95818395,94.17598365,1560160.44686005,1492,23,0.829603953286771
"result.4070",5,14,15,142.85730564,114.66178479,95.23820376,1560027.83809211,1492,22,0.828753542938357
"result.1009",0,15,3,144.409542998,119.154062384,90.66069964,1559997.1805035,1500,23.5,0.828556938060608
"result.3937",0,6,15,142.86560785,112.11426625,97.3792484,1559749.98633733,1492,23,0.826971699918104
"result.2897",0,5,11,144.409542998,112.678298124,95.841311048,1559512.70932943,1500,23.5,0.825450059787602
"result.3509",4,11,13,143.837308991,114.05601594,95.04667995,1559289.29707472,1497,22.5,0.82401733330723
"result.3284",3,13,12,143.203664458,115.323305006,94.413035417,1559204.83239099,1494,22.5,0.823475667456324
"result.4018",1,11,15,141.936375392,114.05601594,96.313969016,1559197.70886344,1487,22.5,0.8234299847942
"result.3793",0,13,14,141.302730859,115.323305006,95.680324483,1559158.52946195,1484,22.5,0.823178730152515
"result.3734",5,9,14,144.470953524,112.788726874,95.680324483,1559081.69712915,1500,22.5,0.822686010011029
"result.2019",2,14,7,144.14691375,117.23948985,92.2540248,1559066.3237114,1499,23,0.82258742140527
"result.3059",2,15,11,142.570019925,116.590594072,93.779390884,1558831.35601832,1490,22.5,0.821080590742083
"result.1713",0,11,6,144.409542998,116.56375668,92.603428918,1558786.00256833,1500,23.5,0.820789742378094
"result.2963",2,9,11,144.14691375,114.0362251,94.8166366,1558593.01881653,1498,23,0.819552151665615
"result.2738",1,11,10,143.5062608,115.317531,94.17598365,1558498.35783756,1495,23,0.818945097717684
"result.3697",0,7,14,142.86560785,112.7549192,96.73859545,1558342.69311658,1492,23,0.817946831225531
"result.4055",6,13,15,143.48387277,114.03521766,95.23820376,1558307.93394696,1495,22,0.817723923208178
"result.2550",5,15,9,144.470953524,116.590594072,92.512101818,1558269.61498912,1500,22.5,0.817478186528835
"result.3830",5,15,14,142.85730564,115.28835192,94.61163663,1558233.15550586,1491,22,0.817244374524258
"result.2513",0,13,9,142.86560785,116.5988369,93.5353307,1558108.14424645,1491,23,0.816442686443436
"result.2657",0,6,10,144.409542998,113.32587455,95.193734622,1557877.61911695,1499,23.5,0.814964345616209
"result.3922",1,5,15,143.5062608,111.4736133,97.3792484,1557791.55586121,1495,23,0.8144124282398
"result.3778",1,12,14,141.936375392,114.689660473,95.680324483,1557545.0504732,1486,22.5,0.812831607181314
"result.3269",4,12,12,143.837308991,114.689660473,94.413035417,1557499.00195586,1496,22.5,0.812536301401152
"result.3494",5,10,13,144.470953524,113.422371407,95.04667995,1557457.53284909,1500,22.5,0.812270363046642
"result.4003",2,10,15,142.570019925,113.422371407,96.313969016,1557457.53284909,1490,22.5,0.812270363046642
"result.3553",0,14,13,141.302730859,115.956949539,95.04667995,1557343.04758498,1483,22.5,0.811536177405355
"result.3044",3,14,11,143.203664458,115.956949539,93.779390884,1557249.93290351,1493,22.5,0.810939039750442
"result.3457",0,8,13,142.86560785,113.39557215,96.0979425,1556818.12546076,1491,23,0.808169890141909
"result.2723",2,10,10,144.14691375,114.67687805,94.17598365,1556758.9623489,1498,23,0.807790481424453
"result.1779",2,15,6,144.14691375,117.8801428,91.61337185,1556699.79923704,1497,23,0.807411072706996
"result.3815",6,14,14,143.48387277,114.66178479,94.61163663,1556561.7097584,1494,22,0.806525514960962
"result.4040",7,12,15,144.1104399,113.40865053,95.23820376,1556513.25136071,1497,22,0.806214754794079
"result.2498",1,12,9,143.5062608,115.95818395,93.5353307,1556495.75223792,1494,23,0.806102534197011
"result.1473",0,12,5,144.409542998,117.211333106,91.955852492,1556484.7644915,1499,23.5,0.806032070581318
"result.3682",1,6,14,143.5062608,112.11426625,96.73859545,1556436.85207322,1494,23,0.805724811740522
"result.2417",0,7,9,144.409542998,113.973450976,94.546158196,1556121.41111094,1499,23.5,0.803701911876564
"result.2273",0,14,8,142.86560785,117.23948985,92.89467775,1555938.56719779,1490,23,0.802529347209051
"result.3763",2,11,14,142.570019925,114.05601594,95.680324483,1555854.73915165,1489,22.5,0.801991764068628
"result.3538",1,13,13,141.936375392,115.323305006,95.04667995,1555778.41564225,1486,22.5,0.801502306974438
"result.3907",2,4,15,144.14691375,110.83296035,97.3792484,1555753.18944729,1497,23,0.801340533227687
"result.3254",5,11,12,144.470953524,114.05601594,94.413035417,1555717.35683473,1499,22.5,0.801110741299085
"result.3988",3,9,15,143.203664458,112.788726874,96.313969016,1555640.01567854,1492,22.5,0.800614758110303
"result.3841",0,0,15,144.409542998,109.440415994,98.431616752,1555636.93993687,1498,23.5,0.800595033603558
"result.3029",4,13,11,143.837308991,115.323305006,93.779390884,1555593.2039261,1495,22.5,0.8003145577592
"result.3313",0,15,12,141.302730859,116.590594072,94.413035417,1555414.09809071,1482,22.5,0.799165965111499
"result.2804",3,15,10,143.203664458,116.590594072,93.145746351,1555180.03932854,1492,22.5,0.797664963355979
"result.3217",0,9,12,142.86560785,114.0362251,95.45728955,1555176.28336988,1490,23,0.797640876667242
"result.1764",3,14,6,144.7875667,117.23948985,91.61337185,1555120.53857115,1500,23,0.797283389342348
"result.3442",1,7,13,143.5062608,112.7549192,96.0979425,1554964.34795584,1493,23,0.796281750328262
"result.2708",3,9,10,144.7875667,114.0362251,94.17598365,1554942.26039408,1500,23,0.796140104407078
"result.3800",7,13,14,144.1104399,114.03521766,94.61163663,1554815.97753326,1496,22,0.795330261639298
"result.2483",2,11,9,144.14691375,115.317531,93.5353307,1554806.57965755,1497,23,0.795269993748378
"result.4084",3,15,15,141.60417138,115.28835192,95.23820376,1554793.34721556,1483,22,0.795185135063901
"result.3575",6,15,13,143.48387277,115.28835192,93.9850695,1554702.82594477,1493,22,0.794604628762313
"result.4025",8,11,15,144.73700703,112.7820834,95.23820376,1554643.79033338,1500,22,0.794226037696059
