"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,109.85170139,102.7390013,123.28680156,1391421.51122528,1236,40,1
"result.3840",15,15,14,109.85170139,102.7390013,122.49650155,1382502.14256358,1232,40,0.977643332590999
"result.4095",14,15,15,109.06140138,102.7390013,123.28680156,1381411.28452582,1227,40,0.974909063915077
"result.4080",15,14,15,109.85170139,101.94870129,123.28680156,1380718.26883124,1231,40,0.973171999109198
"result.3584",15,15,13,109.85170139,102.7390013,121.70620154,1373582.77390188,1228,40,0.955286665181996
"result.3839",14,15,14,109.06140138,102.7390013,122.49650155,1372556.08398399,1223,40,0.952713235839953
"result.3824",15,14,14,109.85170139,101.94870129,122.49650155,1371867.51069771,1227,40,0.950987306064881
"result.4094",13,15,15,108.27110137,102.7390013,123.28680156,1371401.05782635,1218,40,0.949818127830154
"result.4079",14,14,15,109.06140138,101.94870129,123.28680156,1370785.04387562,1222,40,0.948274070224928
"result.4064",15,13,15,109.85170139,101.15840128,123.28680156,1370015.0264372,1226,40,0.946343998218395
"result.3328",15,15,12,109.85170139,102.7390013,120.91590153,1364663.40524018,1224,40,0.932929997772994
"result.3583",14,15,13,109.06140138,102.7390013,121.70620154,1363700.88344215,1219,40,0.930517407764828
"result.3568",15,14,13,109.85170139,101.94870129,121.70620154,1363016.75256417,1223,40,0.928802613020563
"result.3838",13,15,14,108.27110137,102.7390013,122.49650155,1362610.02540439,1214,40,0.927783139088907
"result.3823",14,14,14,109.06140138,101.94870129,122.49650155,1361997.96026103,1218,40,0.926248979288843
"result.4093",12,15,15,107.48080136,102.7390013,123.28680156,1361390.83112689,1209,40,0.924727191745231
"result.3808",15,13,14,109.85170139,101.15840128,122.49650155,1361232.87883183,1222,40,0.924331279538763
"result.4078",13,14,15,108.27110137,101.94870129,123.28680156,1360851.81892,1213,40,0.923376141340658
"result.4063",14,13,15,109.06140138,101.15840128,123.28680156,1360158.80322542,1217,40,0.921639076534779
"result.4048",15,12,15,109.85170139,100.36810127,123.28680156,1359311.78404316,1221,40,0.919515997327593
"result.3072",15,15,11,109.85170139,102.7390013,120.12560152,1355744.03657848,1220,40,0.910573330363992
"result.3327",14,15,12,109.06140138,102.7390013,120.91590153,1354845.68290032,1215,40,0.908321579689704
"result.3312",15,14,12,109.85170139,101.94870129,120.91590153,1354165.99443064,1219,40,0.906617919976245
"result.3582",13,15,13,108.27110137,102.7390013,121.70620154,1353818.99298243,1210,40,0.905748150347661
"result.3567",14,14,13,109.06140138,101.94870129,121.70620154,1353210.87664644,1214,40,0.904223888352758
"result.3837",12,15,14,107.48080136,102.7390013,122.49650155,1352663.9668248,1205,40,0.902853042337862
"result.3552",15,13,13,109.85170139,101.15840128,121.70620154,1352450.73122646,1218,40,0.90231856085913
"result.3822",13,14,14,108.27110137,101.94870129,122.49650155,1352128.40982436,1209,40,0.901510652512806
"result.3807",14,13,14,109.06140138,101.15840128,122.49650155,1351439.83653808,1214,40,0.899784722737733
"result.4092",11,15,15,106.69050135,102.7390013,123.28680156,1351380.60442743,1200,40,0.899636255660308
"result.4077",12,14,15,107.48080136,101.94870129,123.28680156,1350918.59396438,1204,40,0.898478212456388
"result.3792",15,12,14,109.85170139,100.36810127,122.49650155,1350598.24696596,1218,40,0.897675253012645
"result.4062",13,13,15,108.27110137,101.15840128,123.28680156,1350302.58001364,1209,40,0.896934154851162
"result.4047",14,12,15,109.06140138,100.36810127,123.28680156,1349532.56257522,1213,40,0.895004082844629
"result.4032",15,11,15,109.85170139,99.57780126,123.28680156,1348608.54164912,1217,40,0.892687996436791
"result.2816",15,15,10,109.85170139,102.7390013,119.33530151,1346824.66791678,1216,40,0.88821666295499
"result.3071",14,15,11,109.06140138,102.7390013,120.12560152,1345990.48235849,1211,40,0.88612575161458
"result.3056",15,14,11,109.85170139,101.94870129,120.12560152,1345315.2362971,1215,40,0.884433226931928
"result.3326",13,15,12,108.27110137,102.7390013,120.91590153,1345027.96056046,1206,40,0.883713161606414
"result.3311",14,14,12,109.06140138,101.94870129,120.91590153,1344423.79303186,1210,40,0.882198797416673
"result.3581",12,15,13,107.48080136,102.7390013,121.70620154,1343937.1025227,1201,40,0.880978892930493
"result.3296",15,13,12,109.85170139,101.15840128,120.91590153,1343668.5836211,1214,40,0.880305842179497
"result.3566",13,14,13,108.27110137,101.94870129,121.70620154,1343405.00072872,1206,40,0.879645163684953
"result.3551",14,13,13,109.06140138,101.15840128,121.70620154,1342720.86985073,1210,40,0.877930368940687
"result.3836",11,15,14,106.69050135,102.7390013,122.49650155,1342717.9082452,1196,40,0.877922945586816
"result.3821",12,14,14,107.48080136,101.94870129,122.49650155,1342258.85938768,1201,40,0.876772325736768
"result.3536",15,12,13,109.85170139,100.36810127,121.70620154,1341884.70988876,1214,40,0.875834508697696
"result.3806",13,13,14,108.27110137,101.15840128,122.49650155,1341646.79424432,1205,40,0.875238165936704
"result.4091",10,15,15,105.90020134,102.7390013,123.28680156,1341370.37772797,1191,40,0.874545319575384
"result.4076",11,14,15,106.69050135,101.94870129,123.28680156,1340985.36900876,1196,40,0.873580283572118
"result.3791",14,12,14,109.06140138,100.36810127,122.49650155,1340881.71281512,1209,40,0.873320466186624
"result.4061",12,13,15,107.48080136,101.15840128,123.28680156,1340446.35680186,1200,40,0.872229233167545
"result.3776",15,11,14,109.85170139,99.57780126,122.49650155,1339963.61510008,1213,40,0.871019226486527
"result.4046",13,12,15,108.27110137,100.36810127,123.28680156,1339753.34110728,1204,40,0.870492168361666
"result.4031",14,11,15,109.06140138,99.57780126,123.28680156,1338906.32192502,1208,40,0.86836908915448
"result.2560",15,15,9,109.85170139,102.7390013,118.5450015,1337905.29925508,1212,40,0.865859995545988
"result.4016",15,10,15,109.85170139,98.78750125,123.28680156,1337905.29925508,1212,40,0.865859995545988
