"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,136.72190173,77.44940098,99.57780126,1054432.26411728,1200,40,1
"result.4095",14,15,15,135.93160172,77.44940098,99.57780126,1048337.27993163,1193,40,0.981855851884505
"result.3840",15,15,14,136.72190173,77.44940098,98.78750125,1046063.7540846,1195,40,0.975087796635075
"result.4080",15,14,15,136.72190173,76.65910097,99.57780126,1043672.75121813,1194,40,0.967970024245096
"result.4094",13,15,15,135.14130171,77.44940098,99.57780126,1042242.29574598,1186,40,0.96371170376901
"result.3839",14,15,14,135.93160172,77.44940098,98.78750125,1040017.14278932,1188,40,0.9570876496951
"result.3584",15,15,13,136.72190173,77.44940098,97.99720124,1037695.24405193,1191,40,0.950175593270149
"result.4079",14,14,15,135.93160172,76.65910097,99.57780126,1037639.96074866,1187,40,0.950011020498126
"result.4093",12,15,15,134.3510017,77.44940098,99.57780126,1036147.31156033,1179,40,0.945567555653516
"result.3824",15,14,14,136.72190173,76.65910097,98.78750125,1035389.63414497,1189,40,0.943312027036955
"result.3838",13,15,14,135.14130171,77.44940098,98.78750125,1033970.53149403,1182,40,0.939087502755125
"result.4064",15,13,15,136.72190173,75.86880096,99.57780126,1032913.23831897,1188,40,0.935940048490192
"result.3583",14,15,13,135.93160172,77.44940098,97.99720124,1031697.005647,1184,40,0.932319447505694
"result.4078",13,14,15,135.14130171,76.65910097,99.57780126,1031607.17027919,1180,40,0.932052016751157
"result.4092",11,15,15,133.56070169,77.44940098,99.57780126,1030052.32737469,1172,40,0.927423407538021
"result.3823",14,14,14,135.93160172,76.65910097,98.78750125,1029404.72296494,1182,40,0.925495555065756
"result.3328",15,15,12,136.72190173,77.44940098,97.20690123,1029326.73401925,1186,40,0.925263389905224
"result.3837",12,15,14,134.3510017,77.44940098,98.78750125,1027923.92019874,1175,40,0.92108735581515
"result.3568",15,14,13,136.72190173,76.65910097,97.99720124,1027106.51707181,1185,40,0.918654029828815
"result.4063",14,13,15,135.93160172,75.86880096,99.57780126,1026942.64156568,1181,40,0.918166189111748
"result.3582",13,15,13,135.14130171,77.44940098,97.99720124,1025698.76724208,1177,40,0.914463301741239
"result.4077",12,14,15,134.3510017,76.65910097,99.57780126,1025574.37980972,1173,40,0.914093013004188
"result.3808",15,13,14,136.72190173,75.86880096,98.78750125,1024715.51420533,1183,40,0.911536257438836
"result.4091",10,15,15,132.77040168,77.44940098,99.57780126,1023957.34318904,1165,40,0.909279259422526
"result.3822",13,14,14,135.14130171,76.65910097,98.78750125,1023419.81178491,1176,40,0.907679083094556
"result.3327",14,15,12,135.93160172,77.44940098,97.20690123,1023376.86850469,1179,40,0.907551245316289
"result.4048",15,12,15,136.72190173,75.07850095,99.57780126,1022153.72541981,1182,40,0.903910072735288
"result.3836",11,15,14,133.56070169,77.44940098,98.78750125,1021877.30890346,1168,40,0.903087208875175
