"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4033",0,12,15,142.66696734,99.47421576,111.2540571,1578882.49895816,1500,24,1
"result.4083",2,15,15,142.46681372,100.37434603,110.08799242,1574259.75116613,1497,23.5,0.969704280202095
"result.3057",0,15,11,142.66696734,101.43752265,108.63631458,1572161.24993009,1497,24,0.955951506245407
"result.3828",3,15,14,143.114390146,100.37434603,109.440415994,1572113.03332363,1499,23.5,0.955635513060266
"result.3297",0,14,12,142.66696734,100.78308702,109.29075021,1571428.02276339,1497,24,0.951146216017634
"result.4068",3,14,15,143.114390146,99.726769604,110.08799242,1571212.79680903,1499,23.5,0.949735707484661
"result.3537",0,13,13,142.66696734,100.12865139,109.94518584,1570572.59106891,1496,24,0.945540044085231
"result.2802",1,15,10,143.32140297,101.43752265,107.98187895,1569858.70360959,1499,24,0.94086149889787
"result.3777",0,12,14,142.66696734,99.47421576,110.59962147,1569594.95484664,1496,24,0.939132990448199
"result.3042",1,14,11,143.32140297,100.78308702,108.63631458,1569183.49556502,1499,24,0.936436443791331
"result.4017",0,11,15,142.66696734,98.81978013,111.2540571,1568495.11409659,1495,24,0.931925055106539
"result.3282",1,13,12,143.32140297,100.12865139,109.29075021,1568385.52242145,1499,24,0.931206833210875
"result.3522",1,12,13,143.32140297,99.47421576,109.94518584,1567464.78417886,1498,24,0.925172667156503
"result.4082",1,15,15,141.819237294,100.37434603,110.08799242,1567104.02502446,1490,23.5,0.922808389729331
"result.3762",1,11,14,143.32140297,98.81978013,110.59962147,1566421.28083726,1498,24,0.918333945628215
"result.4002",1,10,15,143.32140297,98.1653445,111.2540571,1565255.01239665,1497,24,0.91069066862601
"result.3827",2,15,14,142.46681372,100.37434603,109.440415994,1564999.39968868,1493,23.5,0.909015480766754
"result.3507",2,11,13,143.9758386,98.81978013,109.94518584,1564262.80132245,1500,24,0.904188096987509
"result.4067",2,14,15,142.46681372,99.726769604,110.08799242,1564103.23664247,1492,23.5,0.903142371143978
"result.3747",2,10,14,143.9758386,98.1653445,110.59962147,1563152.87029029,1500,24,0.896914033798678
"result.1521",0,15,5,144.144827708,102.48829493,105.79436896,1562916.88740137,1500,24.5,0.895367492260746
"result.3572",3,15,13,143.114390146,100.37434603,108.792839568,1562810.58933946,1495,23.5,0.894670855445672
"result.2801",0,15,10,142.66696734,101.43752265,107.98187895,1562690.39902689,1493,24,0.893883174136664
"result.1761",0,14,6,144.144827708,101.827080124,106.455583766,1562538.76234797,1500,24.5,0.892889405377826
"result.2001",0,13,7,144.144827708,101.165865318,107.116798572,1562034.5956101,1500,24.5,0.889585289533934
"result.3041",0,14,11,142.66696734,100.78308702,108.63631458,1562018.27412409,1492,24,0.889478324761206
"result.3812",3,14,14,143.114390146,99.726769604,109.440415994,1561970.36859251,1495,23.5,0.889164370241775
"result.3987",2,9,15,143.9758386,97.51090887,111.2540571,1561919.61358789,1499,24,0.888831741366643
"result.2241",0,12,8,144.144827708,100.504650512,107.778013378,1561404.38718776,1500,24.5,0.885455144729068
"result.3281",0,13,12,142.66696734,100.12865139,109.29075021,1561223.9446935,1492,24,0.884272593681118
"result.4052",3,13,15,143.114390146,99.079193178,110.08799242,1561010.11631027,1494,23.5,0.882871244294462
"result.2481",0,11,9,144.144827708,99.843435706,108.439228184,1560648.13708095,1499,24.5,0.88049897096323
"result.3317",4,15,12,143.761966572,100.37434603,108.145263142,1560537.59397682,1497,23.5,0.879774513766089
"result.2546",1,15,9,143.32140297,101.43752265,107.32744332,1560344.40843619,1495,24,0.878508449669361
"result.3521",0,12,13,142.66696734,99.47421576,109.94518584,1560307.41073512,1491,24,0.8782659808964
"result.4081",0,15,15,141.171660868,100.37434603,110.08799242,1559948.2988828,1483,23.5,0.875912499256566
"result.2721",0,10,10,144.144827708,99.1822209,109.10044299,1559765.84528968,1499,24.5,0.874716768236417
"result.3557",4,14,13,143.761966572,99.726769604,108.792839568,1559753.85865823,1497,23.5,0.874638212441443
"result.2786",1,14,10,143.32140297,100.78308702,107.98187895,1559730.58294114,1495,24,0.87448567229978
"result.3761",0,11,14,142.66696734,98.81978013,110.59962147,1559268.67224896,1491,24,0.871458486407053
"result.3026",1,13,11,143.32140297,100.12865139,108.63631458,1558993.99234707,1494,24,0.869658339456282
"result.4088",7,15,15,144.14691375,99.30120725,108.9110015,1558947.99748769,1499,23,0.869356906751183
"result.3797",4,13,14,143.761966572,99.079193178,109.440415994,1558849.54867524,1497,23.5,0.868711710913007
"result.2961",0,9,11,144.144827708,98.521006094,109.761657796,1558757.51181394,1498,24.5,0.868108536548632
"result.3062",5,15,11,144.409542998,100.37434603,107.497686716,1558180.41360074,1500,23.5,0.864326455728002
"result.3266",1,12,12,143.32140297,99.47421576,109.29075021,1558134.63665399,1494,24,0.864026451138868
"result.4001",0,10,15,142.66696734,98.1653445,111.2540571,1558107.72923503,1490,24,0.863850110213079
"result.2291",2,15,8,143.9758386,101.43752265,106.67300769,1557911.5293051,1497,24,0.862564290962528
"result.3826",1,15,14,141.819237294,100.37434603,109.440415994,1557885.76605373,1486,23.5,0.86239544847324
"result.4037",4,12,15,143.761966572,98.431616752,110.08799242,1557824.66402785,1496,23.5,0.861995009180779
"result.3201",0,8,12,144.144827708,97.859791288,110.422872602,1557623.13665372,1498,24.5,0.860674275899874
"result.3302",5,14,12,144.409542998,99.726769604,108.145263142,1557453.70683963,1499,23.5,0.859563897742987
"result.2531",2,14,9,143.9758386,100.78308702,107.32744332,1557356.56378902,1497,24,0.858927259368112
"result.3506",1,11,13,143.32140297,98.81978013,109.94518584,1557152.51586189,1493,24,0.857590007347538
"result.4066",1,14,15,141.819237294,99.726769604,110.08799242,1556993.67647592,1485,23.5,0.856549034803297
"result.2771",2,13,10,143.9758386,100.12865139,107.98187895,1556678.2726027,1497,24,0.854481998530493
