"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,79.030001,107.48080136,140.67340178,1194909.11213307,971,40,1
"result.3840",15,15,14,79.030001,107.48080136,139.88310177,1188196.139593,969,40,0.981728902592212
"result.4080",15,14,15,79.030001,106.69050135,140.67340178,1186123.01572033,968,40,0.976086357804513
"result.4095",14,15,15,78.23970099,107.48080136,140.67340178,1182960.02101174,962,40,0.967477446614137
"result.3584",15,15,13,79.030001,107.48080136,139.09280176,1181483.16705292,966,40,0.963457805184424
"result.3824",15,14,14,79.030001,106.69050135,139.88310177,1179459.40327246,965,40,0.957949606701194
"result.4064",15,13,15,79.030001,105.90020134,140.67340178,1177336.91930758,964,40,0.952172715609025
"result.3839",14,15,14,78.23970099,107.48080136,139.88310177,1176314.17819707,959,40,0.949389060180427
"result.3328",15,15,12,79.030001,107.48080136,138.30250175,1174770.19451285,963,40,0.945186707776636
"result.4079",14,14,15,78.23970099,106.69050135,140.67340178,1174261.78556312,958,40,0.943802940840605
"result.3568",15,14,13,79.030001,106.69050135,139.09280176,1172795.79082459,962,40,0.939812855597875
"result.4094",13,15,15,77.44940098,107.48080136,140.67340178,1171010.92989041,952,40,0.934954893228274
"result.3808",15,13,14,79.030001,105.90020134,139.88310177,1170722.66695192,961,40,0.934170310810175
"result.3583",14,15,13,78.23970099,107.48080136,139.09280176,1169668.33538239,956,40,0.931300673746717
"result.4048",15,12,15,79.030001,105.10990133,140.67340178,1168550.82289484,960,40,0.928259073413538
"result.3072",15,15,11,79.030001,107.48080136,137.51220174,1168057.22197278,960,40,0.926915610368848
"result.3823",14,14,14,78.23970099,106.69050135,139.88310177,1167664.80923974,955,40,0.925847557248319
"result.3312",15,14,12,79.030001,106.69050135,138.30250175,1166132.17837673,959,40,0.921676104494556
"result.4063",14,13,15,78.23970099,105.90020134,140.67340178,1165563.55011451,954,40,0.920128435067073
"result.3838",13,15,14,77.44940098,107.48080136,139.88310177,1164432.21680114,949,40,0.917049217768642
"result.3552",15,13,13,79.030001,105.90020134,139.09280176,1164108.41459626,959,40,0.916167906011325
"result.3327",14,15,12,78.23970099,107.48080136,138.30250175,1163022.49256772,953,40,0.913212287313007
"result.4078",13,14,15,77.44940098,106.69050135,140.67340178,1162400.55540592,948,40,0.911519523876697
"result.3792",15,12,14,79.030001,105.10990133,139.88310177,1161985.93063139,958,40,0.910391014919157
"result.2816",15,15,10,79.030001,107.48080136,136.72190173,1161344.2494327,958,40,0.90864451296106
"result.3567",14,14,13,78.23970099,106.69050135,139.09280176,1161067.83291635,953,40,0.907892173656033
"result.4032",15,11,15,79.030001,104.31960132,140.67340178,1159764.7264821,957,40,0.904345431218051
"result.3056",15,14,11,79.030001,106.69050135,137.51220174,1159468.56592886,957,40,0.903539353391237
"result.4093",12,15,15,76.65910097,107.48080136,140.67340178,1159061.83876908,942,40,0.902432339842412
"result.3807",14,13,14,78.23970099,105.90020134,139.88310177,1159015.4402824,952,40,0.902306054316211
"result.3582",13,15,13,77.44940098,107.48080136,139.09280176,1157853.50371187,946,40,0.89914354230901
"result.3296",15,13,12,79.030001,105.90020134,138.30250175,1157494.1622406,956,40,0.898165501212476
"result.4047",14,12,15,78.23970099,105.10990133,140.67340178,1156865.31466589,951,40,0.89645392929354
"result.3071",14,15,11,78.23970099,107.48080136,137.51220174,1156376.64975305,951,40,0.895123900879296
"result.3822",13,14,14,77.44940098,106.69050135,139.88310177,1155870.21520701,946,40,0.893745507795444
"result.3536",15,12,13,79.030001,105.10990133,139.09280176,1155421.03836793,955,40,0.892522956424776
"result.2560",15,15,9,79.030001,107.48080136,135.93160172,1154631.27689263,955,40,0.890373415553271
"result.3311",14,14,12,78.23970099,106.69050135,138.30250175,1154470.85659296,950,40,0.889936790063747
"result.4062",13,13,15,77.44940098,105.90020134,140.67340178,1153790.18092143,945,40,0.888084154525119
"result.3776",15,11,14,79.030001,104.31960132,139.88310177,1153249.19431085,954,40,0.886611719028139
"result.2800",15,14,10,79.030001,106.69050135,136.72190173,1152804.95348099,954,40,0.885402602287918
"result.3837",12,15,14,76.65910097,107.48080136,139.88310177,1152550.25540521,939,40,0.884709375356857
"result.3551",14,13,13,78.23970099,105.90020134,139.09280176,1152467.3304503,949,40,0.884483673565349
"result.3326",13,15,12,77.44940098,107.48080136,138.30250175,1151274.79062259,944,40,0.881237866849378
"result.4016",15,10,15,79.030001,103.52930131,140.67340178,1150978.63006936,953,40,0.880431789022564
"result.3040",15,13,11,79.030001,105.90020134,137.51220174,1150879.90988494,953,40,0.880163096413626
