"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,100.854445728,139.309737984,158.900169888,2232548.40529999,1500,29.5,1
"result.3553",0,14,13,100.854445728,138.584166432,159.62574144,2231061.73874395,1500,29.5,0.993533750860466
"result.3793",0,13,14,100.854445728,137.85859488,160.351312992,2229468.88171962,1499,29.5,0.986605626782394
"result.4033",0,12,15,100.854445728,137.133023328,161.076884544,2227769.834227,1498,29.5,0.979215627765784
"result.3057",0,15,11,100.854445728,139.309737984,158.174598336,2222354.12034428,1497,29.5,0.955660005900336
"result.4082",1,15,15,100.7158726,138.12462528,159.70659798,2221733.13012829,1495,29,0.952959011899038
"result.3297",0,14,12,100.854445728,138.584166432,158.900169888,2220920.54902238,1496,29.5,0.949424694230072
"result.3537",0,13,13,100.854445728,137.85859488,159.62574144,2219380.7872322,1496,29.5,0.94272750762127
"result.2546",1,15,9,101.58001728,139.309737984,156.723455232,2217807.02921296,1500,29.5,0.935882454575308
"result.3777",0,12,14,100.854445728,137.133023328,160.351312992,2217734.83497372,1495,29.5,0.935568446073928
"result.3571",2,15,13,101.43527169,138.12462528,158.2677998,2217444.07003152,1499,29,0.934303765335861
"result.2786",1,14,10,101.58001728,138.584166432,157.449026784,2216470.0988568,1500,29.5,0.930067482327525
"result.4017",0,11,15,100.854445728,136.407451776,161.076884544,2215982.69224696,1494,29.5,0.927947509588048
"result.3811",2,14,14,101.43527169,137.40522619,158.98719889,2215921.67708571,1499,29,0.92768212443336
"result.3026",1,13,11,101.58001728,137.85859488,158.174598336,2215026.21407216,1500,29.5,0.923787312299919
"result.4051",2,13,15,101.43527169,136.6858271,159.70659798,2214294.29152295,1498,29,0.92060381864103
"result.3697",0,7,14,101.7063,134.6328,161.7057,2214236.78829418,1500,30,0.920353708620044
"result.2001",0,13,7,101.7063,139.023,156.5838,2214018.98022923,1500,30,0.919406353473827
"result.3266",1,12,12,101.58001728,137.133023328,158.900169888,2213475.37485903,1499,29.5,0.917041944492493
"result.2241",0,12,8,101.7063,138.2913,157.3155,2212657.67982329,1500,30,0.913485383809968
"result.3937",0,6,15,101.7063,133.9011,162.4374,2212167.61167715,1499,30,0.911353834730979
"result.2801",0,15,10,100.854445728,139.309737984,157.449026784,2212159.83538857,1493,29.5,0.911320011800675
"result.3506",1,11,13,101.58001728,136.407451776,159.62574144,2211817.5812174,1498,29.5,0.909831378905242
"result.3826",1,15,14,100.7158726,138.12462528,158.98719889,2211725.32323582,1492,29,0.909430103251628
"result.2481",0,11,9,101.7063,137.5596,158.0472,2211187.47538487,1499,30,0.907090736573
"result.3041",0,14,11,100.854445728,138.584166432,158.174598336,2210779.35930082,1493,29.5,0.905315637599678
"result.4066",1,14,15,100.7158726,137.40522619,159.70659798,2210161.60340887,1491,29,0.902628711275468
"result.3746",1,10,14,101.58001728,135.681880224,160.351312992,2210052.83314728,1498,29.5,0.902155615538169
"result.2721",0,10,10,101.7063,136.8279,158.7789,2209608.36691397,1499,30,0.900222411762924
"result.3281",0,13,12,100.854445728,137.85859488,158.900169888,2209292.69274478,1492,29.5,0.898849388460144
"result.3986",1,9,15,101.58001728,134.956308672,161.076884544,2208181.13064866,1497,29.5,0.894014654391273
"result.2961",0,9,11,101.7063,136.0962,159.5106,2207920.3544106,1498,30,0.892880409379739
"result.3521",0,12,13,100.854445728,137.133023328,159.62574144,2207699.83572045,1492,29.5,0.891921264382072
"result.2290",1,15,8,101.58001728,139.309737984,155.99788368,2207539.40407771,1497,29.5,0.891223467712338
"result.3315",2,15,12,101.43527169,138.12462528,157.54840071,2207364.7788041,1496,29,0.890463935912399
"result.2530",1,14,9,101.58001728,138.584166432,156.723455232,2206255.95093581,1497,29.5,0.885641094354466
"result.3201",0,8,12,101.7063,135.3645,160.2423,2206123.43787475,1497,30,0.885064729423445
