"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,114.91557466,113.101118218,149.995065872,1949497.86995019,1496,20.5,1
"result.4066",1,14,15,115.520393474,112.496299404,149.995065872,1949278.39369126,1500,20.5,0.998890985295521
"result.3570",1,15,13,115.520393474,113.101118218,148.785428244,1943953.88194991,1498,20.5,0.971986199128199
"result.3825",0,15,14,114.91557466,113.101118218,149.390247058,1941636.99144233,1493,20.5,0.960278939062371
"result.3810",1,14,14,115.520393474,112.496299404,149.390247058,1941418.40016831,1497,20.5,0.959174396191379
"result.4065",0,14,15,114.91557466,112.496299404,149.995065872,1939072.74765099,1492,20.5,0.947321801537262
"result.4050",1,13,15,115.520393474,111.89148059,149.995065872,1938798.40232733,1496,20.5,0.945935533156665
"result.4035",2,12,15,116.125212288,111.286661776,149.995065872,1938414.3188742,1500,20.5,0.943994757423826
"result.3059",2,15,11,116.125212288,113.101118218,147.575790616,1938244.40177051,1500,20.5,0.943136165394553
"result.3314",1,15,12,115.520393474,113.101118218,148.18060943,1936051.63039727,1495,20.5,0.932056079975108
"result.3299",2,14,12,116.125212288,112.496299404,148.18060943,1935780.60376703,1499,20.5,0.930686580970082
"result.2977",0,10,11,116.3098851,111.41262678,149.36637876,1935547.76189483,1500,21,0.929510029750603
"result.2001",0,13,7,116.3098851,113.24909865,146.9177496,1935199.07737638,1500,21,0.927748125023115
"result.3953",0,7,15,116.3098851,109.57615491,151.81500792,1934850.39285794,1500,21,0.925986220295628
"result.3569",0,15,13,114.91557466,113.101118218,148.785428244,1933776.11293446,1490,20.5,0.920557878124742
"result.3554",1,14,13,115.520393474,112.496299404,148.785428244,1933558.40664536,1494,20.5,0.919457807087235
"result.3539",2,13,13,116.125212288,111.89148059,148.785428244,1933231.84721171,1498,20.5,0.917807700530975
"result.3217",0,9,12,116.3098851,110.80046949,149.97853605,1932801.87131207,1499,21,0.91563503002164
"result.2241",0,12,8,116.3098851,112.63694136,147.52990689,1932758.28574726,1499,21,0.915414791930703
"result.1265",0,15,4,116.3098851,114.47341323,145.08127773,1931668.64662712,1498,21,0.909908839657305
"result.3809",0,14,14,114.91557466,112.496299404,149.390247058,1931253.90592659,1489,20.5,0.90781315269021
"result.3794",1,13,14,115.520393474,111.89148059,149.390247058,1930980.66683407,1493,20.5,0.906432474101468
"result.3779",2,12,14,116.125212288,111.286661776,149.390247058,1930598.13210455,1497,20.5,0.90449952407723
"result.2803",2,15,10,116.125212288,113.101118218,146.970971802,1930300.77717309,1497,20.5,0.902996988026001
"result.2481",0,11,9,116.3098851,112.02478407,148.14206418,1930230.32298853,1498,21,0.90264098265642
"result.2788",3,14,10,116.730031102,112.496299404,146.970971802,1929978.20017156,1500,20.5,0.901367004720428
"result.3457",0,8,13,116.3098851,110.1883122,150.59069334,1929968.80959969,1498,21,0.901319554110804
"result.1505",0,14,5,116.3098851,113.86125594,145.69343502,1929445.78282202,1498,21,0.898676697019573
