"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,117.857883138,171.717668443,94.413035417,1910757.53139891,1500,22.5,1
"result.3537",0,13,13,117.857883138,170.450379377,95.04667995,1909385.23469987,1500,22.5,0.992595923406237
"result.3761",0,11,14,117.857883138,169.183090311,95.680324483,1907823.65569752,1499,22.5,0.984170594868505
"result.3985",0,9,15,117.857883138,167.915801245,96.313969016,1906072.79439184,1498,22.5,0.974724014386807
"result.4083",2,15,15,117.79462044,169.79969223,95.23820376,1904906.00841522,1497,22,0.968428748395518
"result.3297",0,14,12,117.857883138,171.08402391,94.413035417,1903706.76560039,1497,22.5,0.961958365087215
"result.3828",3,15,14,118.42118757,169.79969223,94.61163663,1902439.54976771,1500,22,0.955121240803093
"result.3521",0,12,13,117.857883138,169.816734844,95.04667995,1902287.14832552,1497,22.5,0.95429897550746
"result.3042",1,14,11,118.491527671,171.08402391,93.779390884,1901096.50157886,1500,22.5,0.947874971343794
"result.4052",3,13,15,118.42118757,168.54655797,95.23820376,1900905.36181672,1500,22,0.946843697684119
"result.3745",0,10,14,117.857883138,168.549445778,95.680324483,1900678.24874734,1496,22.5,0.945618333983738
"result.3266",1,12,12,118.491527671,169.816734844,94.413035417,1899764.4019281,1500,22.5,0.940687773523078
"result.3969",0,8,15,117.857883138,167.282156712,96.313969016,1898880.06686584,1495,22.5,0.935916440516047
"result.3490",1,10,13,118.491527671,168.549445778,95.04667995,1898242.00232724,1499,22.5,0.932473833156544
"result.3057",0,15,11,117.857883138,171.717668443,93.779390884,1897933.65534926,1495,22.5,0.930810180796211
"result.4067",2,14,15,117.79462044,169.1731251,95.23820376,1897876.83495243,1495,22,0.930503612566144
"result.3281",0,13,12,117.857883138,170.450379377,94.413035417,1896655.99980187,1495,22.5,0.92391673017443
"result.3714",1,8,14,118.491527671,167.282156712,95.680324483,1896529.30277627,1499,22.5,0.923233150244194
"result.3812",3,14,14,118.42118757,169.1731251,94.61163663,1895419.47762834,1498,22,0.917245210167788
"result.2802",1,15,10,118.491527671,171.717668443,93.145746351,1895244.77811304,1498,22.5,0.916302638059932
"result.3505",0,11,13,117.857883138,169.183090311,95.04667995,1895189.06195117,1494,22.5,0.916002027608684
"result.4082",1,15,15,117.16805331,169.79969223,95.23820376,1894773.52964706,1489,22,0.913760068556368
"result.3938",1,6,15,118.491527671,166.014867646,96.313969016,1894626.30327519,1498,22.5,0.912965724786028
"result.3026",1,13,11,118.491527671,170.450379377,93.779390884,1894055.40342486,1498,22.5,0.909885497148578
"result.4036",3,12,15,118.42118757,167.91999084,95.23820376,1893838.79913339,1497,22,0.908716832408845
"result.3729",0,9,14,117.857883138,167.915801245,95.680324483,1893532.84179716,1493,22.5,0.907066073098968
"result.3250",1,11,12,118.491527671,169.183090311,94.413035417,1892675.72878658,1497,22.5,0.902441613691407
"result.3827",2,15,14,117.79462044,169.79969223,94.61163663,1892373.73204407,1493,22,0.900812223331306
"result.3953",0,7,15,117.857883138,166.648512179,96.313969016,1891687.33933983,1493,22.5,0.897108866645287
"result.3781",4,12,14,119.0477547,167.91999084,94.61163663,1891333.72135676,1500,22,0.895200959533483
"result.3474",1,9,13,118.491527671,167.915801245,95.04667995,1891105.75419819,1496,22.5,0.89397098768842
"result.3041",0,14,11,117.857883138,171.08402391,93.779390884,1890930.21012656,1492,22.5,0.893023858869417
"result.4051",2,13,15,117.79462044,168.54655797,95.23820376,1890847.66148965,1492,22,0.892578476736771
"result.3585",0,0,14,119.1614487,164.0071552,96.73859545,1890594.31500813,1500,23,0.891211573533357
"result.3907",2,4,15,119.125172204,164.74757858,96.313969016,1890217.85737215,1500,22.5,0.889180437574917
"result.2995",2,11,11,119.125172204,169.183090311,93.779390884,1890026.53977525,1500,22.5,0.888148204427251
"result.3572",3,15,13,118.42118757,169.79969223,93.9850695,1889840.61235203,1495,22,0.887145053371519
"result.4005",4,10,15,119.0477547,166.66685658,95.23820376,1889651.20643215,1499,22,0.886123134467943
"result.3265",0,12,12,117.857883138,169.816734844,94.413035417,1889605.23400335,1492,22.5,0.885875095261646
"result.3698",1,7,14,118.491527671,166.648512179,95.680324483,1889345.47965969,1496,22.5,0.884473619139615
