"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4085",4,15,15,154.30391115,95.49374124,98.9874147,1458585.27348165,1500,19,1
"result.3057",0,15,11,153.960746337,96.741618388,97.921394222,1458481.5665239,1498,19.5,0.99926842821769
"result.3297",0,14,12,153.960746337,96.151730471,98.511282139,1458320.84639829,1498,19.5,0.998134672958757
"result.3537",0,13,13,153.960746337,95.561842554,99.101170056,1458052.97952227,1498,19.5,0.996245080860536
"result.3777",0,12,14,153.960746337,94.971954637,99.691057973,1457677.96589585,1498,19.5,0.993599651923027
"result.4017",0,11,15,153.960746337,94.38206672,100.28094589,1457195.80551903,1497,19.5,0.99019838614623
"result.2802",1,15,10,154.550634254,96.741618388,97.331506305,1455249.92200591,1499,19.5,0.976471694122374
"result.3042",1,14,11,154.550634254,96.151730471,97.921394222,1455142.36473156,1499,19.5,0.975712961356499
"result.3282",1,13,12,154.550634254,95.561842554,98.511282139,1454927.25018285,1499,19.5,0.974195495824746
"result.3522",1,12,13,154.550634254,94.971954637,99.101170056,1454604.57835979,1499,19.5,0.97191929752712
"result.3762",1,11,14,154.550634254,94.38206672,99.691057973,1454174.34926237,1499,19.5,0.968884366463617
"result.4002",1,10,15,154.550634254,93.792178803,100.28094589,1453636.5628906,1498,19.5,0.965090702634239
"result.4084",3,15,15,153.72163224,95.49374124,98.9874147,1453081.17811002,1494,19,0.961172895742738
"result.2547",2,15,9,155.140522171,96.741618388,96.741618388,1451950.95156047,1500,19.5,0.953200028066739
"result.2787",2,14,10,155.140522171,96.151730471,97.331506305,1451896.96766131,1500,19.5,0.952819213720507
"result.3027",2,13,11,155.140522171,95.561842554,97.921394222,1451735.01596386,1500,19.5,0.951676770681812
"result.3267",2,12,12,155.140522171,94.971954637,98.511282139,1451465.09646811,1500,19.5,0.949772698950656
"result.3507",2,11,13,155.140522171,94.38206672,99.101170056,1451087.20917405,1500,19.5,0.947106998527035
"result.3747",2,10,14,155.140522171,93.792178803,99.691057973,1450601.35408169,1500,19.5,0.943679669410952
"result.3987",2,9,15,155.140522171,93.202290886,100.28094589,1450007.53119104,1499,19.5,0.939490711602407
"result.3829",4,15,14,154.30391115,95.49374124,98.40513579,1450005.36010823,1495,19,0.939475396304856
"result.2801",0,15,10,153.960746337,96.741618388,97.331506305,1449695.53299062,1493,19.5,0.93728980739605
"result.4069",4,14,15,154.30391115,94.91146233,98.9874147,1449691.46083847,1495,19,0.937261081535521
"result.3041",0,14,11,153.960746337,96.151730471,97.921394222,1449588.38624021,1493,19.5,0.936533970556761
"result.3281",0,13,12,153.960746337,95.561842554,98.511282139,1449374.0927394,1493,19.5,0.935022296878185
"result.3521",0,12,13,153.960746337,94.971954637,99.101170056,1449052.65248819,1493,19.5,0.93275478636032
"result.3761",0,11,14,153.960746337,94.38206672,99.691057973,1448624.06548656,1493,19.5,0.929731439003166
