"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,79.030001,195.20410247,99.57780126,1536184.78964827,1101,40,1
"result.4080",15,14,15,79.030001,194.41380246,99.57780126,1529965.41803027,1099,40,0.986353002339485
"result.3840",15,15,14,79.030001,195.20410247,98.78750125,1523992.84687329,1097,40,0.973247552205181
"result.4064",15,13,15,79.030001,193.62350245,99.57780126,1523746.04641226,1097,40,0.972706004678971
"result.4095",14,15,15,78.23970099,195.20410247,99.57780126,1520822.94175179,1090,40,0.966291915778529
"result.3824",15,14,14,79.030001,194.41380246,98.78750125,1517822.83534749,1095,40,0.959708864049909
"result.4048",15,12,15,79.030001,192.83320244,99.57780126,1517526.67479425,1095,40,0.959059007018456
"result.4079",14,14,15,78.23970099,194.41380246,99.57780126,1514665.76384996,1088,40,0.952781388094619
"result.3584",15,15,13,79.030001,195.20410247,97.99720124,1511800.9040983,1093,40,0.946495104410363
"result.3808",15,13,14,79.030001,193.62350245,98.78750125,1511652.82382168,1093,40,0.946170175894636
"result.4032",15,11,15,79.030001,192.04290243,99.57780126,1511307.30317624,1092,40,0.945412009357941
"result.3839",14,15,14,78.23970099,195.20410247,98.78750125,1508752.91840456,1086,40,0.939806992461658
"result.4063",14,13,15,78.23970099,193.62350245,99.57780126,1508508.58594813,1086,40,0.93927086041071
"result.3568",15,14,13,79.030001,194.41380246,97.99720124,1505680.25266471,1090,40,0.933064725760333
"result.3792",15,12,14,79.030001,192.83320244,98.78750125,1505482.81229588,1090,40,0.932631487739364
"result.4094",13,15,15,77.44940098,195.20410247,99.57780126,1505461.09385531,1079,40,0.932583831557057
"result.4016",15,10,15,79.030001,191.25260242,99.57780126,1505087.93155823,1090,40,0.931765011697427
"result.3823",14,14,14,78.23970099,194.41380246,98.78750125,1502644.60699401,1084,40,0.926403691187939
"result.4047",14,12,15,78.23970099,192.83320244,99.57780126,1502351.4080463,1084,40,0.9257603327268
"result.3328",15,15,12,79.030001,195.20410247,97.20690123,1499608.96132332,1088,40,0.919742656615545
"result.3552",15,13,13,79.030001,193.62350245,97.99720124,1499559.60123111,1088,40,0.919634347110303
"result.4078",13,14,15,77.44940098,194.41380246,99.57780126,1499366.10966966,1077,40,0.919209773849753
"result.3776",15,11,14,79.030001,192.04290243,98.78750125,1499312.80077008,1088,40,0.919092799584091
"result.4000",15,9,15,79.030001,190.46230241,99.57780126,1498868.55994022,1088,40,0.918118014036912
"result.3583",14,15,13,78.23970099,195.20410247,97.99720124,1496682.89505732,1082,40,0.913322069144788
"result.3807",14,13,14,78.23970099,193.62350245,98.78750125,1496536.29558347,1082,40,0.913000389914219
"result.4031",14,11,15,78.23970099,192.04290243,99.57780126,1496194.23014448,1081,40,0.91224980504289
"result.3312",15,14,12,79.030001,194.41380246,97.20690123,1493537.66998193,1086,40,0.906420587470756
"result.3838",13,15,14,77.44940098,195.20410247,98.78750125,1493512.98993582,1075,40,0.906366432718135
"result.3536",15,12,13,79.030001,192.83320244,97.99720124,1493438.94979751,1086,40,0.906203968460272
"result.4062",13,13,15,77.44940098,193.62350245,99.57780126,1493271.12548401,1075,40,0.905835716142449
"result.3760",15,10,14,79.030001,191.25260242,98.78750125,1493142.78924427,1086,40,0.905554111428819
"result.3984",15,8,15,79.030001,189.6720024,99.57780126,1492649.18832221,1086,40,0.904471016376397
"result.3567",14,14,13,78.23970099,194.41380246,97.99720124,1490623.45013806,1079,40,0.900025994281258
"result.3791",14,12,14,78.23970099,192.83320244,98.78750125,1490427.98417292,1079,40,0.899597088640499
"result.4093",12,15,15,76.65910097,195.20410247,99.57780126,1490099.24595883,1068,40,0.898875747335586
"result.4015",14,10,15,78.23970099,191.25260242,99.57780126,1490037.05224265,1079,40,0.898739277358981
"result.3296",15,13,12,79.030001,193.62350245,97.20690123,1487466.37864054,1084,40,0.893098518325968
"result.3822",13,14,14,77.44940098,194.41380246,98.78750125,1487466.37864054,1073,40,0.893098518325968
"result.3072",15,15,11,79.030001,195.20410247,96.41660122,1487417.01854833,1084,40,0.892990208820726
"result.3520",15,11,13,79.030001,192.04290243,97.99720124,1487318.29836392,1084,40,0.892773589810242
"result.4046",13,12,15,77.44940098,192.83320244,99.57780126,1487176.14129836,1073,40,0.892461658435144
"result.3744",15,9,14,79.030001,190.46230241,98.78750125,1486972.77771847,1084,40,0.892015423273546
"result.3968",15,7,15,79.030001,188.88170239,99.57780126,1486429.8167042,1083,40,0.890824018715883
"result.3327",14,15,12,78.23970099,195.20410247,97.20690123,1484612.87171008,1077,40,0.886837145827918
"result.3551",14,13,13,78.23970099,193.62350245,97.99720124,1484564.0052188,1077,40,0.886729919417728
"result.3775",14,11,14,78.23970099,192.04290243,98.78750125,1484319.67276238,1077,40,0.886193787366779
"result.4077",12,14,15,76.65910097,194.41380246,99.57780126,1484066.45548936,1066,40,0.885638159604887
"result.3999",14,9,15,78.23970099,190.46230241,99.57780126,1483879.87434082,1077,40,0.885228749675071
"result.3582",13,15,13,77.44940098,195.20410247,97.99720124,1481564.88601634,1071,40,0.880149033879213
"result.3806",13,13,14,77.44940098,193.62350245,98.78750125,1481419.76734525,1071,40,0.879830603933801
"result.3056",15,14,11,79.030001,194.41380246,96.41660122,1481395.08729915,1082,40,0.87977644918118
"result.3280",15,12,12,79.030001,192.83320244,97.20690123,1481395.08729915,1082,40,0.87977644918118
"result.3504",15,10,13,79.030001,191.25260242,97.99720124,1481197.64693032,1081,40,0.879343211160211
"result.4030",13,11,15,77.44940098,192.04290243,99.57780126,1481081.15711271,1071,40,0.87908760072784
"result.3728",15,8,14,79.030001,189.6720024,98.78750125,1480802.76619267,1081,40,0.878476735118274
"result.3952",15,6,15,79.030001,188.09140238,99.57780126,1480210.44508619,1081,40,0.877177021055368
"result.3311",14,14,12,78.23970099,194.41380246,97.20690123,1478602.29328211,1075,40,0.873648297374578
