"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,82.19120104,119.33530151,134.3510017,1317756.50961641,1040,40,1
"result.3840",15,15,14,82.19120104,119.33530151,133.56070169,1310005.00073632,1037,40,0.980210696103634
"result.4080",15,14,15,82.19120104,118.5450015,134.3510017,1309029.64531432,1037,40,0.977720651242503
"result.4095",14,15,15,81.40090103,119.33530151,134.3510017,1305085.77394703,1030,40,0.967652099400172
"result.3584",15,15,13,82.19120104,119.33530151,132.77040168,1302253.49185622,1034,40,0.960421392207269
"result.3824",15,14,14,82.19120104,118.5450015,133.56070169,1301329.47093012,1034,40,0.958062402338828
"result.4064",15,13,15,82.19120104,117.75470149,134.3510017,1300302.78101222,1033,40,0.955441302485005
"result.3839",14,15,14,81.40090103,119.33530151,133.56070169,1297408.79880616,1027,40,0.94805307727204
"result.4079",14,14,15,81.40090103,118.5450015,134.3510017,1296442.82180168,1027,40,0.945586975149957
"result.3328",15,15,12,82.19120104,119.33530151,131.98010167,1294501.98297613,1031,40,0.940632088310903
"result.3568",15,14,13,82.19120104,118.5450015,132.77040168,1293629.29654592,1031,40,0.938404153435153
"result.3808",15,13,14,82.19120104,117.75470149,133.56070169,1292653.94112392,1030,40,0.935914108574021
"result.4094",13,15,15,80.61060102,119.33530151,134.3510017,1292415.03827764,1020,40,0.935304198800343
"result.4048",15,12,15,82.19120104,116.96440148,134.3510017,1291575.91671013,1030,40,0.933161953727507
"result.3583",14,15,13,81.40090103,119.33530151,132.77040168,1289731.8236653,1024,40,0.928454055143909
"result.3823",14,14,14,81.40090103,118.5450015,133.56070169,1288816.68755579,1024,40,0.926117747870357
"result.4063",14,13,15,81.40090103,117.75470149,134.3510017,1287799.86965634,1023,40,0.923521850899743
"result.3072",15,15,11,82.19120104,119.33530151,131.18980166,1286750.47409603,1028,40,0.920842784414537
"result.3312",15,14,12,82.19120104,118.5450015,131.98010167,1285929.12216171,1028,40,0.918745904531479
"result.3552",15,13,13,82.19120104,117.75470149,132.77040168,1285005.10123561,1027,40,0.916386914663038
"result.3838",13,15,14,80.61060102,119.33530151,133.56070169,1284812.596876,1017,40,0.915895458440446
"result.3792",15,12,14,82.19120104,116.96440148,133.56070169,1283978.41131772,1027,40,0.913765814809214
"result.4078",13,14,15,80.61060102,118.5450015,134.3510017,1283855.99828904,1017,40,0.913453299057412
"result.4032",15,11,15,82.19120104,116.17410147,134.3510017,1282849.05240803,1026,40,0.910882604970009
"result.3327",14,15,12,81.40090103,119.33530151,131.98010167,1282054.84852443,1021,40,0.908855033015777
"result.3567",14,14,13,81.40090103,118.5450015,132.77040168,1281190.5533099,1021,40,0.906648520590756
"result.3807",14,13,14,81.40090103,117.75470149,133.56070169,1280224.57630542,1020,40,0.904182418468673
"result.4093",12,15,15,79.82030101,119.33530151,134.3510017,1279744.30260825,1010,40,0.902956298200514
"result.4047",14,12,15,81.40090103,116.96440148,134.3510017,1279156.91751099,1020,40,0.901456726649529
"result.2816",15,15,10,82.19120104,119.33530151,130.39950165,1278998.96521593,1025,40,0.901053480518172
"result.3056",15,14,11,82.19120104,118.5450015,131.18980166,1278228.94777751,1024,40,0.899087655627804
"result.3296",15,13,12,82.19120104,117.75470149,131.98010167,1277356.2613473,1024,40,0.896859720752055
"result.3582",13,15,13,80.61060102,119.33530151,132.77040168,1277210.15547437,1014,40,0.896486718080548
"result.3536",15,12,13,82.19120104,116.96440148,132.77040168,1276380.9059253,1024,40,0.894369675890922
"result.3822",13,14,14,80.61060102,118.5450015,133.56070169,1276303.90418146,1014,40,0.894173093401886
"result.3776",15,11,14,82.19120104,116.17410147,133.56070169,1275302.88151152,1023,40,0.891617521044408
"result.4062",13,13,15,80.61060102,117.75470149,134.3510017,1275296.95830045,1013,40,0.891602399314482
"result.3071",14,15,11,81.40090103,119.33530151,131.18980166,1274377.87338357,1018,40,0.889256010887645
"result.4016",15,10,15,82.19120104,115.38380146,134.3510017,1274122.18810594,1023,40,0.888603256212511
"result.3311",14,14,12,81.40090103,118.5450015,131.98010167,1273564.419064,1018,40,0.887179293311155
"result.3551",14,13,13,81.40090103,117.75470149,132.77040168,1272649.2829545,1017,40,0.884842986037603
"result.3837",12,15,14,79.82030101,119.33530151,133.56070169,1272216.39494585,1007,40,0.883737839608851
"result.3791",14,12,14,81.40090103,116.96440148,133.56070169,1271632.46505505,1017,40,0.88224708906699
"result.4077",12,14,15,79.82030101,118.5450015,134.3510017,1271269.17477641,1007,40,0.881319622964867
"result.2560",15,15,9,82.19120104,119.33530151,129.60920164,1271247.45633584,1022,40,0.881264176621806
"result.2800",15,14,10,82.19120104,118.5450015,130.39950165,1270528.77339331,1021,40,0.87942940672413
"result.4031",14,11,15,81.40090103,116.17410147,134.3510017,1270513.96536565,1016,40,0.879391602399315
"result.3040",15,13,11,82.19120104,117.75470149,131.18980166,1269707.421459,1021,40,0.877332526841071
"result.3326",13,15,12,80.61060102,119.33530151,131.98010167,1269607.71407274,1011,40,0.877077977720652
"result.3280",15,12,12,82.19120104,116.96440148,131.98010167,1268783.40053289,1021,40,0.87497353697263
"result.3566",13,14,13,80.61060102,118.5450015,132.77040168,1268751.81007388,1011,40,0.874892887746359
"result.3806",13,13,14,80.61060102,117.75470149,133.56070169,1267795.21148692,1010,40,0.872450728363325
"result.3520",15,11,13,82.19120104,116.17410147,132.77040168,1267756.710615,1020,40,0.872352437118807
"result.4092",11,15,15,79.030001,119.33530151,134.3510017,1267073.56693886,1000,40,0.870608397600686
"result.4046",13,12,15,80.61060102,116.96440148,134.3510017,1266737.91831186,1010,40,0.869751499571552
"result.2815",14,15,10,81.40090103,119.33530151,130.39950165,1266700.8982427,1015,40,0.869656988759514
"result.3760",15,10,14,82.19120104,115.38380146,133.56070169,1266627.35170531,1020,40,0.869469227279601
"result.3055",14,14,11,81.40090103,118.5450015,131.18980166,1265938.28481811,1015,40,0.867710066031555
"result.4000",15,9,15,82.19120104,114.59350145,134.3510017,1265395.32380384,1019,40,0.866323907455013
