"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3057",0,15,11,101.79132624,147.03191568,147.73879989,2211143.63641201,1500,28,1
"result.3297",0,14,12,101.79132624,146.32503147,148.4456841,2211041.90915601,1500,28,0.999548271214786
"result.3537",0,13,13,101.79132624,145.61814726,149.15256831,2210838.45464401,1500,28,0.998644813644357
"result.3777",0,12,14,101.79132624,144.91126305,149.85945252,2210533.27287601,1500,28,0.997289627288712
"result.4017",0,11,15,101.79132624,144.20437884,150.56633673,2210126.36385201,1499,28,0.995482712147854
"result.4082",1,15,15,101.578107585,145.712043984,149.214737349,2208550.25885875,1497,27.5,0.988483879956999
"result.3811",2,14,14,102.278646258,145.011505311,148.514198676,2202700.28637946,1500,27.5,0.962506565070885
"result.4051",2,13,15,102.278646258,144.310966638,149.214737349,2202399.12418553,1500,27.5,0.961169227985775
"result.2801",0,15,10,101.79132624,147.03191568,147.03191568,2200564.00178803,1496,28,0.953020206337679
"result.3041",0,14,11,101.79132624,146.32503147,147.73879989,2200513.13816003,1496,28,0.952794341945071
"result.3281",0,13,12,101.79132624,145.61814726,148.4456841,2200360.54727603,1496,28,0.952116748767247
"result.3521",0,12,13,101.79132624,144.91126305,149.15256831,2200106.22913603,1496,28,0.950987426804212
"result.3761",0,11,14,101.79132624,144.20437884,149.85945252,2199750.18374003,1496,28,0.94940637605596
"result.4001",0,10,15,101.79132624,143.49749463,150.56633673,2199292.41108803,1496,28,0.947373596522496
"result.3826",1,15,14,101.578107585,145.712043984,148.514198676,2198181.47830073,1494,27.5,0.9424404022322
"result.4066",1,14,15,101.578107585,145.011505311,149.214737349,2197932.22876808,1494,27.5,0.941333587863816
"result.2530",1,14,9,102.49821045,146.32503147,146.32503147,2194590.70447479,1499,28,0.926495256730856
"result.2290",1,15,8,102.49821045,147.03191568,145.61814726,2194539.48762715,1499,28,0.926267823835523
"result.2770",1,13,10,102.49821045,145.61814726,147.03191568,2194539.48762715,1499,28,0.926267823835523
"result.3010",1,12,11,102.49821045,144.91126305,147.73879989,2194385.83708424,1499,28,0.92558552514952
"result.3250",1,11,12,102.49821045,144.20437884,148.4456841,2194129.75284604,1499,28,0.924448360672851
"result.3490",1,10,13,102.49821045,143.49749463,149.15256831,2193771.23491257,1499,28,0.922856330405515
"result.3185",0,7,12,102.695759424,142.6329992,149.76464916,2193723.25274904,1500,28.5,0.922643261408102
"result.4081",0,15,15,100.877568912,145.712043984,149.214737349,2193318.87776317,1487,27.5,0.920847598885397
"result.3730",1,9,14,102.49821045,142.79061042,149.85945252,2193310.28328382,1499,28,0.920809434347511
"result.3425",0,6,13,102.695759424,141.919834204,150.477814156,2193148.70618284,1500,28.5,0.92009193708655
"result.3970",1,8,15,102.49821045,142.08372621,150.56633673,2192746.8979598,1499,28,0.918307672498841
"result.3665",0,5,14,102.695759424,141.206669208,151.190979152,2192469.69660461,1500,28.5,0.917076735615624
"result.3315",2,15,12,102.278646258,145.712043984,147.11312133,2192460.77178596,1497,27.5,0.917037104177137
"result.3555",2,14,13,102.278646258,145.011505311,147.813660003,2192310.19068899,1497,27.5,0.916368435634583
"result.3795",2,13,14,102.278646258,144.310966638,148.514198676,2192059.22219405,1497,27.5,0.915253988063656
"result.4035",2,12,15,102.278646258,143.610427965,149.214737349,2191707.86630114,1497,27.5,0.913693761464362
"result.3905",0,4,15,102.695759424,140.493504212,151.904144148,2191686.22401434,1500,28.5,0.913597656995328
"result.2545",0,15,9,101.79132624,147.03191568,146.32503147,2189984.36716405,1493,28,0.906040412675355
"result.2785",0,14,10,101.79132624,146.32503147,147.03191568,2189984.36716405,1493,28,0.906040412675355
"result.3025",0,13,11,101.79132624,145.61814726,147.73879989,2189882.63990805,1493,28,0.90558868389014
"result.3265",0,12,12,101.79132624,144.91126305,148.4456841,2189679.18539605,1492,28,0.90468522631971
"result.3505",0,11,13,101.79132624,144.20437884,149.15256831,2189374.00362805,1492,28,0.903330039964068
"result.3745",0,10,14,101.79132624,143.49749463,149.85945252,2188967.09460405,1492,28,0.901523124823209
"result.3985",0,9,15,101.79132624,142.79061042,150.56633673,2188458.45832405,1492,28,0.899264480897135
"result.3570",1,15,13,101.578107585,145.712043984,147.813660003,2187812.6977427,1490,27.5,0.8963969245074
"result.3810",1,14,14,101.578107585,145.011505311,148.514198676,2187613.29811659,1490,27.5,0.895511473012692
"result.4050",1,13,15,101.578107585,144.310966638,149.214737349,2187314.19867741,1490,27.5,0.89418329577063
"result.2804",3,15,10,102.979184931,145.712043984,145.712043984,2186454.02994545,1500,27.5,0.890363641219323
"result.3044",3,14,11,102.979184931,145.011505311,146.412582657,2186403.492454,1500,27.5,0.890139225064628
"result.3284",3,13,12,102.979184931,144.310966638,147.11312133,2186251.87997966,1500,27.5,0.88946597660055
"result.3524",3,12,13,102.979184931,143.610427965,147.813660003,2185999.19252243,1500,27.5,0.888343895827083
"result.3764",3,11,14,102.979184931,142.909889292,148.514198676,2185645.4300823,1500,27.5,0.886772982744232
"result.4004",3,10,15,102.979184931,142.209350619,149.214737349,2185190.59265928,1500,27.5,0.884753237351993
"result.1729",0,12,6,102.695759424,146.19882418,145.485659184,2184321.58166583,1497,28.5,0.880894317964529
"result.1969",0,11,7,102.695759424,145.485659184,146.19882418,2184321.58166583,1497,28.5,0.880894317964529
"result.1489",0,13,5,102.695759424,146.911989176,144.772494188,2184217.11865379,1497,28.5,0.880430440815156
"result.2209",0,10,8,102.695759424,144.772494188,146.911989176,2184217.11865379,1497,28.5,0.880430440815156
"result.1249",0,14,4,102.695759424,147.625154172,144.059329192,2184008.19262972,1497,28.5,0.87950268651641
"result.2449",0,9,9,102.695759424,144.059329192,147.625154172,2184008.19262972,1497,28.5,0.87950268651641
"result.2274",1,14,8,102.49821045,146.32503147,145.61814726,2183988.81701356,1496,28,0.879416647396766
"result.2514",1,13,9,102.49821045,145.61814726,146.32503147,2183988.81701356,1496,28,0.879416647396766
"result.2034",1,15,7,102.49821045,147.03191568,144.91126305,2183886.38331828,1496,28,0.878961781606101
"result.2754",1,12,10,102.49821045,144.91126305,147.03191568,2183886.38331828,1496,28,0.878961781606101
"result.1009",0,15,3,102.695759424,148.338319168,143.346164196,2183694.80359361,1497,28.5,0.878111055068292
"result.2689",0,8,10,102.695759424,143.346164196,148.338319168,2183694.80359361,1497,28.5,0.878111055068292
"result.2994",1,11,11,102.49821045,144.20437884,147.73879989,2183681.51592773,1496,28,0.878052050024765
"result.3234",1,10,12,102.49821045,143.49749463,148.4456841,2183374.2148419,1495,28,0.876687452652761
"result.2929",0,7,11,102.695759424,142.6329992,149.051484164,2183276.95154547,1497,28.5,0.876255546470799
"result.3825",0,15,14,100.877568912,145.712043984,148.514198676,2183021.60603658,1483,27.5,0.875121662386284
"result.3474",1,9,13,102.49821045,142.79061042,149.15256831,2182964.48006079,1495,28,0.874867989490092
"result.3829",4,15,14,102.7332602,144.3818792,147.1584538,2182775.02798889,1497,27,0.874026710980676
"result.4065",0,14,15,100.877568912,145.011505311,149.214737349,2182774.07546623,1483,27.5,0.874022481220441
"result.3169",0,6,12,102.695759424,141.919834204,149.76464916,2182754.63648529,1497,28.5,0.873936160723934
