"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4088",7,15,15,148.57640188,109.85170139,92.46510117,1509157.17755973,1497,40,1
"result.4073",8,14,15,149.36670189,109.06140138,92.46510117,1506269.61216565,1499,40,0.992384359426992
"result.3833",8,15,14,149.36670189,109.85170139,91.67480116,1504217.21953171,1498,40,0.986971396435099
"result.4087",6,15,15,147.78610187,109.85170139,92.46510117,1501129.7457642,1489,40,0.978828519207037
"result.4089",8,15,15,148.832506242,109.458827342,92.134408626,1500964.56270702,1494,39.5,0.978392866807701
"result.4091",10,15,15,149.86566127,109.06453883,91.80252549,1500514.96278493,1499,39,0.977207095771893
"result.3578",9,15,13,150.1570019,109.85170139,90.88450115,1499140.04044736,1500,40,0.973580887215618
"result.4072",7,14,15,148.57640188,109.06140138,92.46510117,1498299.931678,1492,40,0.971365191445488
"result.4074",9,14,15,149.61997982,108.671353764,92.134408626,1498050.73404812,1497,39.5,0.970707959721937
"result.3832",7,15,14,148.57640188,109.85170139,91.67480116,1496258.39826434,1491,40,0.965980868469426
"result.3834",9,15,14,149.61997982,109.458827342,91.346935048,1496009.54018283,1496,39.5,0.965324532267856
"result.3836",11,15,14,150.65029824,109.06453883,91.01788852,1495479.00170699,1500,39,0.963925294574252
"result.4057",8,13,15,149.36670189,108.27110137,92.46510117,1495354.61497604,1494,40,0.963597238061019
"result.4059",10,13,15,150.407453398,107.883880186,92.134408626,1495022.63759867,1499,39.5,0.962721683730847
"result.3817",8,14,14,149.36670189,109.06140138,91.67480116,1493395.51291637,1493,40,0.958430318841485
"result.4086",5,15,15,146.99580186,109.85170139,92.46510117,1493102.31396867,1481,40,0.957657038414073
"result.3819",10,14,14,150.407453398,108.671353764,91.346935048,1493063.97047099,1498,39.5,0.957555911597279
"result.4090",9,15,15,149.0810243,109.06453883,91.80252549,1492658.86350334,1491,39,0.956487485903573
"result.4042",9,12,15,150.1570019,107.48080136,92.46510117,1492293.79565832,1496,40,0.95552465905363
"result.4092",11,15,15,150.10369056,108.668817645,91.469436435,1492011.99746465,1496,38.5,0.954781446878574
"result.3577",8,15,13,149.36670189,109.85170139,90.88450115,1491249.82970816,1492,40,0.952771312077234
"result.3579",10,15,13,150.407453398,109.458827342,90.55946147,1490918.76361687,1497,39.5,0.951898161165275
"result.3802",9,13,14,150.1570019,108.27110137,91.67480116,1490418.11215448,1495,40,0.950577747228428
"result.4071",6,14,15,147.78610187,109.06140138,92.46510117,1490330.25119035,1484,40,0.950346023463984
"result.3804",11,13,14,151.194926976,107.883880186,91.346935048,1490005.1096164,1500,39.5,0.949488497823987
"result.4075",10,14,15,149.86566127,108.27990186,91.80252549,1489719.89111022,1494,39,0.948736264945641
"result.4027",10,11,15,150.94730191,106.69050135,92.46510117,1489117.47372484,1499,40,0.947147454423321
"result.4077",12,14,15,150.885480615,107.88702759,91.469436435,1488993.08829712,1498,38.5,0.946819401347188
"result.3562",9,14,13,150.1570019,109.06140138,90.88450115,1488354.86030025,1494,40,0.945136144220706
"result.3831",6,15,14,147.78610187,109.85170139,91.67480116,1488299.57699698,1483,40,0.944990340503752
"result.3564",11,14,13,151.194926976,108.671353764,90.55946147,1487942.42949989,1499,39.5,0.944048402712495
"result.3835",10,15,14,149.86566127,109.06453883,91.01788852,1487690.0485731,1493,39,0.943382775388568
"result.4056",7,13,15,148.57640188,108.27110137,92.46510117,1487442.68579628,1486,40,0.942730382890975
"result.3787",10,12,14,150.94730191,107.48080136,91.67480116,1487326.19597867,1498,40,0.942423153630253
"result.4058",9,13,15,149.61997982,107.883880186,92.134408626,1487195.29394632,1491,39.5,0.942077913716145
"result.3837",12,15,14,150.885480615,108.668817645,90.68764638,1486964.23607722,1497,38.5,0.941468523644393
"result.4060",11,13,15,150.65029824,107.49526489,91.80252549,1486667.88131737,1496,39,0.940686920104711
"result.3322",9,15,12,150.1570019,109.85170139,90.09420114,1486104.04009564,1493,40,0.939199850030463
"result.3324",11,15,12,151.194926976,109.458827342,89.771987892,1485692.23300915,1498,39.5,0.938113753499959
"result.3816",7,14,14,148.57640188,109.06140138,91.67480116,1485493.94935597,1485,40,0.937590801868371
"result.3547",10,13,13,150.94730191,108.27110137,90.88450115,1485346.36268027,1497,40,0.937201558016861
"result.3818",9,14,14,149.61997982,108.671353764,91.346935048,1485246.88162036,1490,39.5,0.936939187509978
"result.4085",4,15,15,146.20550185,109.85170139,92.46510117,1485074.88217313,1473,40,0.936485557621109
"result.3820",11,14,14,150.65029824,108.27990186,91.01788852,1484720.15996809,1495,39,0.935550016274602
"result.4041",8,12,15,149.36670189,107.48080136,92.46510117,1484439.61778644,1489,40,0.934810116695046
"result.3772",11,11,14,151.73760192,106.69050135,91.67480116,1484119.76438894,1500,40,0.933966538046959
"result.4043",10,12,15,150.407453398,107.096406608,92.134408626,1484110.0636016,1494,39.5,0.933940953272395
"result.3822",13,14,14,151.66727067,107.88702759,90.68764638,1483915.70165353,1500,38.5,0.933428344712731
"result.4045",12,12,15,151.43493521,106.71062792,91.80252549,1483502.83412479,1498,39,0.932339451380783
"result.4093",12,15,15,150.33402075,108.27165225,91.13513175,1483398.59396836,1493,38,0.932064529272949
"result.3576",7,15,13,148.57640188,109.85170139,90.88450115,1483359.61896896,1484,40,0.931961736938851
"result.3307",10,14,12,150.94730191,109.06140138,90.09420114,1483177.97382964,1496,40,0.931482667583148
"result.3580",11,15,13,150.65029824,109.06453883,90.23325155,1482586.94134744,1494,39,0.929923883508291
"result.3801",8,13,14,149.36670189,108.27110137,91.67480116,1482573.80630104,1488,40,0.929889241247872
"result.4070",5,14,15,146.99580186,109.06140138,92.46510117,1482360.5707027,1476,40,0.92932685548248
"result.4095",14,15,15,151.33266759,107.873029718,90.799600554,1482277.45117877,1497,37.5,0.929107636752342
"result.3803",10,13,14,150.407453398,107.883880186,91.346935048,1482244.66633715,1493,39.5,0.929021170288043
"result.3532",11,12,13,151.73760192,107.48080136,90.88450115,1482224.33684821,1499,40,0.928967553465703
"result.3582",13,15,13,151.66727067,108.668817645,89.905856325,1481783.6388638,1499,38.5,0.927805260325102
"result.3805",12,13,14,151.43493521,107.49526489,91.01788852,1481638.20009497,1497,39,0.927421681345014
"result.4026",9,11,15,150.1570019,106.69050135,92.46510117,1481321.04716084,1491,40,0.926585224876197
"result.4076",11,14,15,150.10369056,107.88702759,91.469436435,1481278.09820231,1491,38.5,0.92647195165587
"result.4028",11,11,15,151.194926976,106.30893303,92.134408626,1480910.56546633,1496,39.5,0.925502623923319
"result.3067",10,15,11,150.94730191,109.85170139,89.30390113,1480821.02942679,1495,40,0.92526648232911
"result.3561",8,14,13,149.36670189,109.06140138,90.88450115,1480521.41366709,1487,40,0.924476278255979
"result.4078",13,14,15,151.1129535,107.4927195,91.13513175,1480357.36972903,1495,38,0.92404363015977
"result.3830",5,15,14,146.99580186,109.85170139,91.67480116,1480340.75572962,1475,40,0.923999812538078
"result.3069",12,15,11,151.982400554,109.458827342,88.984514314,1480329.94835968,1499,39.5,0.923971309271907
"result.3563",10,14,13,150.407453398,108.671353764,90.55946147,1480192.72934624,1492,39.5,0.923609409005258
"result.3292",11,13,12,151.73760192,108.27110137,90.09420114,1480139.36655341,1498,40,0.92346867042632
"result.3565",12,14,13,151.43493521,108.27990186,90.23325155,1479587.10266216,1496,39,0.922012134305668
"result.3786",9,12,14,150.1570019,107.48080136,91.67480116,1479539.14783218,1490,40,0.921885658642255
"result.4055",6,13,15,147.78610187,108.27110137,92.46510117,1479530.75661651,1478,40,0.921863527720932
"result.4080",15,14,15,152.108732552,107.096964756,90.799600554,1479160.32095493,1499,37.5,0.920886543836929
"result.3788",11,12,14,151.194926976,107.096406608,91.346935048,1479129.15991117,1495,39.5,0.920804359963395
"result.3790",13,12,14,152.21957218,106.71062792,91.01788852,1478444.16895373,1500,39,0.918997770599805
"result.3838",13,15,14,151.1129535,108.27165225,90.356199,1478340.28425065,1494,38,0.918723785961627
"result.3321",8,15,12,149.36670189,109.85170139,90.09420114,1478282.43988461,1485,40,0.91857122771937
"result.4061",12,13,15,150.885480615,107.105237535,91.469436435,1478203.28330946,1493,38.5,0.918362460836866
"result.4011",10,10,15,150.94730191,105.90020134,92.46510117,1478086.97391947,1493,40,0.918055707434428
"result.3323",10,15,12,150.407453398,109.458827342,89.771987892,1477954.25262889,1490,39.5,0.917705669424036
"result.3052",11,14,11,151.73760192,109.06140138,89.30390113,1477864.85350454,1497,40,0.917469888928811
"result.4013",12,10,15,151.982400554,105.521459452,92.134408626,1477596.79954052,1498,39.5,0.91676292566892
"result.3815",6,14,14,147.78610187,109.06140138,91.67480116,1477592.38579556,1477,40,0.916751284895256
"result.3546",9,13,13,150.1570019,108.27110137,90.88450115,1477569.68015315,1489,40,0.916691401225793
"result.3325",12,15,12,151.43493521,109.06453883,89.44861458,1477349.54182638,1495,39,0.916110810262745
"result.4063",14,13,15,151.89188625,106.71378675,91.13513175,1477205.55551738,1497,38,0.915731061987929
