"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3521",0,12,13,143.3760024,115.29820193,94.98660159,1570223.06222756,1500,20,1
"result.3281",0,13,12,143.3760024,115.89560194,94.38920158,1568432.14727406,1499,20,0.987636163719468
"result.4083",2,15,15,142.752875914,115.618031732,94.971954637,1567493.73774903,1495,19.5,0.981157720000606
"result.3041",0,14,11,143.3760024,116.49300195,93.79180157,1566538.89432322,1498,20,0.974565822508619
"result.4068",3,14,15,143.342763831,115.028143815,94.971954637,1565940.5203921,1498,19.5,0.970434862909183
"result.3985",0,9,15,143.3760024,113.5060019,96.18140161,1565259.66935643,1498,20,0.965734510879668
"result.2801",0,15,10,143.3760024,117.09040196,93.19440156,1564543.30337504,1497,20,0.960788976367455
"result.4053",4,13,15,143.932651748,114.438255898,94.971954637,1564321.20867955,1500,19.5,0.959255714026635
"result.3828",3,15,14,143.342763831,115.618031732,94.38206672,1564194.76730359,1497,19.5,0.958382807991441
"result.3745",0,10,14,143.3760024,114.10340191,95.5840016,1563724.59939629,1497,20,0.955136936924926
"result.3970",1,8,15,143.97340241,112.90860189,96.18140161,1563509.04998939,1500,20,0.953648860915447
"result.2786",1,14,10,143.97340241,116.49300195,93.19440156,1563046.6101639,1500,20,0.950456341761582
"result.3813",4,14,14,143.932651748,115.028143815,94.38206672,1562618.35534359,1499,19.5,0.94749982365655
"result.3505",0,11,13,143.3760024,114.70080192,94.98660159,1562087.19143881,1496,20,0.943832858039868
"result.3730",1,9,14,143.97340241,113.5060019,95.5840016,1562018.96610725,1499,20,0.943361854752992
"result.4082",1,15,15,142.162987997,115.618031732,94.971954637,1561016.49089883,1489,19.5,0.936441124470416
"result.2546",1,15,9,143.97340241,117.09040196,92.59700155,1560991.3220506,1499,20,0.9362673677444
"result.3573",4,15,13,143.932651748,115.618031732,93.792178803,1560815.33416435,1498,19.5,0.935052410323516
"result.3490",1,10,13,143.97340241,114.10340191,94.98660159,1560426.11781944,1498,20,0.932365399889675
"result.3265",0,12,12,143.3760024,115.29820193,94.38920158,1560347.44548399,1495,20,0.931822274224495
"result.4067",2,14,15,142.752875914,115.028143815,94.971954637,1559496.3207197,1492,19.5,0.925946413274555
"result.3250",1,11,12,143.97340241,114.70080192,94.38920158,1558730.50512597,1498,20,0.9206594963255
"result.3025",0,13,11,143.3760024,115.89560194,93.79180157,1558505.36153182,1494,20,0.919105185478805
