"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,110.1923074,142.2249549,130.05254885,2038196.02415723,1498,23,1
"result.3265",0,12,12,110.735568846,141.819237294,129.5152852,2033964.23741315,1500,23.5,0.978597153228751
"result.3025",0,13,11,110.735568846,142.46681372,128.867708774,2033035.48661981,1500,23.5,0.973899867632697
"result.2785",0,14,10,110.735568846,143.114390146,128.220132348,2032013.86074714,1500,23.5,0.968732853477038
"result.4051",2,13,15,110.83296035,140.943649,130.05254885,2031577.1181496,1500,23,0.966523967382571
"result.2545",0,15,9,110.735568846,143.761966572,127.572555922,2030899.35979513,1499,23.5,0.963096110761774
"result.3811",2,14,14,110.83296035,141.58430195,129.4118959,2030758.30068147,1500,23,0.962382684784023
"result.3571",2,15,13,110.83296035,142.2249549,128.77124295,2029848.50349465,1499,23,0.957781259674525
"result.4066",1,14,15,110.1923074,141.58430195,130.05254885,2029014.96098535,1495,23,0.953565503143567
"result.3826",1,15,14,110.1923074,142.2249549,129.4118959,2028155.64965399,1494,23,0.949219417230896
"result.3969",0,8,15,110.735568846,139.22893159,131.458014478,2026766.41876477,1498,23.5,0.942193189859336
"result.4081",0,15,15,109.55165445,142.2249549,130.05254885,2026346.04727259,1489,23,0.940067102894604
"result.3729",0,9,14,110.735568846,139.876508016,130.810438052,2026162.7307491,1497,23.5,0.939139954221902
"result.3489",0,10,13,110.735568846,140.524084442,130.162861626,2025466.1676541,1497,23.5,0.935616990024862
"result.3249",0,11,12,110.735568846,141.171660868,129.5152852,2024676.72947976,1497,23.5,0.931624297268217
"result.3009",0,12,11,110.735568846,141.819237294,128.867708774,2023794.41622609,1497,23.5,0.927161875951965
"result.2769",0,13,10,110.735568846,142.46681372,128.220132348,2022819.22789308,1496,23.5,0.922229726076109
"result.4035",2,12,15,110.83296035,140.30299605,130.05254885,2022342.67670346,1497,23,0.91981950252116
"result.2034",1,15,7,111.383145272,143.761966572,126.27740307,2022037.12196185,1500,23.5,0.918274117153118
"result.2529",0,14,9,110.735568846,143.114390146,127.572555922,2021751.16448074,1496,23.5,0.916827847640648
"result.3795",2,13,14,110.83296035,140.943649,129.4118959,2021569.34909467,1496,23,0.915908291178086
"result.3555",2,14,13,110.83296035,141.58430195,128.77124295,2020705.0417672,1496,23,0.911536937324062
"result.2289",0,15,8,110.735568846,143.761966572,126.924979496,2020590.22598907,1495,23.5,0.910956240645581
"result.4050",1,13,15,110.1923074,140.943649,130.05254885,2019833.89781347,1491,23,0.907131006287134
"result.3315",2,15,12,110.83296035,142.2249549,128.13059,2019749.75472105,1496,23,0.906705440959088
"result.3938",1,6,15,111.383145272,137.933778738,131.458014478,2019654.9576463,1499,23.5,0.906225991641837
"result.3698",1,7,14,111.383145272,138.581355164,130.810438052,2019141.15749981,1499,23.5,0.903627376335481
"result.3810",1,14,14,110.1923074,141.58430195,129.4118959,2019019.81339429,1491,23,0.903013661738288
"result.3458",1,8,13,111.383145272,139.22893159,130.162861626,2018533.93914487,1499,23.5,0.900556285518881
"result.3570",1,15,13,110.1923074,142.2249549,128.77124295,2018115.27515075,1491,23,0.898438834461792
"result.4086",5,15,15,111.521437808,140.669086326,128.629840199,2017895.89448632,1500,22.5,0.897329286408104
"result.3218",1,9,12,111.383145272,139.876508016,129.5152852,2017833.30258147,1499,23.5,0.897012719192033
"result.3953",0,7,15,110.735568846,138.581355164,131.458014478,2017339.59821238,1494,23.5,0.894515741059394
"result.4065",0,14,15,109.55165445,141.58430195,130.05254885,2017218.36237497,1486,23,0.893902574043149
"result.2978",1,10,11,111.383145272,140.524084442,128.867708774,2017039.24780962,1498,23.5,0.89299667735494
"result.3713",0,8,14,110.735568846,139.22893159,130.810438052,2016782.34773638,1494,23.5,0.891697369701762
"result.3825",0,15,14,109.55165445,142.2249549,129.4118959,2016364.04703972,1486,23,0.889581756071831
"result.2738",1,11,10,111.383145272,141.171660868,128.220132348,2016151.77482932,1498,23.5,0.8885081600076
"result.3473",0,9,13,110.735568846,139.876508016,130.162861626,2016132.22218104,1494,23.5,0.888409269784525
"result.4004",3,10,15,111.4736133,139.02169015,130.05254885,2015456.87932455,1498,23,0.884993629878835
"result.3233",0,10,12,110.735568846,140.524084442,129.5152852,2015389.22154637,1493,23.5,0.884651441307682
"result.2498",1,12,9,111.383145272,141.819237294,127.572555922,2015170.88364056,1498,23.5,0.883547167150013
"result.3764",3,11,14,111.4736133,139.6623431,129.4118959,2014770.58722699,1498,23,0.881522612671958
"result.2993",0,11,11,110.735568846,141.171660868,128.867708774,2014553.34583236,1493,23.5,0.880423884271234
"result.2258",1,13,8,111.383145272,142.46681372,126.924979496,2014096.57424336,1497,23.5,0.87811369878218
"result.3524",3,12,13,111.4736133,140.30299605,128.77124295,2013992.78951641,1498,23,0.877588793170831
"result.2753",0,12,10,110.735568846,141.819237294,128.220132348,2013624.59503902,1493,23.5,0.875726598675181
"result.3284",3,13,12,111.4736133,140.943649,128.13059,2013123.48619283,1498,23,0.873192171375455
"result.4019",2,11,15,110.83296035,139.6623431,130.05254885,2013108.23525733,1493,23,0.873115037659747
"result.3121",0,3,12,111.90849273,137.4314823,130.887126,2013011.28105162,1500,24,0.872624678354312
"result.2018",1,14,7,111.383145272,143.114390146,126.27740307,2012928.8466377,1497,23.5,0.872207754904102
"result.2513",0,13,9,110.735568846,142.46681372,127.572555922,2012602.96916635,1492,23.5,0.870559584519522
"result.737",0,14,2,111.90849273,144.63027423,124.3427697,2012531.99265137,1500,24,0.870200610978006
"result.2881",0,4,11,111.90849273,138.08591793,130.23269037,2012484.06381134,1500,24,0.869958204240375
"result.3779",2,12,14,110.83296035,140.30299605,129.4118959,2012380.39750788,1493,23,0.869433897572147
"result.3044",3,14,11,111.4736133,141.58430195,127.48993705,2012162.67725624,1497,23,0.868332747285828
"result.2641",0,5,10,111.90849273,138.74035356,129.57825474,2011860.98889102,1500,24,0.866806916651178
"result.1778",1,15,6,111.383145272,143.761966572,125.629826644,2011667.70082358,1496,23.5,0.865829335515778
"result.3539",2,13,13,110.83296035,140.943649,128.77124295,2011561.58003975,1493,23,0.865292614973599
"result.2273",0,14,8,110.735568846,143.114390146,126.924979496,2011488.46821434,1492,23.5,0.864922841804258
"result.2401",0,6,9,111.90849273,139.39478919,128.92381911,2011142.05629064,1500,24,0.86317081558672
"result.2804",3,15,10,111.4736133,142.2249549,126.8492841,2011110.36270663,1497,23,0.863010520901951
"result.497",0,15,1,111.90849273,145.28470986,123.68833407,2010998.26977057,1500,24,0.862443595373829
"result.3187",2,7,12,112.030721698,138.581355164,129.5152852,2010772.62403562,1500,23.5,0.861302360859463
"result.4034",1,12,15,110.1923074,140.30299605,130.05254885,2010652.83464159,1488,23,0.8606965094307
"result.3299",2,14,12,110.83296035,141.58430195,128.13059,2010651.78285294,1492,23,0.860691189864099
"result.2161",0,7,8,111.90849273,140.04922482,128.26938348,2010327.26601022,1499,24,0.859049901047001
"result.2033",0,15,7,110.735568846,143.761966572,126.27740307,2010281.092183,1492,23.5,0.858816370529389
"result.3922",1,5,15,111.383145272,137.286202312,131.458014478,2010173.00948834,1496,23.5,0.858269727351836
"result.2947",2,8,11,112.030721698,139.22893159,128.867708774,2010067.91400383,1500,23.5,0.857738192402809
"result.3794",1,13,14,110.1923074,140.943649,129.4118959,2009883.97713459,1488,23,0.856807906245679
"result.3682",1,6,14,111.383145272,137.933778738,130.810438052,2009705.91844607,1496,23.5,0.855907349800605
"result.3059",2,15,11,110.83296035,142.2249549,127.48993705,2009651.00594744,1492,23,0.855629622243651
"result.1921",0,8,7,111.90849273,140.70366045,127.61494785,2009416.61804974,1499,24,0.854444173032021
"result.2707",2,9,10,112.030721698,139.876508016,128.220132348,2009269.24263447,1500,23.5,0.853698801485268
"result.3442",1,7,13,111.383145272,138.581355164,130.162861626,2009145.40919536,1495,23.5,0.853072496739127
"result.3554",1,14,13,110.1923074,141.58430195,128.77124295,2009024.66580323,1487,23,0.852461820333007
"result.4070",5,14,15,111.521437808,140.035441793,128.629840199,2008806.27333998,1496,22.5,0.851357270243525
"result.3202",1,8,12,111.383145272,139.22893159,129.5152852,2008491.48173619,1495,23.5,0.849765168167402
"result.1681",0,9,6,111.90849273,141.35809608,126.96051222,2008410.11240922,1499,24,0.84935363154178
